 101 ; Полушка ; 1798 ; ЕМ ; Cu ; VF ; 91 ; sdv75-2010 ; 9000 
 102 ; 1/4 копейки ; 1876 ; СПБ ; Cu ; VF-XF ; 63 ; sdv75-2010 ; 5750 
 103 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; XF+ ; 23 ; Инструктор ; 2080 
 104 ; 1/4 копейки ; 1909 ; СПБ ; Cu ; XF+ ; 16 ; Продано в зале ; 2000 
 105 ; Полкопейки. Капсула NGC ; 1928 ;  ; Cu ;  ; 100 ; Продано в зале ; 67500 
 106 ; Медаль. За отличность. Посети виноград сей. Александр I. D-41мм ;  ;  ; Ag ; VF-XF ; 64 ; Пешков87 ; 95000 
 107 ; Медаль. За благонравие и успехи в науках. Государыня императрица Мария Федоровна. D-43мм ;  ;  ; Ag ; XF- ; 83 ; Strim ; 26000 
 108 ; Медаль. Троицкий мост через р. Неву. Сооружен в память 25 летия бракосочетания императора Александра III и императрицы Марии Федоровны. D-64мм ;  ;  ; Ж/м ; XF ; 43 ; пека17 ; 13456 
 109 ; Медаль. В память сооружения Благовещенского моста через Неву в Санкт–Петербурге. Соч. Г. Толстой. Рез. А. Лялин. Рез. Клепиков. Коп. м. Кучкин. D-75мм ;  ;  ; Cu ; VF-XF ; 23 ; пека17 ; 12000 
 110 ; Медаль. Мария-Луиза Австрийская. 1818. Мост через реку Таро. D-41мм ;  ;  ; Ag ; XF ; 51 ; Strim ; 15000 
 111 ; Медаль. Наполеон Бонапарт. Первый консул Республики. 1803г. Восстановление памятника и возрождение Праздника Жанны Д Арк в Орлеане. D-55мм, М-85,4г ;  ;  ; Br ; XF+ ; 19 ; sm-dc ; 2834 
 112 ; Медаль. Император Наполеон Бонапарт. Битва под Фридландом. 1807г. Франция. D-41мм ;  ;  ; Br ; AU ; 29 ; jbl ; 3200 
 113 ; Медаль. Император Наполеон Бонапарт. Пресбургский мир. 1805г. Франция. D-41мм ;  ;  ; Br ; XF ; 27 ; Moryak ; 5610 
 114 ; Медаль. Император Наполеон Бонапарт. Освобождение Данцига. 1807г. Франция. D-41мм ;  ;  ; Br ; AU ; 27 ; sm-dc ; 2956 
 115 ; Медаль. Император Наполеон Бонапарт. Вхождение в Москву. 1812г. Франция. D-41мм ;  ;  ; Br ; AU ; 21 ; Продано в зале ; 6250 
 51 ; 10 копеек ; 1762 ;  ; Cu ; F+ ; 32 ; Demenzia ; 44653 
 52 ; 5 копеек (Петров-40р, Ильин-20р) ; 1765 ;  ; Cu ; F-VF ; 33 ; I3 ; 75000 
 53 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 16 ; обморок ; 6671 
 54 ; 5 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 27 ; Sky2 ; 6750 
 55 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 11 ; electra ; 7000 
 56 ; 5 копеек. Капсула ННР ; 1774 ; ЕМ ; Cu ;  ; 16 ; Лрс 21,12 ; 4534 
 57 ; 5 копеек. Капсула ННР ; 1775 ; ЕМ ; Cu ;  ; 18 ; vic-dmitri ; 4600 
 58 ; 5 копеек. Капсула ННР ; 1777 ; ЕМ ; Cu ;  ; 17 ; Продано в зале ; 4700 
 59 ; 5 копеек. Капсула ННР ; 1785 ; ЕМ ; Cu ;  ; 12 ; Mozart.mck ; 4384 
