 151 ; 1/2 копейки. Капсула ; 1898 ; СПБ ; Cu ;  ; 18 ; Arghh20 ; 2400 
 152 ; 1/2 копейки. Капсула ; 1910 ; СПБ ; Cu ;  ; 33 ; Продано в зале ; 5000 
 153 ; Полушка ; 1719 ; НД ; Cu ; VF- ; 10 ; Продано в зале ; 750 
 154 ; Полушка ; 1720 ;  ; Cu ; VF ; 11 ; LuciferM13 ; 900 
 155 ; Полушка. Капсула ; 1741 ; Орёл 1730 г. ; Cu ;  ; 37 ; DiatezЪ ; 9500 
 156 ; Полушка. Инкузный брак. Капсула ; 1771 ; КМ "Сибирь" ; Cu ;  ; 16 ; Киров ; 2200 
 157 ; Полушка ; 1798 ; ЕМ ; Cu ; VF+ ; 35 ; CapsulЪ ; 6750 
 158 ; 1/4 копейки ; 1840 ; ЕМ ; Cu ; XF ; 32 ; vit2503 ; 1700 
 159 ; 1/4 копейки ; 1840 ; СПМ ; Cu ; XF ; 41 ; sdv75-2010 ; 2000 
 160 ; Полушка. Капсула ; 1850 ; ЕМ ; Cu ;  ; 55 ; БлекДжек ; 11980 
 161 ; Полушка ; 1853 ; ЕМ ; Cu ; XF ; 27 ; Robin - Bobin ; 3600 
 162 ; Полушка ; 1857 ; ЕМ ; Cu ; XF ; 36 ; магаз ; 3000 
 163 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; XF ; 23 ; Ravak_1981 ; 3400 
 164 ; 1/4 копейки ; 1896 ; СПБ ; Cu ; XF ; 27 ; Продано в зале ; 3200 
 165 ; 1/4 копейки ; 1898 ; СПБ ; Cu ; AU ; 24 ; sdv75-2010 ; 3400 
 166 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; XF ; 15 ; Mike! ; 816 
 167 ; 1/4 копейки. Капсула ; 1899 ; СПБ ; Cu ;  ; 16 ; Mike! ; 2400 
 168 ; 1/4 копейки ; 1909 ; СПБ ; Cu ; XF+ ; 13 ; Продано в зале ; 2000 
 169 ; 1/4 копейки ; 1910 ; СПБ ; Cu ; XF+ ; 57 ; DiatezЪ ; 9500 
 170 ; 10 пенни. Капсула ; 1917 ; Финляндия. Орёл ; Cu ;  ; 21 ; Продано в зале ; 2000 
 171 ; 1 пенни ; 1870 ; Финляндия ; Cu ; AU ; 70 ; sax ; 21000 
 172 ; 1 пенни. Капсула ; 1907 ; Финляндия ; Cu ;  ; 9 ; Arghh20 ; 1508 
 173 ; 20 копеек ; 1931 ;  ; Ag ; XF ; 62 ; CapsulЪ ; 210000 
 174 ; Медаль. За усердие. Николай II. D-30мм ;  ;  ; Ag ; AU ; 27 ; kpt ; 10000 
