 201 ; Деньга (Петров-10р, Ильин-10р) ; 1811 ; КМ ПБ  ; Cu ; F-VF ; 16 ; Участник № 133 ; 16000 
 202 ; 10 копеек ; 1921 ;  ; Ag ; proof ; 44 ; Участник № 23 ; 16000 
 151 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 15 ; zerkalozemli ; 3400 
 152 ; 5 копеек ; 1865 ; ЕМ ; Cu ; XF+ ; 11 ; Глол ; 6630 
 153 ; 50 пенни ; 1865 ; S Финляндия ;  ; VF- ; 16 ; o.k. ; 1050 
 154 ; 25 пенни ; 1866 ; S Финляндия ; Ag ; VF+ ; 57 ; Участник № 62 ; 6000 
 155 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 11 ; Глол ; 3400 
 156 ; Копейка ; 1868 ; СПБ ; Cu ; AU ; 36 ; SDF ; 10314 
 157 ; 5 копеек ; 1869 ; ЕМ ; Cu ; XF+ ; 11 ; AAE2006 ; 2154 
 158 ; 5 копеек ; 1869 ; ЕМ ; Cu ; XF+ ; 29 ; Участник № 16 ; 11500 
 159 ; 10 копеек ; 1871 ; СПБ HI ; Ag ; XF ; 17 ; SDF ; 1553 
 160 ; 20 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 17 ; Глол ; 7933 
 161 ; 5 пенни ; 1875 ; Финляндия ;  ; VF ; 17 ; neman100 ; 714 
 162 ; Копейка ; 1876 ; СПБ ; Cu ; AU ; 11 ; SDF ; 12908 
 163 ; Рубль ; 1877 ; СПБ HI ; Ag ; VF-XF ; 9 ; sem ; 4986 
 164 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 25 ; zerkalozemli ; 4080 
 165 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 27 ; AAE2006 ; 27000 
 166 ; 15 копеек ; 1883 ; СПБ ДС ; Ag ; XF+/AU ; 74 ; max7421 ; 9435 
 167 ; 3 копейки ; 1883 ; СПБ ; Cu ; XF- ; 15 ; Участник № 222 ; 5000 
 168 ; 2 копейки ; 1884 ; СПБ ; Cu ; XF- ; 13 ; SDF ; 9155 
 169 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 14 ; Глол ; 6120 
 170 ; Рубль. Портрет предыдущих лет ; 1892 ; (АГ) ; Ag ; VF-XF ; 21 ; Girus_ ; 14452 
 171 ; 25 копеек ; 1896 ; АГ ; Ag ; XF- ; 16 ; Участник № 133 ; 4600 
 172 ; 1/4 копейки. В капсуле NGC ; 1896 ; СПБ ; Cu ; AU 58 ; 22 ; Глол ; 5667 
 173 ; Полтина ; 1897 ; ( * ) ; Ag ; XF+/AU ; 24 ; Kolya-kms ; 5893 
 174 ; 10 копеек ; 1898 ; СПБ АГ ; Ag ; AU ; 21 ; max7421 ; 4873 
 175 ; Полтина ; 1899 ; (АГ) АГ ; Ag ; XF+/AU ; 25 ; Участник № 62 ; 5000 
 176 ; 10 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 13 ; Участник № 222 ; 4800 
 177 ; 20 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 16 ; Глол ; 6120 
 178 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 20 ; Глол ; 8048 
 179 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; VF-XF ; 5 ; priwet ; 1428 
 180 ; 5 копеек ; 1911 ; СПБ ; Cu ; AU ; 10 ; Участник № 55 ; 2800 
 181 ; Копейка ; 1911 ; СПБ ; Cu ; AU ; 19 ; priwet ; 1587 
 182 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU/XF+ ; 25 ; Girus_ ; 15073 
 183 ; Один полтинник. Редка. Гурт предыдущих лет ; 1924 ; (ПЛ 2 золотника 10,5 долей) ; Ag ; VF+ ; 44 ; Участник № 402 ; 60000 
 184 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; XF ; 7 ; AAE2006 ; 1100 
 185 ; Медаль  за защиту Севастополя. Имп. Александр II ; 1854-1855 ;  ; Ag ; VF ; 111 ; Участник № 51 ; 16000 
 186 ; Жетон. На коронацию Николая II ; 1896 ;  ; Ag ; AU ; 49 ; AAE2006 ; 8262 
 187 ; Рубль ; 1730 ;  ; Ag ; VF ; 15 ; Участник № 55 ; 32000 
 188 ; Денга (Петров-2р) ; 1712 ;  ; Cu ; VF+ ; 12 ; Участник № 51 ; 2200 
 189 ; Полушка (Петров-3р) ; 1767 ; КМ "Сибирь"  ; Cu ; VF- ; 21 ; Участник № 16 ; 3200 
 190 ; Копейка ; 1790 ; ЕМ  ; Cu ; VF+ ; 13 ; hummer ; 1001 
 191 ; Рубль ; 1809 ; СПБ ФГ  ; Ag ; XF- ; 27 ; Участник № 16 ; 42000 
 192 ; 5 копеек (Петров-7р, Ильин-5р) ; 1810 ; КМ  ; Cu ; VF+ ; 47 ; SDF ; 45900 
 193 ; 3/4 рубля-5 злотых ; 1833 ; НГ Рус.-Пол.  ; Ag ; VF-XF ; 26 ; ZOLTAN333 ; 12000 
 194 ; 10 копеек ; 1842 ; СПБ АЧ  ; Ag ; VF+ ; 19 ; Girus_ ; 1632 
 195 ; 2 копейки ; 1793 ; Е- М Павл.перечекан  ; Cu ; F-VF ; 4 ; Фандорин ; 3249 
 196 ; 2 копейки (Петров-6р, Ильин-3р) ; 1793 ; ЕМ Павл.перечекан  ; Cu ; F-VF ; 14 ; Фандорин ; 4081 
 197 ; Денга (Ильин-1р, Петров-1р) ; 1795 ; КМ  ; Cu ; F-VF ; 5 ; Участник № 147 ; 1300 
 198 ; Полушка (Петров-2,75р, Ильин-5р) ; 1795 ; КМ  ; Cu ; F-VF ; 15 ; SDF ; 5000 
 199 ; 2 копейки ; 1798 ; КМ  ; Cu ; F-VF ; 5 ; Участник № 23 ; 1100 
 200 ; Деньга (Петров-2,25р, Ильин-3р) ; 1805 ; КМ  ; Cu ; F-VF ; 25 ; Глол ; 30600 
 101 ; Рубль ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 19 ; AAE2006 ; 12138 
 102 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; VF+ ; 9 ; Участник № 133 ; 950 
 103 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 7 ; Участник № 62 ; 1300 
 104 ; 3 рубля ; 1835 ; СПБ ; Pt ; VF-XF ; 27 ; Глол ; 170340 
 105 ; 10 копеек ; 1836 ; СМ ; Cu ; F-VF ; 15 ; Участник № 55 ; 6000 
 106 ; 5 копеек ; 1837 ; СМ ; Cu ; VF+/VF ; 33 ; SDF ; 6543 
 107 ; 2 копейки ; 1837 ; ЕМ НА ; Cu ; VF ; 8 ; priwet ; 531 
 108 ; 2 копейки ; 1838 ; ЕМ НА ; Cu ; VF+ ; 9 ; SDF ; 1020 
 109 ; 1 грош ; 1838 ; MW Рус.-Пол. ; Cu ; VF+ ; 15 ; Глол ; 4500 
 110 ; Полтина ; 1839 ; СПБ НГ ; Ag ; XF+ ; 17 ; Участник № 62 ; 6500 
 111 ; 10 копеек ; 1839 ; СПБ НГ ; Ag ; XF+/AU ; 27 ; Участник № 222 ; 15000 
 112 ; 3 копейки ; 1840 ; СПМ ; Cu ; VF-XF ; 30 ; ZOLTAN333 ; 12908 
 113 ; Копейка ; 1840 ; ЕМ ; Cu ; XF+ ; 33 ; Глол ; 10311 
 114 ; Копейка ; 1840 ; СПМ ; Cu ; VF+ ; 3 ; priwet ; 306 
 115 ; 10 копеек ; 1841 ; СПБ НГ ; Ag ; VF-XF ; 38 ; Глол ; 19742 
 116 ; 1/2 копейки ; 1842 ; СПМ ; Cu ; VF-XF ; 9 ; Глол ; 1000 
 117 ; 1/4 копейки ; 1842 ; СПМ ; Cu ; VF-XF ; 59 ; Girus_ ; 2100 
 118 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; VF-XF ; 10 ; Gatchina ; 3570 
 119 ; 10 копеек ; 1843 ; СПБ АЧ ; Ag ; VF-XF ; 33 ; sas ; 10998 
 120 ; 3 копейки ; 1843 ; СПМ ; Cu ; VF+ ; 27 ; Глол ; 4045 
 121 ; 3 копейки ; 1844 ; ЕМ ; Cu ; VF+ ; 48 ; Участник № 148 ; 2000 
 122 ; Полтина ; 1845 ; СПБ КБ ; Ag ; VF-XF ; 20 ; Girus_ ; 5102 
 123 ; 25 копеек-50 грошей ; 1846 ; MW Рус.-Пол. ; Ag ; VF-XF ; 17 ; SDF ; 9080 
 124 ; 10 копеек ; 1847 ; СПБ ПА ; Ag ; XF+ ; 55 ; Глол ; 13076 
 125 ; 20 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 19 ; max7421 ; 11220 
