 351 ; Полтина ; 1897 ; ( * ) ; Ag ; XF ; 11 ; Участник № 132 ; 2200 
 352 ; 10 копеек ; 1898 ; СПБ АГ ; Ag ; AU ; 44 ; antiquar ; 8000 
 353 ; 3 копейки ; 1899 ; СПБ ; Cu ; XF+/AU ; 7 ; tisa66 ; 2040 
 354 ; 15 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 50 ; Участник № 545 ; 6400 
 355 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 27 ; fikus ; 1473 
 356 ; Рубль ; 1901 ; (АР) ; Ag ; VF+ ; 5 ; sg1945 ; 8162 
 357 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 11 ; Участник № 147 ; 1100 
 358 ; Рубль (редкая датировка) ; 1905 ; (АР) ; Ag ; VF ; 29 ; Участник № 1204 ; 38000 
 359 ; Рубль ; 1906 ; (ЭБ) ; Ag ; VF+ ; 21 ; kor ; 13000 
 360 ; Полтина ; 1908 ; (ЭБ) АГ ; Ag ; AU ; 52 ; Участник № 1204 ; 68000 
 361 ; 5 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 15 ; sail ; 1532 
 362 ; 3 копейки ; 1908 ; СПБ ; Cu ; XF+ ; 9 ; vindmitrij ; 1200 
 363 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF+ ; 15 ; Участник № 132 ; 3100 
 364 ; 5 копеек ; 1911 ; СПБ ; Cu ; XF+ ; 15 ; батя ; 565 
 365 ; Рубль ; 1915 ; (ВС) ; Ag ; AU ; 23 ; Участник № 9 ; 22000 
 366 ; Медаль. Победителю над пруссаками. 1 августа 1759 года. СПБ монетный двор ;  ;  ; Ag ; F-VF ; 35 ; cash ; 60000 
 367 ; 20 копеек. В капсуле NGC ; 1848 ; СПБ HI ; Ag ; MS 62 ; 12 ; Участник № 147 ; 2400 
 368 ; Полтина. В капсуле ANACS ; 1849 ; СПБ ПА ; Ag ; EF 45 ; 17 ; ААФ ; 4501 
 369 ; Рубль. В капсуле NGC ; 1858 ; СПБ ФБ ; Ag ; AU 58 ; 13 ; Участник № 54 ; 32000 
 370 ; 15 копеек. В капсуле NGC ; 1861 ; СПБ ФБ ; Ag ; MS 62 ; 12 ; 462 ; 1428 
 301 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 20 ; Участник № 133 ; 1600 
 302 ; 15 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 14 ; Участник № 1204 ; 2600 
 303 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 12 ; sail ; 1581 
 304 ; 5 копеек ; 1863 ; ЕМ ; Cu ; XF- ; 17 ; Участник № 523 ; 2000 
 305 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 17 ; ZOLTAN333 ; 3417 
 306 ; 3 копейки ; 1864 ; ЕМ ; Cu ; VF+ ; 29 ; Участник № 523 ; 1500 
 307 ; Рубль (Ильин-6р, редкий) ; 1865 ; СПБ НФ ; Ag ; VF- ; 26 ; Участник № 54 ; 32000 
 308 ; 2 копейки ; 1865 ; ЕМ ; Cu ; VF-XF ; 18 ; Участник № 523 ; 850 
 309 ; 10 копеек ; 1866 ; СПБ НФ ; Ag ; AU ; 7 ; Участник № 9 ; 5500 
 310 ; Рубль ; 1867 ; СПБ HI ; Ag ; XF+ ; 11 ; diesel ; 36000 
 311 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 27 ; Участник № 4 ; 4700 
 312 ; 2 копейки ; 1867 ; СПБ ; Cu ; XF ; 17 ; Участник № 1204 ; 4700 
 313 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; VF-XF ; 12 ; dimon46 ; 2040 
 314 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; AU ; 28 ; vindmitrij ; 4023 
 315 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; XF ; 23 ; overshtag ; 3700 
 316 ; Рубль ; 1871 ; СПБ HI ; Ag ; XF+ ; 54 ; Участник № 1177 ; 38000 
 317 ; Рубль ; 1873 ; СПБ HI ; Ag ; XF ; 42 ; 74dok ; 72420 
 318 ; Полтина (Ильин-8р) ; 1874 ; СПБ HI ; Ag ; VF- ; 27 ; Участник № 1204 ; 30000 
 319 ; 25 копеек. Редкая датировка ; 1874 ; СПБ HI ; Ag ; AU ; 20 ; Участник № 9 ; 66000 
 320 ; 20 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 17 ; vvt ; 4140 
 321 ; 25 копеек. Редкая датировка ; 1876 ; СПБ HI ; Ag ; VF+ ; 23 ; boroda ; 17340 
 322 ; 1/4 копейки ; 1878 ; СПБ ; Cu ; AU ; 19 ; Участник № 140 ; 3200 
 323 ; 15 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 18 ; Участник № 30 ; 6000 
 324 ; 5 копеек ; 1879 ; СПБ ; Cu ; VF-XF ; 11 ; Участник № 523 ; 650 
 325 ; 5 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 12 ; dsidorov ; 1022 
 326 ; 1/2 копейки ; 1883 ; СПБ ; Cu ; AU ; 47 ; kol ; 6221 
 327 ; 1/4 копейки ; 1883 ; СПБ ; Cu ; AU ; 26 ; kol ; 7000 
 328 ; 1/2 копейки ; 1884 ; СПБ ; Cu ; AU ; 30 ; vindmitrij ; 12342 
 329 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 32 ; Участник № 147 ; 1700 
 330 ; 1/2 копейки ; 1886 ; СПБ ; Cu ; AU ; 62 ; SАП ; 19750 
 331 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 19 ; alex-05 ; 3000 
 332 ; 25 копеек ; 1887 ; (АГ) АГ ; Ag ; XF- ; 31 ; Участник № 133 ; 36000 
 333 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; AU ; 19 ; alex-05 ; 2000 
 334 ; 1/2 копейки ; 1888 ; СПБ ; Cu ; AU ; 27 ; overshtag ; 4517 
 335 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 15 ; vindmitrij ; 3642 
 336 ; Полтина ; 1891 ; (АГ) ; Ag ; VF+ ; 39 ; 462 ; 15000 
 337 ; 1/4 копейки ; 1891 ; СПБ ; Cu ; AU ; 22 ; kol ; 5426 
 338 ; Рубль ; 1893 ; (АГ) ; Ag ; AU ; 26 ; Участник № 1177 ; 46000 
 339 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; AU/XF+ ; 13 ; ЛОШАРИК ; 1791 
 340 ; 1/2 копейки ; 1893 ; СПБ ; Cu ; AU ; 23 ; overshtag ; 2256 
 341 ; 1/2 копейки ; 1893 ; СПБ ; Cu ; AU ; 15 ; vindmitrij ; 1597 
 342 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; XF+ ; 35 ; Участник № 1204 ; 6600 
 343 ; 3 копейки ; 1894 ; СПБ ; Cu ; AU ; 19 ; Участник № 1204 ; 12000 
 344 ; 25 копеек ; 1895 ; АГ ; Ag ; XF+/AU ; 14 ; Участник № 1341 ; 3800 
 345 ; Рубль ; 1896 ; (АГ) ; Ag ; XF+ ; 10 ; Участник № 1177 ; 6000 
 346 ; Рубль ; 1896 ; (АГ) ; Ag ; VF-XF ; 6 ; Участник № 132 ; 1200 
 347 ; Рубль ; 1896 ; ( * ) ; Ag ; AU ; 94 ; andreyx  ; 8200 
 348 ; Рубль ; 1896 ; ( * ) ; Ag ; XF+/AU ; 25 ; Участник № 1204 ; 4200 
 349 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 22 ; Участник № 1204 ; 10500 
 350 ; Рубль ; 1897 ; ( ** ) ; Ag ; AU ; 93 ; Участник № 1177 ; 9000 
 251 ; 1/4 копейки. Аверс/реверс 10 градусов ; 1841 ; СПМ ; Cu ; XF+ ; 3 ; ЛОШАРИК ; 700 
 252 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 18 ; Участник № 133 ; 5000 
 253 ; Полтина (Петров-1р) ; 1842 ; СПБ АЧ ; Ag ; VF+ ; 23 ; ААФ ; 2200 
 254 ; 3 копейки (Ильин-3р) ; 1842 ; СМ ; Cu ; F-VF ; 9 ; irv ; 510 
 255 ; 2 копейки ; 1842 ; ЕМ ; Cu ; VF-XF ; 9 ; Участник № 523 ; 950 
 256 ; Копейка ; 1842 ; СПМ ; Cu ; XF- ; 13 ; Участник № 523 ; 950 
