 151 ; 5 рублей. М-6,54г ; 1876 ; СПБ НI ; Au ; VF-XF ; 16 ; ЮТВ ; 21096 
 101 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 59 ; Zyec ; 8000 
 102 ; 5 копеек ; 1859 ; ЕМ ; Cu ; XF ; 40 ; Участник № 392 ; 5800 
 103 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 77 ; Zyec ; 2000 
 104 ; 20 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; XF+/XF ; 12 ; andreisss ; 12240 
 105 ; 15 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; VF-XF ; 17 ; Zyec ; 1497 
 106 ; 10 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU ; 40 ; Участник № 133 ; 5400 
 107 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 51 ; Zyec ; 1022 
 108 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU ; 33 ; СВл ; 2040 
 109 ; 15 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 22 ; 3458 ; 1700 
 110 ; 10 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 6 ; Участник № 133 ; 1300 
 111 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 17 ; Участник № 133 ; 4600 
 112 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 36 ; Участник № 133 ; 1300 
 113 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 46 ; Iskatel ; 5355 
 114 ; 2 копейки ; 1862 ; ЕМ ; Cu ; XF+ ; 21 ; maka ; 7142 
 115 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 27 ; ААФ ; 1652 
 116 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 20 ; ААФ ; 4800 
 117 ; 2 копейки ; 1865 ; ЕМ ; Cu ; XF- ; 37 ; Участник № 51 ; 1900 
 118 ; 1 пенни ; 1866 ; Финляндия ; Cu ; VF+ ; 12 ; Участник № 392 ; 1200 
 119 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 17 ; patriot ; 614 
 120 ; 5 копеек ; 1868 ; СПБ ; Cu ; XF- ; 33 ; Prostota ; 4641 
 121 ; 1/4 копейки ; 1870 ; ЕМ ; Cu ; XF ; 28 ; Участник № 1341 ; 3900 
 122 ; Копейка ; 1875 ; ЕМ ; Cu ; AU ; 13 ; Участник № 51 ; 5200 
 123 ; 15 копеек ; 1878 ; СПБ НФ ; Ag ; AU/XF ; 19 ; Участник № 392 ; 2800 
 124 ; 25 копеек ; 1880 ; СПБ НФ ; Ag ; VF-XF ; 19 ; Ч.С. ; 3200 
 125 ; 10 копеек ; 1882 ; СПБ НФ ; Ag ; AU/XF ; 31 ; Участник № 392 ; 3800 
 126 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; AU ; 27 ; Участник № 133 ; 3200 
 127 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 41 ; SSK ; 3150 
 128 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 43 ; maka ; 2800 
 129 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 34 ; Участник № 133 ; 3000 
 130 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 28 ; Участник № 1389 ; 16500 
 131 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF ; 63 ; B-52 ; 10001 
 132 ; 10 пенни. Редка ; 1898 ; Финляндия ; Cu ; VF- ; 14 ; dimon46 ; 2550 
 133 ; Копейка ; 1903 ; СПБ ; Cu ; AU ; 110 ; Участник № 1341 ; 1600 
 134 ; 2 копейки ; 1905 ; СПБ ; Cu ; AU ; 35 ; Участник № 1341 ; 2300 
 135 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 9 ; Basilio ; 1007 
 136 ; Копейка ; 1906 ; СПБ ; Cu ; AU ; 23 ; Участник № 1341 ; 1800 
 137 ; 10 пенни ; 1908 ; Финляндия ; Cu ; XF- ; 24 ; ZOLTAN333 ; 744 
 138 ; 5 пенни. Редка ; 1910 ; Финляндия ; Cu ; VF- ; 17 ; dimon46 ; 2380 
 139 ; 1/4 копейки ; 1910 ; СПБ ; Cu ; AU ; 16 ; Участник № 147 ; 1400 
 140 ; 3 копейки ; 1912 ; СПБ ; Cu ; Unc/AU ; 65 ; Участник № 1341 ; 2600 
 141 ; 1/2 копейки ; 1916 ;  ; Cu ; XF+ ; 19 ; dimon46 ; 5800 
 142 ; 5 копеек. Брак монетного двора (смещение штемпеля) ; 1961 ;  ; Cu-Zn ; XF ; 33 ; Fedor_K ; 3582 
 143 ; 20 копеек ; 1928 ; в СССР С округлые, шт. 3 коп.1926 ; Ag ; AU ; 34 ; Участник № 392 ; 4600 
 144 ; 20 копеек ; 1930 ; в СССР С округлые, шт. 3 коп.1926 ; Ag ; AU ; 12 ; ZOLTAN333 ; 4590 
 145 ; Копейка (Петров-8р, Ильин-5р) ; 1716 ; НД ; Cu ; F+ ; 26 ; жорик ; 2800 
 146 ; 5 копеек ; 1874 ; ЕМ ; Cu ; VF-XF ; 19 ; SSK ; 1224 
 147 ; 5 копеек ; 1813 ; СПБ ПС ; Ag ; XF+ ; 14 ; Участник № 4 ; 1600 
 148 ; 25 пенни ; 1866 ; S Финляндия ; Ag ; VF ; 9 ; Участник № 392 ; 1600 
 149 ; Рубль ; 1897 ; (АГ) ; Ag ; VF-XF ; 34 ; ST ; 1286 
 150 ; 5 рублей. М-6,54г ; 1849 ; СПБ АГ ; Au ; XF ; 13 ; int1965708 ; 21111 
 51 ; 5 копеек (Петров-3р, Ильин-2р) ; 1807 ; КМ ; Cu ; VF-XF ; 82 ; andreisss ; 12841 
 52 ; 5 копеек (Петров-3р, Ильин-2р) ; 1807 ; КМ ; Cu ; VF+ ; 13 ; SSK ; 6500 
 53 ; Рубль ; 1809 ; СПБ МК ; Ag ; XF- ; 59 ; Участник № 1444 ; 19000 
 54 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF- ; 45 ; zvz ; 1022 
 55 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF- ; 9 ; ААФ ; 357 
 56 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF- ; 43 ; 439 ; 1071 
 57 ; Полтина ; 1813 ; СПБ ПС ; Ag ; XF/AU ; 26 ; Участник № 135 ; 24000 
 58 ; Деньга ; 1813 ; ИМ ПС ; Cu ; VF+ ; 61 ; SSK ; 1639 
 59 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; AU ; 33 ; СВл ; 3200 
 60 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF/AU ; 30 ; 1177 ; 10202 
 61 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU/XF ; 44 ; B-52 ; 10001 
 62 ; Полтина ; 1817 ; СПБ ПС ; Ag ; VF-XF ; 28 ; leo 2 ; 3938 
 63 ; 5 злотых ; 1817 ; IB Польша ; Ag ; VF+ ; 31 ; Fedor_K ; 11210 
 64 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU/XF ; 27 ; patriot ; 6370 
 65 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF/AU ; 32 ; patriot ; 5510 
 66 ; Полтина ; 1818 ; СПБ ПС ; Ag ; XF ; 15 ; leo 2 ; 2800 
 67 ; 1 злотый ; 1818 ; IB Польша ; Ag ; XF/AU ; 45 ; Участник № 392 ; 16000 
 68 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; XF ; 15 ; Участник № 1390 ; 620 
 69 ; Двойной абаз ; 1820 ; АТ Грузия ; Ag ; XF+ ; 63 ; Участник № 392 ; 8000 
 70 ; Двойной абаз ; 1821 ; АТ Грузия ; Ag ; VF+ ; 24 ; Участник № 392 ; 13000 
 71 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 26 ; Участник № 1389 ; 2000 
 72 ; Полтина ; 1824 ; СПБ ПД ; Ag ; XF/AU ; 69 ; Участник № 135 ; 36000 
 73 ; Рубль ; 1826 ; СПБ НГ ; Ag ; AU ; 72 ; Участник № 392 ; 56000 
 74 ; 25 копеек ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 30 ; Участник № 392 ; 8500 
 75 ; 5 копеек (Петров-1р). Деформация ; 1828 ; СПБ НГ ; Ag ; VF- ; 48 ; Участник № 392 ; 6600 
 76 ; Деньга ; 1828 ; ЕМ ИК ; Cu ; XF ; 60 ; Участник № 1390 ; 1300 
