 51 ; 2 копейки. Смещение заготовки ; 1842 ; ЕМ ; Cu ; XF- ; 40 ; asT ; 5000 
 52 ; 2 копейки ; 1846 ; СМ ; Cu ; XF- ; 25 ; Продано в зале ; 1900 
 53 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; AU/XF ; 19 ; 496 ; 3162 
 54 ; 5 копеек ; 1852 ; ЕМ ; Cu ; VF+ ; 42 ; Продано в зале ; 1600 
 55 ; Полушка (Ильин-1р) ; 1852 ; ВМ ; Cu ; AU ; 29 ; monos72 ; 15540 
 56 ; Рубль ; 1853 ; СПБ HI ; Ag ; XF- ; 35 ; 496 ; 10100 
 57 ; Денежка ; 1856 ; ВМ ; Cu ; VF ; 17 ; alk711 ; 3174 
 58 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF- ; 30 ; 661 ; 38874 
 59 ; 5 копеек ; 1859 ; ЕМ ; Cu ; VF-XF ; 16 ; Олег33 ; 2212 
 60 ; Денежка ; 1861 ; ВМ ; Cu ; XF- ; 9 ; vvt ; 5610 
 61 ; 5 копеек ; 1865 ; ЕМ ; Cu ; VF+ ; 15 ; Продано в зале ; 2100 
 62 ; Денежка ; 1866 ; ЕМ ; Cu ; VF+ ; 21 ; Продано в зале ; 4200 
 63 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 21 ; 462 ; 1836 
 64 ; 5 копеек ; 1872 ; ЕМ ; Cu ; VF-XF ; 23 ; Продано в зале ; 1800 
 65 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 27 ; Продано в зале ; 2100 
 66 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 32 ; Продано в зале ; 2200 
 67 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 13 ; OMT ; 1122 
 68 ; 1 пенни ; 1884 ; Финляндия ; Cu ; VF+ ; 39 ; арбат ; 8157 
 69 ; 20 копеек ; 1886 ; СПБ АГ ; Ag ; Unc/AU ; 29 ; DennisG ; 4284 
 70 ; 15 копеек ; 1887 ; СПБ АГ ; Ag ; AU/Unc ; 82 ; verunk1 ; 9500 
 71 ; 10 копеек ; 1888 ; СПБ АГ ; Ag ; Unc/AU ; 29 ; Продано в зале ; 4800 
 72 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; Unc/AU ; 15 ; verunk1 ; 5411 
 73 ; 5 рублей. М-4,3г ; 1909 ; (ЭБ) ; Au ; AU/XF ; 26 ; 496 ; 22286 
 74 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; XF ; 38 ; verunk1 ; 5151 
 75 ; Рубль ; 1915 ; (ВС) ; Ag ; XF/AU ; 14 ; Продано в зале ; 19500 
