 101 ; 1/2 копейки ; 1881 ; СПБ ; Cu ; XF ; 23 ; igors1969 ; 3253 
 102 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 28 ; igors1969 ; 3330 
 103 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 34 ; sdv75-2010 ; 2155 
 104 ; 1/2 копейки ; 1895 ; СПБ ; Cu ; AU ; 15 ; niger ; 3011 
 105 ; Полушка ; 1702? ;  ; Cu ; VF ; 8 ; Продано в зале ; 610 
 106 ; Полушка ; 1707 ;  ; Cu ; VF- ; 21 ; Lisik ; 2200 
 107 ; Полушка (Петров-5р, Ильин-5р) ; 1745 ; Орёл 1744 г. ; Cu ; F-VF ; 28 ; Продано в зале ; 5200 
 108 ; Полушка ; 1856 ; ЕМ ; Cu ; AU ; 51 ; Продано в зале ; 4600 
 109 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 11 ; Продано в зале ; 2500 
 110 ; 1/4 копейки ; 1883 ; СПБ ; Cu ; XF ; 35 ; Basilio ; 3325 
 111 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; XF+ ; 17 ; 462 ; 2819 
 112 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 29 ; taa ; 1734 
 113 ; 1/4 копейки ; 1896 ; СПБ ; Cu ; AU ; 16 ; sdv75-2010 ; 1530 
 114 ; 1/4 копейки ; 1915 ;  ; Cu ; AU ; 51 ; Продано в зале ; 6000 
 115 ; 2 пара-3 копейки ; 1773 ; Валахия ; Cu ; VF- ; 15 ; suhua ; 1720 
 116 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF- ; 13 ; serg2010 ; 2040 
 117 ; Один полтинник. Гурт - 1924 год ; 1925 ; (ПЛ 9 грамм. 2з. 10,5 д.) ; Ag ; XF- ; 47 ; dimass70 ; 14344 
 118 ; Жетон На коронацию Александра II. D-22мм ; 1856 ;  ; Ag ; AU ; 40 ; Продано в зале ; 8800 
 119 ; Георгиевский крест IV ст. №103390. Р-ры: 34 на 34мм ; 1904-1905 ;  ; Ag ; VF-XF ; 45 ; Продано в зале ; 21000 
 120 ; Георгиевская медаль IV степени №407798. D-28мм ;  ;  ; Ag ; VF+ ; 26 ; pmaster ; 3570 
 121 ; Знак. За освоение Печорского бассейна ;  ;  ; Br, эмаль ; XF- ; 26 ; korovan67 ; 11334 
 51 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 6 ; Эфес ; 1020 
 52 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; VF+ ; 36 ; benc ; 10100 
 53 ; 5 копеек ; 1822 ; СПБ ПД ; Ag ; AU ; 61 ; Продано в зале ; 7000 
 54 ; 5 копеек ; 1838 ; СПБ НГ ; Ag ; XF+ ; 42 ; Roman_B ; 2026 
 55 ; 5 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 34 ; 439 ; 6002 
 56 ; 1 марка ; 1865 ; S Финляндия ; Ag ; XF+ ; 5 ; Продано в зале ; 650 
 57 ; 1 марка ; 1890 ; L Финляндия ; Ag ; XF+ ; 8 ; Янкель ; 746 
 58 ; 1 марка ; 1915 ; S Финляндия ; Ag ; UNC/AU ; 8 ; Продано в зале ; 900 
 59 ; 10 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF ; 7 ; OMT ; 8254 
 60 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 35 ; Sky2 ; 5100 
 61 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF+ ; 21 ; Продано в зале ; 4100 
 62 ; 5 копеек ; 1729 ; МД Хвост широкий ; Cu ; VF ; 16 ; ВЭБ! ; 2642 
 63 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF ; 20 ; 7236 ; 2073 
 64 ; 5 копеек ; 1761 ;  ; Cu ; VF+ ; 30 ; OMT ; 3100 
 65 ; 5 копеек ; 1763 ; ЕМ ; Cu ; VF+ ; 26 ; OMT ; 714 
 66 ; 5 копеек ; 1765 ; ЕМ ; Cu ; VF+ ; 10 ; igors1969 ; 400 
 67 ; 5 копеек ; 1767 ; ЕМ ; Cu ; VF+ ; 12 ; Продано в зале ; 370 
 68 ; 5 копеек ; 1769 ; ЕМ ; Cu ; VF-XF ; 4 ; Продано в зале ; 410 
 69 ; 5 копеек. Брак гурчения ; 1770 ; ЕМ ; Cu ; VF+ ; 4 ; Продано в зале ; 2700 
 70 ; 5 копеек. Брак гурчения ; 1771 ; ЕМ ; Cu ; XF ; 21 ; Продано в зале ; 1000 
 71 ; 5 копеек ; 1772 ; ЕМ ; Cu ; XF- ; 10 ; Продано в зале ; 500 
 72 ; 5 копеек ; 1778 ; ЕМ ; Cu ; VF-XF ; 10 ; Продано в зале ; 500 
 73 ; 5 копеек ; 1778 ; ЕМ ; Cu ; VF+ ; 7 ; Продано в зале ; 6600 
 74 ; 5 копеек ; 1782 ; ЕМ ; Cu ; VF-XF ; 7 ; Продано в зале ; 500 
 75 ; 5 копеек ; 1787 ; ЕМ ; Cu ; VF-XF ; 7 ; Продано в зале ; 510 
 76 ; 5 копеек ; 1788 ; ЕМ ; Cu ; XF- ; 8 ; Продано в зале ; 900 
 77 ; 5 копеек ; 1789 ; АМ ; Cu ; VF-XF ; 9 ; Продано в зале ; 750 
 78 ; 5 копеек ; 1790 ; АМ ; Cu ; XF- ; 14 ; Продано в зале ; 2200 
 79 ; 5 копеек ; 1791 ; АМ ; Cu ; XF- ; 11 ; qaz21qaz ; 920 
 80 ; 5 копеек ; 1792 ; АМ ; Cu ; XF- ; 19 ; Продано в зале ; 7000 
 81 ; 5 копеек ; 1793 ; АМ ; Cu ; XF- ; 18 ; OMT ; 1259 
 82 ; 5 копеек ; 1794 ; АМ ; Cu ; XF- ; 10 ; Продано в зале ; 950 
