 101 ; Деньга (Петров-2,5р, Ильин-3р) ; 1804 ; КМ ; Cu ; VF+ ; 24 ; андрей&ка ; 15867 
 102 ; Денежка ; 1862 ; ВМ ; Cu ; VF+ ; 28 ; Продано в зале ; 2400 
 103 ; Полушка (Ильин-2р) ; 1707 ;  ; Cu ; VF ; 11 ; Продано в зале ; 3400 
 104 ; Полушка (Петров-6р, Ильин-5р) ; 1808 ; ЕМ ; Cu ; F-VF ; 36 ; андрей&ка ; 21000 
 105 ; Полушка ; 1859 ; ЕМ ; Cu ; XF- ; 25 ; Isay ; 3631 
 106 ; 1/4 копейки ; 1868 ; СПБ ; Cu ; AU ; 22 ; Продано в зале ; 8200 
 107 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; AU ; 26 ; андрей&ка ; 7000 
 108 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 14 ; messerer ; 3162 
 109 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; XF+ ; 16 ; fgd ; 3071 
 110 ; 3 гроша ; 1830 ; FH Польша ; Cu ; XF- ; 45 ; 222211 ; 8061 
 111 ; 10 пенни ; 1875 ; Финляндия ; Cu ; VF+ ; 48 ; Продано в зале ; 7200 
 112 ; Медаль. За храбрость. Александр III. D-29мм ;  ;  ; Ag ; VF- ; 17 ; валенок ; 14859 
 113 ; Жетон юбилейный 56 лет 24 марта 1900г ;  ;  ; Ag ; XF+ ; 98 ; gogo01 ; 32130 
 114 ; Жетон среднего учебного заведения. Р-ры: 30 на 49мм ;  ;  ; Ag ; XF+ ; 21 ; ZOLTAN333 ; 10204 
 115 ; Жетон среднего учебного заведения. Р-ры: 30 на 49мм ;  ;  ; Ag,эмаль ; XF ; 10 ; ZOLTAN333 ; 10204 
 116 ; Медаль.  В память адмирала Федора Апраксина. D-53мм ;  ;  ; Ж/м ; XF- ; 55 ; Продано в зале ; 25000 
 51 ; 5 копеек ; 1828 ; СПБ НГ ; Ag ; VF-XF ; 26 ; Isay ; 21000 
 52 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 43 ; Isay ; 7470 
 53 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 20 ; messerer ; 6120 
 54 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 31 ; Isay ; 7038 
 55 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 28 ; Isay ; 7038 
 56 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 30 ; 439 ; 6200 
 57 ; 5 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 21 ; Isay ; 5916 
 58 ; 10 копеек (Петров-6р, Ильин-3р) ; 1766 ; "Сибирь" ; Cu ; VF ; 54 ; vvt ; 53392 
 59 ; 10 копеек (Петров-5р, Ильин-3р) ; 1767 ; "Сибирь" ; Cu ; VF+ ; 51 ; нумизмат ; 34138 
 60 ; 10 копеек (Петров-2р) ; 1767 ; КМ "Сибирь" ; Cu ; VF+ ; 22 ; Petrogradka ; 10000 
