 101 ; Копейка ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 5 ; seimens ; 1600 
 102 ; Копейка ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 53 ; seimens ; 2034 
 103 ; Копейка ; 1789 ; ЕМ ; Cu ; VF+ ; 33 ; Продано в зале ; 3200 
 104 ; Копейка ; 1798 ; ЕМ ; Cu ; XF- ; 5 ; seimens ; 2051 
 105 ; Копейка ; 1801 ; ЕМ ; Cu ; XF- ; 13 ; seimens ; 2200 
 106 ; Копейка ; 1853 ; ВМ ; Cu ; VF+ ; 15 ; 1059 ; 3589 
 107 ; Копейка ; 1878 ; СПБ ; Cu ; AU/XF ; 31 ; seimens ; 2400 
 108 ; Копейка ; 1901 ; СПБ ; Cu ; AU ; 19 ; Продано в зале ; 2200 
 109 ; Денга. Брак чеканки ; 1749 ;  ; Cu ; VF ; 21 ; seimens ; 1300 
 110 ; Деньга (Петров-2,25р, Ильин-3р) ; 1807 ; КМ ; Cu ; F-VF ; 5 ; Dмитрий ; 6120 
 111 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; AU/XF ; 21 ; Продано в зале ; 7000 
 112 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; XF ; 25 ; seimens ; 2400 
 113 ; 1/2 копейки ; 1880 ; СПБ ; Cu ; XF+ ; 9 ; фанто-мас ; 4080 
 114 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 5 ; Продано в зале ; 2900 
 115 ; Полушка ; 1768 ; КМ "Сибирь" ; Cu ; VF+ ; 9 ; seimens ; 1607 
 116 ; Полушка ; 1770 ; КМ "Сибирь" ; Cu ; VF+ ; 5 ; seimens ; 816 
 117 ; Полушка. Новодел ; 1802 ; КМ К. не доходит до ободка ; Cu ; AU ; 28 ; Sky2 ; 28220 
 118 ; Бисти ; 1810 ; Грузия ; Cu ; VF ; 51 ; Продано в зале ; 12000 
 119 ; Жетон На коронацию Николая I. D-22мм ; 1826 ;  ; Ag ; XF+ ; 20 ; Продано в зале ; 15000 
 120 ; Георгиевский крест III ст № 166088. Р-ры: 34х34мм ; 1856-1913 ; Георгия III ст. ; Ag ; AU/XF ; 30 ; 67 ; 19131 
