 51 ; 1 копейка Инкузный след ;  ;  ; Cu ; VF ; 63 ; Sky2 ; 6246 
 52 ; Копейка ; 1901 ; СПБ ; Cu ; AU ; 23 ; Продано в зале ; 3600 
 53 ; Денга ; 1703 ;  ; Cu ; VF ; 11 ; Sporti84 ; 3657 
 54 ; Деньга (Петров-1р, Ильин1р) ; 1805 ; ЕМ ; Cu ; VF- ; 81 ; Костян 92 ; 11561 
 55 ; Денежка ; 1851 ; ЕМ ; Cu ; XF+ ; 31 ; Продано в зале ; 3800 
 56 ; Георгиевский крест  IV степени №755342 ;  ;  ; Ag ; XF ; 94 ; 1999 ; 16567 
 57 ; Георгиевская медаль IV степни  №486931. D-28мм ;  ;  ; Ag ; XF ; 99 ; Продано в зале ; 10000 
 58 ; Медаль "За усердие". D-28мм ;  ;  ; Ag ; XF+ ; 41 ; Sky2 ; 6130 
 59 ; Жетон На коронацию Николая II. D-24мм ; 1896 ;  ; Ag ; AU ; 64 ; Boss Orange ; 6000 
 60 ; Жетон в память открытия памятника АII в Москве ; 1898 ;  ; Ж/М ; AU ; 70 ; Sky2 ; 4905 
 61 ; Жетон Французская выставка в Москве ; 1891 ;  ; Ж/М ; XF+ ; 37 ; Продано в зале ; 3400 
 62 ; Жетон об окончании учебного заведения ; 1925-1926 ;  ; Б/м,эмаль ; XF ; 53 ; ZOLTAN333 ; 9000 
 63 ; Спортивный жетон. Велосипед ;  ;  ; Ж/м,эмаль ; XF- ; 42 ; alex09 ; 5732 
 64 ; Спортивный жетон. Велосипед ;  ;  ; Ag ; XF+ ; 29 ; Продано в зале ; 6200 
 65 ; Жетон об окончании учебного заведения ; 1918 ;  ; Ag ; VF-XF ; 10 ; Продано в зале ; 3200 
 66 ; 15 копеек. В капсуле NGC ; 1917 ; ВС ; Ag ; MS65 ; 39 ; Продано в зале ; 9500 
 67 ; 10 копеек. В капсуле PCGS ; 1917 ; ВС ; Ag ; MS63 ; 27 ; karden53 ; 8670 
 68 ; 1/4 копейки. В капсуле  NGC ; 1886 ; СПБ ; Cu ; MS61 ; 9 ; ЛАВ-13 ; 4533 
 1 ; Рубль ; 1739 ;  ; Ag ; VF-XF ; 35 ; Продано в зале ; 30000 
 2 ; Рубль ; 1742 ; СПБ ; Ag ; XF- ; 57 ; Продано в зале ; 27000 
 3 ; Рубль ; 1743 ; ММД ; Ag ; VF-XF ; 27 ; Продано в зале ; 22000 
 4 ; Рубль ; 1751 ; ММД ; Ag ; XF ; 54 ; sergius ; 29000 
 5 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; XF+ ; 20 ; Продано в зале ; 44000 
 6 ; Рубль ; 1756 ; СПБ IM BS ; Ag ; XF+ ; 39 ; Продано в зале ; 29000 
 7 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF+ ; 27 ; Продано в зале ; 17000 
 8 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; XF+ ; 38 ; Продано в зале ; 23000 
 9 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; XF+ ; 30 ; Продано в зале ; 17000 
 10 ; Рубль ; 1768 ; ММД EI ; Ag ; VF ; 39 ; leo 2 ; 22222 
 11 ; Рубль ; 1803 ; СПБ АИ ; Ag ; VF-XF ; 41 ; Sky2 ; 18015 
 12 ; Рубль (Петров-2,5р) ; 1826 ; СПБ НГ ; Ag ; VF+ ; 27 ; котик ; 24899 
 13 ; Рубль ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 39 ; Brilev ; 17747 
 14 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 43 ; Sky2 ; 6825 
 15 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 35 ; sax ; 16981 
 16 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF ; 32 ; gerom ; 28881 
 17 ; Полтина ; 1829 ; СПБ НГ ; Ag ; XF ; 37 ; Продано в зале ; 32000 
 18 ; Полтина ; 1855 ; СПБ HI ; Ag ; XF+ ; 35 ; sergius ; 24480 
 19 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF ; 26 ; sax ; 7266 
 20 ; Полуполтинник ; 1757 ; ММД МБ ; Ag ; VF+ ; 36 ; Продано в зале ; 4600 
