 101 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; AU ; 48 ; 1230321 ; 42000 
 102 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF+ ; 19 ; Продано в зале ; 4000 
 103 ; Рубль ; 1897 ; (АГ) ; Ag ; AU ; 32 ; Продано в зале ; 15500 
 104 ; Рубль ; 1898 ; (АГ) ; Ag ; AU ; 65 ; 1230321 ; 18000 
 105 ; Рубль ; 1898 ; ( * ) ; Ag ; XF ; 34 ; 462 ; 11787 
 106 ; Рубль ; 1898 ; ( ** ) ; Ag ; XF+ ; 29 ; Продано в зале ; 9500 
 107 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF+ ; 25 ; 1230321 ; 17544 
 108 ; Рубль ; 1899 ; ( ** ) ; Ag ; XF ; 15 ; taa ; 9180 
 109 ; Рубль ; 1900 ; (ФЗ) ; Ag ; XF ; 49 ; Продано в зале ; 28000 
 110 ; Рубль ; 1901 ; (ФЗ) ; Ag ; AU ; 63 ; Продано в зале ; 34000 
 111 ; Рубль ; 1906 ; (ЭБ) ; Ag ; XF- ; 71 ; никсер ; 29466 
 112 ; Рубль ; 1907 ; (ЭБ) ; Ag ; VF ; 25 ; sax ; 6119 
 113 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF- ; 36 ; 462 ; 22667 
 114 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF- ; 24 ; cvb ; 8512 
 115 ; Рубль ; 1913 ; (ЭБ) ; Ag ; XF+ ; 113 ; Продано в зале ; 52000 
 116 ; Рубль ; 1914 ; (ВС) ; Ag ; AU ; 49 ; Продано в зале ; 52000 
 51 ; 5 копеек (Петров-3р) ; 1788 ; КМ ; Cu ; VF-XF ; 27 ; тукер1 ; 5674 
 52 ; 5 копеек ; 1790 ; ЕМ ; Cu ; VF-XF ; 11 ; Продано в зале ; 900 
 53 ; 5 копеек ; 1791 ; ЕМ ; Cu ; VF-XF ; 23 ; QQ ; 1110 
 54 ; 5 копеек ; 1792 ; ЕМ ; Cu ; VF-XF ; 48 ; коррозия ; 2593 
 55 ; 5 копеек ; 1793 ; ЕМ ; Cu ; VF-XF ; 37 ; electra ; 1450 
 56 ; 5 копеек ; 1795 ; ЕМ ; Cu ; VF-XF ; 61 ; коррозия ; 1527 
 57 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF+ ; 54 ; нумизмат ; 21726 
 58 ; 5 копеек. Петров-2р ; 1802 ; КМ ; Cu ; XF ; 98 ; Продано в зале ; 46000 
 59 ; 5 копеек. В капсуле NGC VF 35 ; 1831 ; ЕМ ФХ ; Cu ;  ; 26 ; коррозия ; 2488 
 60 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 37 ; nikerof ; 3174 
