 101 ; Медаль на учреждение губерний 1775г. Медальер Т.Иванов, И.П.Бобровщиков. D-78мм ;  ;  ; Б/м ; VF-XF ; 65 ; Продано в зале ; 8000 
 51 ; 5 копеек ; 1792 ; КМ ; Cu ; VF-XF ; 29 ; krugerrand ; 4195 
 52 ; 5 копеек ; 1794 ; АМ ; Cu ; VF-XF ; 17 ; аlеx ; 1622 
 53 ; 5 копеек. Новодел ; 1802 ; ЕМ Новодел ; Cu ; XF+ ; 21 ; Продано в зале ; 40000 
 54 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 57 ; electra ; 5146 
 55 ; 5 копеек ; 1803 ; КМ ; Cu ; VF+ ; 27 ; Продано в зале ; 4600 
 56 ; 5 копеек ; 1831 ; ЕМ ; Cu ; XF+ ; 52 ; lupus47 ; 18000 
 57 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; XF- ; 46 ; Продано в зале ; 5400 
 58 ; 4 копейки ; 1762 ;  ; Cu ; VF ; 65 ; ГдРъ ; 6573 
 59 ; 4 копейки ; 1762 ;  ; Cu ; F+ ; 67 ; Zakhapisty ; 10002 
 60 ; 4 копейки. Гурт надпись ; 1762 ;  ; Cu ; VG/F ; 94 ; samara 67 ; 8100 
 61 ; 3 копейки ; 1858 ; ВМ ; Cu ; VF ; 51 ; double ; 8250 
 62 ; 3 копейки ; 1862 ; ВМ ; Cu ; VF+ ; 41 ; Продано в зале ; 27000 
 63 ; 2 копейки. Брак чеканки ; 1757 ; Номинал под гербом ; Cu ; VF ; 35 ; 16 ; 7800 
 64 ; 2 копейки ; 1758 ;  ; Cu ; VF- ; 46 ; Продано в зале ; 7800 
 65 ; 2 копейки ; 1759 ; Гурт надп. ЕКАТЕРИНБУРГ ; Cu ; F+ ; 64 ; брат Черпоя ; 3959 
 66 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF-XF ; 69 ; водкой надо ; 2913 
 67 ; 2 копейки ; 1864 ; ЕМ ; Cu ; VF-XF ; 37 ; Продано в зале ; 5700 
 68 ; 2 копейки ; 1865 ; ЕМ ; Cu ; XF- ; 22 ; papinazu ; 3639 
 69 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 73 ; Шаурма ; 13657 
 70 ; Копейка ; 1766 ; ММ ; Cu ; VF+ ; 17 ; Продано в зале ; 4200 
 71 ; Копейка ; 1840 ; СПМ ; Cu ; VF-XF ; 19 ; Sky2 ; 1145 
 72 ; Копейка ; 1855 ; ЕМ ; Cu ; XF ; 31 ; Продано в зале ; 3000 
 73 ; Копейка ; 1860 ; ВМ ; Cu ; XF ; 56 ; Продано в зале ; 13000 
 74 ; Копейка ; 1866 ; ЕМ ; Cu ; VF+ ; 22 ; Sky2 ; 3200 
 75 ; Деньга ; 1804 ; КМ ; Cu ; VG ; 41 ; нумизмат ; 8000 
 76 ; Деньга ; 1813 ; ИМ ПС ; Cu ; VF+ ; 23 ; нумизмат ; 1903 
 77 ; Деньга ; 1814 ; ИМ СП ; Cu ; VF- ; 28 ; ct200h ; 7640 
