 51 ; 5 копеек ; 1761 ; ММ ; Cu ; F-VF ; 19 ; ААФ ; 5005 
 52 ; 5 копеек ; 1775 ; ЕМ ; Cu ; VF-XF ; 17 ; electra ; 1500 
 53 ; 5 копеек ; 1776 ; ЕМ ; Cu ; VF-XF ; 18 ; electra ; 1500 
 54 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 13 ; double ; 2313 
 55 ; 5 копеек ; 1785 ; КМ ; Cu ; VF-XF ; 13 ; Мари ; 3064 
 56 ; 5 копеек ; 1791 ; АМ ; Cu ; VF-XF ; 11 ; РО ; 1728 
 57 ; 5 копеек ; 1806 ; ЕМ ; Cu ; VF+ ; 33 ; Foks ; 4812 
 58 ; 5 копеек ; 1809 ; ЕМ ; Cu ; VF+ ; 16 ; gurt72 ; 7104 
 59 ; 5 копеек ; 1866 ; ЕМ ; Cu ; VF+ ; 47 ; ЛАВ-13 ; 3463 
 60 ; 3 копейки ; 1915 ;  ; Cu ; AU ; 18 ; arcadymer ; 665 
 61 ; 2 копейки ; 1762 ;  ; Cu ; VF- ; 34 ; papinazu ; 22667 
 62 ; 2 копейки ; 1766 ; ММ ; Cu ; VF+ ; 9 ; Продано в зале ; 1800 
 63 ; 2 копейки ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 50 ; валенок ; 6500 
 64 ; 2 копейки ; 1774 ; КМ "Сибирь" ; Cu ; VF- ; 25 ; Продано в зале ; 2200 
 65 ; 2 копейки ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 19 ; fgd ; 2876 
 66 ; 2 копейки. В капсуле RNGA ; 1798 ; КМ ; Cu ;  ; 24 ; *400* ; 3400 
 67 ; 2 копейки ; 1801 ; ЕМ ; Cu ; XF- ; 16 ; sdv75-2010 ; 2300 
 68 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF ; 41 ; Чук ; 2795 
 69 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; AU ; 16 ; Борис Моисеевич ; 5102 
 70 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF ; 20 ; Продано в зале ; 1700 
 71 ; 2 копейки. В капсуле RNGA ; 1811 ; КМ ПБ ; Cu ;  ; 15 ; ААФ ; 2501 
 72 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; AU ; 21 ; Продано в зале ; 2200 
 73 ; 2 копейки ; 1863 ; ЕМ ; Cu ; VF+ ; 40 ; Foks ; 2754 
 74 ; 2 копейки ; 1916 ;  ; Cu ; AU ; 15 ; ААФ ; 504 
 75 ; 2 копейки ; 1915 ;  ; Cu ; AU ; 10 ; Гаечка ; 359 
 76 ; Копейка ; 1794 ; ЕМ ; Cu ; VF+ ; 29 ; валенок ; 18123 
 77 ; Копейка ; 1795 ; ЕМ ; Cu ; VF ; 6 ; Продано в зале ; 1100 
 78 ; Копейка. В капсуле RNGA ; 1800 ; ЕМ ; Cu ;  ; 27 ; Начальник ; 2647 
 79 ; Копейка ; 1916 ;  ; Cu ; AU ; 7 ; РО ; 306 
 80 ; Денга ; 1772 ; ЕМ ; Cu ; F-VF ; 10 ; N.A.S.A ; 400 
 81 ; Денга ; 1795 ; ЕМ ; Cu ; VF+ ; 40 ; Sky2 ; 2400 
 82 ; 1/2 копейки ; 1893 ; СПБ ; Cu ; AU ; 32 ; Продано в зале ; 3600 
 83 ; 1/2 копейки ; 1894 ; СПБ ; Cu ; XF+ ; 69 ; Продано в зале ; 15000 
 84 ; Полушка ; 1768 ; ЕМ ; Cu ; VF ; 19 ; UNС ; 2500 
 85 ; Полушка ; 1789 ; ЕМ ; Cu ; VF+ ; 19 ; Sky2 ; 2869 
 86 ; Полушка ; 1790 ; ЕМ ; Cu ; VF+ ; 13 ; Sky2 ; 2877 
 87 ; Полушка ; 1797 ; АМ ; Cu ; VF ; 17 ; Продано в зале ; 1600 
 88 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 14 ; Druja ; 1676 
 89 ; 1/4 копейки ; 1909 ; СПБ ; Cu ; AU ; 24 ; Druja ; 1634 
 90 ; 1/4 копейки ; 1915 ;  ; Cu ; AU ; 48 ; Продано в зале ; 10500 
