 101 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; XF ; 26 ; A-antik ; 3200 
 102 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 5 ; ЛАВ-13 ; 1656 
 103 ; Бисти ; 1808 ; Грузия ; Cu ; VF ; 67 ; Продано в зале ; 23000 
 104 ; 2 копейки ; 1991 ; В белом металле ;  ; XF+ ; 38 ; Продано в зале ; 17000 
 105 ; Настольная медаль В память 200-летнего юбилея Лейб-Гвардии Кексгольмского полка 1710-1910гг D-70мм ;  ;  ; Br ; VF+ ; 25 ; Продано в зале ; 13000 
 106 ; Медаль. Первый консул Наполеон Бонапарт, возродивший Лион. Франция. D-43мм ;  ;  ; Br ; VF-XF ; 15 ; sm-dc ; 3000 
 107 ; Медаль. Первый консул Наполеон Бонапарт. Люневильский мир 9 февраля 1801. Франция. D-42мм. Гурт отверстие 12 часов ;  ;  ; Br ; VF+ ; 9 ; sm-dc ; 2600 
 108 ; Медаль. Император Наполеон Бонапарт и Мария-Луиза Австрийская. Бракосочетание 1 апреля 1810 года. Франция. D-40мм ;  ;  ; Br ; XF- ; 25 ; Продано в зале ; 5000 
 109 ; Памятная медаль. Наполеон Бонапарт и Жозефина Богарне. Церемония коронации в Париже. Франция. D-35мм ;  ;  ; Br ; AU ; 32 ; Продано в зале ; 3800 
 110 ; Памятная медаль. Наполеон Бонапарт. Музей Наполеона. Франция. D-39мм ;  ;  ; Br ; VF-XF ; 17 ; sm-dc ; 2600 
 111 ; Медаль. Император Наполеон Бонапарт. Встреча Наполеона и Франца II. 4 декабря 1805. Франция. D-40мм ;  ;  ; Br ; VF ; 13 ; sm-dc ; 3200 
 112 ; Медаль. Император Наполеон Бонапарт. Император посещает Берлин. Бранденбургские ворота. Франция. D-41мм ;  ;  ; Br ; XF+ ; 14 ; sm-dc ; 3103 
 113 ; Медаль. Император Наполеон Бонапарт. Пресбургский мир 1805 года. Храм Юпитера. Франция. D-40мм ;  ;  ; Br ; XF ; 19 ; Продано в зале ; 3800 
 114 ; Медаль. Император Наполеон Бонапарт. Принимая Вильно (Вильню). Франция. D-40мм ;  ;  ; Br ; VF-XF ; 25 ; sm-dc ; 4200 
 115 ; Медаль. Император Наполеон Бонапарт. Французская армия переправляется через Волгу. Франция. D-41мм ;  ;  ; Br ; AU ; 41 ; Продано в зале ; 7250 
 116 ; Медаль. Император Наполеон Бонапарт. Орел с богиней Никой. 1807. Франция. D-40мм ;  ;  ; Br ; AU ; 18 ; Продано в зале ; 4200 
 117 ; Медаль. Император Наполеон Бонапарт. Клятва французской армии. 10 октября 1805г. Франция. D-40мм ;  ;  ; Br ; XF ; 19 ; sm-dc ; 4200 
 118 ; Медаль. Император Наполеон Бонапарт. Колонна Великой Армии. Франция. D-40мм ;  ;  ; Br ; XF+ ; 19 ; Продано в зале ; 3200 
 51 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF ; 63 ; fgd ; 2550 
 52 ; 5 копеек ; 1843 ; СПБ АЧ ; Ag ; VF-XF ; 15 ; Olimpia ; 3249 
 53 ; 5 копеек ; 1847 ; СПБ ПА ; Ag ; XF+ ; 47 ; Alex22D ; 7032 
 54 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; XF+ ; 41 ; ААФ ; 2693 
 55 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 48 ; ААФ ; 4501 
 56 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 40 ; grut ; 7250 
 57 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; XF+ ; 21 ; Aleop ; 4082 
 58 ; 5 копеек ; 1883 ; СПБ АГ ; Ag ; XF ; 67 ; ЛАВ-13 ; 5555 
 59 ; Двойной абаз ; 1813 ; АТ Грузия ; Ag ; VF ; 32 ; Продано в зале ; 9500 
 60 ; Двойной абаз ; 1831 ; ВК Грузия ; Ag ; VF+ ; 32 ; N.A.S.A ; 5261 
 61 ; Абаз ; 1813 ; АТ Грузия ; Ag ; VF+ ; 23 ; Продано в зале ; 40000 
 62 ; 5 копеек ; 1725 ; МД Дата снизу вверх ; Cu ; VF ; 35 ; N.A.S.A ; 2767 
 63 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF+ ; 78 ; stroganchik87 ; 5612 
 64 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF+ ; 41 ; Продано в зале ; 3700 
 65 ; 5 копеек (Петров-5р, Ильин-5р) ; 1767 ; ММ ; Cu ; VF- ; 45 ; ZOLTAN 333 ; 10500 
 66 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF ; 46 ; DiatezЪ ; 30000 
 67 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF+ ; 49 ; 464 ; 11220 
 68 ; 5 копеек ; 1807 ; КМ ; Cu ; XF- ; 55 ; Продано в зале ; 15000 
 69 ; 5 копеек ; 1809 ; КМ ; Cu ; XF ; 30 ; CapsulЪ ; 16322 
 70 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; XF ; 15 ; ЛАВ-13 ; 4590 
 71 ; 3 копейки ; 1846 ; СМ ; Cu ; VF- ; 45 ; Продано в зале ; 4500 
 72 ; 2 копейки (Петров-15р, Ильин-8р) ; 1767 ; "Сибирь" ; Cu ; F- ; 15 ; Olimpia ; 26495 
 73 ; 2 копейки ; 1777 ; КМ "Сибирь" ; Cu ; XF- ; 27 ; N.A.S.A ; 2777 
 74 ; 2 копейки ; 1797 ; ЕМ ; Cu ; XF ; 27 ; Продано в зале ; 2600 
 75 ; 2 копейки ; 1823 ; КМ АМ ; Cu ; XF+ ; 25 ; Продано в зале ; 4400 
 76 ; 2 копейки ; 1827 ; КМ АМ ; Cu ; XF+ ; 37 ; Продано в зале ; 4600 
 77 ; Копейка. В капсуле ННР ; 1708 ; МД ; Cu ;  ; 49 ; il468 ; 3700 
 78 ; Копейка ; 1710 ; МД ; Cu ; VF ; 50 ; Продано в зале ; 2800 
 79 ; Копейка. В мини капсуле ННР ; 1713 ; М Д ; Cu ;  ; 45 ; ЛАВ-13 ; 3409 
 80 ; Копейка ; 1713 ; М Д ; Cu ; VF ; 58 ; N.A.S.A ; 2800 
