 101 ; Медаль В память посещение Петром I Парижского монетного двора, 1 июня 1717. D-59мм ;  ;  ; Cu ; VF-XF ; 28 ; jbl ; 12266 
 102 ; Медаль 10-й сельскохозяйственной выставки в г. Ваза в 1894. Финляндия. D-56мм ;  ;  ; Cu ; AU ; 17 ; gelo ; 5100 
 103 ; Медаль. Император Наполеон Бонапарт. Сражение при Шампобере. Франция. D-41мм ;  ;  ; Ag ; VF-XF ; 30 ; Продано в зале ; 12000 
 104 ; Медаль. Генерал Наполеон Бонапарт. Сражение у Монтенотте. 1796г. Франция. D-41мм ;  ;  ; Br ; XF ; 12 ; 1774 ; 3955 
 105 ; Медаль. Император Наполеон Бонапарт. Битва при Йене и Ауэрштедте. 1806г. Франция. D-41мм ;  ;  ; Br ; AU ; 13 ; jbl ; 5100 
 106 ; Медаль. Император Наполеон Бонапарт. Ваграмская битва. 1809г. Франция. D-41мм ;  ;  ; Br ; AU ; 8 ; sm-dc ; 5100 
 107 ; Медаль. Император Наполеон Бонапарт. Битва при Йене и Ауэрштедте. 1806г. Франция. D-41мм ;  ;  ; Br ; AU ; 5 ; sm-dc ; 5100 
 108 ; Знак В честь 100-летие павловского пехотного училища. Санкт-Петербург. Р-ры 33х49мм ;  ;  ; Br,золочен ; VF-XF ; 30 ; Продано в зале ; 18000 
 109 ; 20 копеек ; 1840 ; СПБ НГ ; Ag ; XF ; 43 ; polus ; 6250 
 110 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 47 ; I3 ; 4200 
 111 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; XF+ ; 17 ; Нико ; 1112 
 112 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 39 ; 23011976 ; 2240 
 113 ; 10 копеек ; 1822 ; СПБ ПД ; Ag ; XF- ; 35 ; 333985 ; 2000 
 114 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 26 ; polus ; 2154 
 115 ; 10 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 58 ; I3 ; 8000 
 116 ; 5 копеек ; 1809 ; ЕМ ; Cu ; VF-XF ; 51 ; polus ; 8500 
 117 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 59 ; EON ; 3200 
 118 ; 2 копейки ; 1842 ; СПМ ; Cu ; XF ; 48 ; Rumpel ; 7500 
 119 ; Копейка ; 1830 ; ЕМ ИК ; Cu ; VF-XF ; 24 ; EON ; 2200 
 120 ; Копейка ; 1851 ; ВМ ; Cu ; XF ; 97 ; polus ; 8000 
 121 ; Копейка ; 1853 ; ВМ ; Cu ; VF+ ; 57 ; Hokusai ; 7250 
 122 ; Полушка ; 1855 ; ЕМ ; Cu ; XF+ ; 51 ; electra ; 4600 
