 101 ; 1/4 копейки (Ильин-2р) ; 1871 ; ЕМ ; Cu ; VF+ ; 46 ; sdv75-2010 ; 11500 
 102 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; XF ; 22 ; Продано в зале ; 6000 
 103 ; 1/4 копейки. Капсула ; 1899 ; СПБ ; Cu ;  ; 74 ; Продано в зале ; 3500 
 104 ; 10 пенни ; 1897 ; Финляндия ; Cu ; AU ; 48 ; Braslav ; 25000 
 105 ; Полкопейки ; 1925 ;  ; Cu ; AU ; 85 ; Продано в зале ; 44000 
 106 ; Медаль За беспорочную службу в полиции. Император Александр III. D-36мм. М-31,03г. С экспертным заключением Левина С.С ;  ;  ; Ag ; XF ; 34 ; vv2805 ; 57500 
 107 ; Медаль. 25 лет Церковно-приходским школам 1884-1909гг. D-28мм. Клейма на ушке ;  ;  ; Ag ; VF-XF ; 37 ; vv2805 ; 15000 
 108 ; Медаль. От главного управления землеустройства и земледелия. D-65мм ;  ;  ; Cu ; AU ; 61 ; Продано в зале ; 10500 
 109 ; Знак ГВФ за налет 500 тыс. км. № 4899 ;  ;  ; Ag,эмаль ; VF+ ; 107 ; korzub ; 47859 
 110 ; Медаль В память 50-летия научной деятельности И.П.Павлова. 1924 г. Подпись медальера справа внизу А.В.(А.Ф.Васютинский). D-51мм ; 1924 ;  ; Br ; XF ; 46 ; jbl ; 6000 
 111 ; Владимир Биткин. Сводный каталог монет России. Часть I (1699-1740гг) и часть II (1740-1917гг). Киев 2003г. ;  ;  ;  ;  ; 82 ; Продано в зале ; 31000 
 112 ; Подарочный набор изданий "Конрос-информ". Базовый каталог "Монеты России 1700-1917 гг", В. Е. Семенов. Выпуск - 2021 год, 21 редакция. Монеты России 1700 - 1917 гг., каталог-справочник, 2021 год, 16 редакция, А4 формат ;  ;  ;  ;  ; 47 ; Продано в зале ; 6500 
 51 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF+ ; 26 ; CapsulЪ ; 16000 
 52 ; 5 копеек ; 1802 ; КМ ; Cu ; VF-XF ; 35 ; specta ; 25735 
 53 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 30 ; vit2503 ; 6000 
 54 ; 5 копеек ; 1804 ; КМ ; Cu ; XF- ; 25 ; гудзон ; 7500 
 55 ; 5 копеек ; 1806 ; ЕМ ; Cu ; XF- ; 38 ; гудзон ; 7250 
 56 ; 5 копеек (Ильин-1р) ; 1834 ; СМ ; Cu ; VF-XF ; 29 ; sdv75-2010 ; 3800 
 57 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF-XF ; 40 ; sergius ; 3200 
 58 ; 5 копеек ; 1836 ; ЕМ ФХ ; Cu ; XF- ; 25 ; гудзон ; 2000 
 59 ; 5 копеек ; 1870 ; ЕМ ; Cu ; VF-XF ; 26 ; CapsulЪ ; 5250 
 60 ; 5 копеек ; 1873 ; ЕМ ; Cu ; XF ; 44 ; CapsulЪ ; 5250 
 61 ; 3 копейки ; 1840 ; СПМ ; Cu ; VF+ ; 27 ; vit2503 ; 3200 
 62 ; 3 копейки ; 1867 ; СПБ ; Cu ; Unc ; 136 ; Продано в зале ; 95000 
 63 ; 3 копейки ; 1870 ; ЕМ ; Cu ; VF-XF ; 11 ; Продано в зале ; 5500 
 64 ; 3 копейки. Капсула ; 1896 ; СПБ ; Cu ;  ; 20 ; Остин ; 7250 
 65 ; 2 копейки ; 1766 ; ММ ; Cu ; VF ; 19 ; Zakhapisty ; 1100 
 66 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; XF- ; 30 ; Продано в зале ; 12500 
