 201 ; 3 копейки ; 1916 ;  ; Cu ; AU ; 9 ; Участник № 720 ; 1000 
 202 ; Копейка ; 1916 ;  ; Cu ; AU ; 7 ; Участник № 720 ; 660 
 203 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 13 ; Гарик ; 4500 
 204 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 17 ; Гарик ; 3400 
 205 ; Полушка (Петров-18р, Ильин-15р) ; 1708 ;  ; Cu ; F-VF ; 19 ; igorf ; 40000 
 206 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF-XF ; 10 ; igorf ; 7140 
 207 ; Копейка (Петров-12р, Ильин-8р) ; 1815 ; ЕМ НМ ; Cu ; F-VF ; 8 ; leo 2 ; 1530 
 208 ; Копейка ; 1824 ; ЕМ ПГ ; Cu ; VF- ; 7 ; leo 2 ; 255 
 209 ; 2 копейки ; 1853 ; ЕМ ; Cu ; VF+ ; 15 ; ZAC ; 4592 
 210 ; Копейка ; 1855 ; ЕМ ; Cu ; XF- ; 38 ; AAE2006 ; 2164 
 211 ; Копейка ; 1855 ; ВМ ; Cu ; VF+ ; 9 ; finger ; 4079 
 212 ; Денежка ; 1855 ; ВМ ; Cu ; VF+ ; 9 ; ZOLTAN333 ; 3570 
 213 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; VF-XF ; 21 ; azef ; 2081 
 214 ; 2 копейки ; 1870 ; ЕМ ; Cu ; VF-XF ; 84 ; ZAC ; 2972 
 215 ; 20 копеек ; 1874 ; СПБ HI ; Ag ; XF+ ; 15 ; AAE2006 ; 725 
 216 ; 5 копеек ; 1880 ; СПБ ; Cu ; XF ; 30 ; Участник № 16 ; 1200 
 217 ; 1/2 копейки ; 1881 ; СПБ ; Cu ; VF+ ; 12 ; Гарик ; 2807 
 218 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; VF-XF ; 43 ; ЧАС ; 1111 
 219 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; XF ; 28 ; 1999 ; 1113 
 220 ; 1/2 копейки ; 1893 ; СПБ ; Cu ; XF+ ; 85 ; max7421 ; 1767 
 221 ; Копейка ; 1898 ; СПБ ; Cu ; XF- ; 15 ; AAE2006 ; 625 
 151 ; Копейка ; 1851 ; ВМ ; Cu ; VF+ ; 28 ; finger ; 2023 
 152 ; Полтина ; 1852 ; СПБ ПА ; Ag ; XF+/XF ; 34 ; Kolya-kms ; 15000 
 153 ; 20 копеек ; 1852 ; СПБ ПА ; Ag ; XF ; 22 ; sail ; 3642 
 154 ; Денежка ; 1852 ; ЕМ ; Cu ; VF+ ; 12 ; 2007 ; 419 
 155 ; 5 рублей ; 1854 ; СПБ АГ ; Au ; AU/XF+ ; 25 ; тнн ; 52020 
 156 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF ; 11 ; azef ; 10149 
 157 ; 3 копейки ; 1854 ; ВМ ; Cu ; VF+ ; 20 ; Участник № 9 ; 9500 
 158 ; Полушка ; 1854 ; ЕМ ; Cu ; AU ; 7 ; Участник № 222 ; 10000 
 159 ; 20 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 43 ; zerkalozemli ; 20555 
 160 ; 10 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 17 ; Участник № 222 ; 7000 
 161 ; 2 копейки ; 1855 ; ВМ ; Cu ; VF/VF+ ; 34 ; Mmm ; 4015 
 162 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; XF ; 9 ; azef ; 1224 
 163 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; AU ; 25 ; ZAC ; 22950 
 164 ; 2 копейки ; 1858 ; ВМ ; Cu ; XF- ; 56 ; ZAC ; 10475 
 165 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; VF+ ; 51 ; TDN ; 5180 
 166 ; 2 копейки ; 1859 ; ЕМ ; Cu ; XF+ ; 11 ; Участник № 51 ; 4800 
 167 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 10 ; AAE2006 ; 1530 
 168 ; 3 копейки ; 1861 ; ЕМ ; Cu ; VF-XF ; 19 ; Участник № 9 ; 6600 
 169 ; 2 копейки ; 1863 ; ВМ ; Cu ; VF-XF/VF+ ; 23 ; ZAC ; 18360 
