 201 ; Жетон Особого комитета Военно-Воздушного флота Росии, Серебро, позолота, эмаль. Фирма "Эдуард" ; 1912 ;  ; Ag,позол., ; AU ; 9 ; Участник № 30 ; 3400 
 202 ; Настольная медаль императору Николаю I Незабвенному Благодетелю Купечества ; 1859 ;  ; Cu ; XF+ ; 23 ; Участник № 30 ; 10000 
 203 ; Медаль "Да будет воля твоя". Имп. Николай I ; 1825-1855 ;  ; Ж/м ; XF+ ; 19 ; Участник № 30 ; 17000 
 204 ; Медаль. Русское общество пчеловодства ;  ;  ; Cu ; AU ; 21 ; Участник № 30 ; 9500 
 205 ; Полтина. В капсуле NGC ; 1914 ; (ВС) АГ ; Ag ; AU50 ; 27 ; abogdan ; 8092 
 206 ; 5 рублей. В капсуле NGCA ; 1909 ; (ЭБ) ; Au ; MS65 ; 42 ; карта 123 ; 23000 
 151 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 5 ; Участник № 30 ; 1100 
 152 ; 2 копейки ; 1865 ; ЕМ ; Cu ; XF- ; 21 ; toto ; 800 
 153 ; 5 копеек ; 1866 ; ЕМ ; Cu ; XF- ; 13 ; Участник № 30 ; 6500 
 154 ; 5 копеек ; 1867 ; ЕМ ; Cu ; VF+ ; 11 ; Участник № 51 ; 2600 
 155 ; Рубль. Аверс/Реверс 15 градусов ; 1868 ; СПБ HI ; Ag ; AU ; 22 ; Участник № 1177 ; 36000 
 156 ; 5 копеек ; 1868 ; СПБ ; Cu ; XF ; 21 ; Участник № 51 ; 7500 
 157 ; 2 копейки ; 1868 ; СПБ ; Cu ; XF+ ; 8 ; Участник № 51 ; 3800 
 158 ; 1/2 копейки ; 1868 ; ЕМ ; Cu ; XF ; 39 ; ZOLTAN333 ; 2160 
 159 ; 5 копеек ; 1869 ; ЕМ ; Cu ; XF- ; 7 ; alex-05 ; 1000 
 160 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 6 ; Участник № 51 ; 3000 
 161 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 18 ; Участник № 4 ; 2600 
 162 ; Рубль ; 1877 ; СПБ HI ; Ag ; VF-XF ; 19 ; Участник № 1341 ; 3200 
 163 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 20 ; Участник № 147 ; 2800 
 164 ; 25 копеек. 4-ка в весе развернута на 90 градусов ; 1878 ; СПБ НФ ; Ag ; Unc/AU ; 48 ; tisa66 ; 8556 
 165 ; 5 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 3 ; Участник № 168 ; 700 
 166 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF/AU ; 12 ; Участник № 1341 ; 13000 
 167 ; Рубль ; 1885 ; СПБ АГ ; Ag ; AU/XF ; 17 ; kor ; 19000 
 168 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 7 ; Участник № 584 ; 1800 
 169 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; AU ; 26 ; Участник № 168 ; 3400 
 170 ; 10 копеек ; 1886 ; СПБ АГ ; Ag ; XF+ ; 5 ; Участник № 147 ; 1350 
 171 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 11 ; Участник № 584 ; 3600 
 172 ; 5 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 7 ; tisa66 ; 1400 
 173 ; 10 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 10 ; Участник № 147 ; 1700 
 174 ; Рубль ; 1892 ; (АГ) ; Ag ; VF-XF ; 26 ; Участник № 11 ; 5500 
 175 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 5 ; Участник № 147 ; 1400 
 176 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; Unc/AU ; 32 ; Зубков ; 20218 
 177 ; Копейка ; 1895 ; СПБ ; Cu ; XF+ ; 13 ; Участник № 147 ; 700 
 178 ; 25 копеек ; 1896 ; АГ ; Ag ; Unc/AU ; 22 ; 462 ; 10200 
 179 ; Копейка ; 1896 ; СПБ ; Cu ; XF+ ; 11 ; Участник № 30 ; 220 
 180 ; 25 копеек ; 1900 ; АГ ; Ag ; Unc/AU ; 45 ; sail ; 36417 
 181 ; Копейка ; 1900 ; СПБ ; Cu ; XF+ ; 8 ; VYZ ; 350 
 182 ; Рубль ; 1901 ; (ФЗ) ; Ag ; VF-XF ; 54 ; Zaratus ; 1964 
 183 ; Копейка ; 1901 ; СПБ ; Cu ; AU ; 19 ; Участник № 30 ; 2600 
 184 ; 10 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 11 ; Участник № 147 ; 2100 
 185 ; 2 копейки ; 1904 ; СПБ ; Cu ; AU ; 19 ; Участник № 51 ; 3400 
 186 ; Копейка. Аверс/Реверс 15 градусов ; 1904 ; СПБ ; Cu ; AU ; 13 ; Участник № 18 ; 1600 
 187 ; Копейка ; 1909 ; СПБ ; Cu ; AU ; 13 ; Участник № 30 ; 3300 
 188 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF/AU ; 23 ; Участник № 147 ; 13500 
 189 ; Рубль ; 1912 ; На столетие отечественной войн ; Ag ; AU ; 28 ; Fedor_K ; 67500 
 190 ; 1/4 копейки ; 1915 ;  ; Cu ; Unc/AU ; 18 ; Участник № 147 ; 1400 
 191 ; 5 копеек. Редкая датировка ; 1916 ;  ; Cu ; XF+ ; 28 ; leo 2 ; 15222 
 192 ; 5 копеек ; 1922 ; Вторая государственная шорно-ф ; Cu ; XF+ ; 123 ; золотник ; 25500 
 193 ; 20 копеек ; 1930 ; в СССР С округлые, шт. 3 коп.1 ; Ag ; AU ; 22 ; borism ; 3600 
 194 ; Медаль в память Русско-Турецкой войны ; 1853-1856 ;  ; Br ; VF-XF ; 11 ; Участник № 30 ; 2400 
 195 ; Медаль. За усмирение польского мятежа ; 1863-1864 ;  ; Br ; XF ; 19 ; Участник № 30 ; 6500 
 196 ; Медаль в честь царствования имп. Александра III ; 1881-1894 ;  ; Ag ; AU ; 5 ; ZepStamp ; 3400 
 197 ; Медаль. За поход в Китай. Имп. Николай II ; 1900-1901 ;  ; Br ; XF/AU ; 12 ; ZepStamp ; 16773 
 198 ; Медаль на ленте. 25 лет церковно-приходским школам. Имп. Александр III и Николай II. Частная чеканка ; 1884-1909 ;  ; Ag ; XF/AU ; 7 ; smirnoff ; 9178 
 199 ; Медаль. За Полтаву ; 1709-1909 ;  ; Br ; XF/AU ; 15 ; rus23 ; 9249 
 200 ; Медаль. За усердие. Имп. Николай II ;  ;  ; Ag ; XF/AU ; 5 ; smirnoff ; 2833 
 101 ; 20 копеек ; 1837 ; СПБ НГ ; Ag ; XF ; 17 ; ЛОШАРИК ; 2000 
 102 ; Копейка ; 1837 ; ЕМ НА ; Cu ; VF-XF ; 7 ; TDN ; 510 
 103 ; 2 копейки ; 1838 ; ЕМ НА ; Cu ; XF+ ; 77 ; Участник № 51 ; 12000 
 104 ; 2 копейки ; 1838 ; ЕМ НА ; Cu ; VF ; 7 ; Участник № 584 ; 1200 
 105 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородин ; Ag ; VF-XF ; 32 ; Участник № 147 ; 72000 
 106 ; 3/4 рубля-5 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; VF-XF ; 10 ; Sky2 ; 2144 
 107 ; 25 копеек ; 1839 ; СПБ НГ ; Ag ; AU ; 15 ; alex-05 ; 4077 
 108 ; Полтина ; 1840 ; СПБ НГ ; Ag ; AU ; 23 ; Участник № 135 ; 11000 
 109 ; 15 копеек-1 злотый ; 1840 ; НГ Рус.-Пол. ; Ag ; AU ; 20 ; Участник № 147 ; 7400 
 110 ; 1 копейка. Николай I. Инкузный след от застрявшей в штемпеле монеты ;  ;  ; Cu ; XF ; 19 ; Участник № 30 ; 4200 
 111 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; AU ; 14 ; Участник № 1177 ; 7600 
 112 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF ; 13 ; Zaratus ; 4500 
 113 ; 5 копеек ; 1843 ; СПБ АЧ ; Ag ; AU/XF ; 27 ; Участник № 4 ; 6000 
 114 ; 1/4 копейки ; 1843 ; ЕМ ; Cu ; AU ; 30 ; Участник № 30 ; 5600 
 115 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF+ ; 28 ; Участник № 1177 ; 8000 
 116 ; Рубль. 4-ки в дате "открытые" ; 1844 ; СПБ КБ ; Ag ; VF-XF ; 13 ; Участник № 147 ; 5400 
 117 ; 5 копеек ; 1844 ; СПБ КБ ; Ag ; XF+ ; 12 ; Участник № 30 ; 2600 
 118 ; Рубль ; 1845 ; СПБ КБ ; Ag ; XF- ; 11 ; Участник № 1341 ; 3500 
 119 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 41 ; Участник № 30 ; 5600 
 120 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 35 ; vvt ; 5667 
 121 ; Рубль ; 1847 ; MW ; Ag ; XF- ; 21 ; Участник № 51 ; 14000 
 122 ; 2 копейки ; 1847 ; СМ ; Cu ; VF+ ; 40 ; ЛОШАРИК ; 816 
 123 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 12 ; Участник № 1032 ; 2300 
 124 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF- ; 8 ; Sky2 ; 4500 
 125 ; 20 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 11 ; 4758 ; 3572 
 126 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 23 ; Участник № 1032 ; 3200 
 127 ; Полушка ; 1850 ; ЕМ ; Cu ; XF- ; 11 ; Участник № 584 ; 1600 
 128 ; 2 копейки ; 1851 ; ЕМ ; Cu ; XF- ; 25 ; Участник № 584 ; 2400 
 129 ; Денежка ; 1851 ; ЕМ ; Cu ; XF- ; 7 ; Участник № 147 ; 1200 
 130 ; 2 копейки ; 1852 ; ЕМ ; Cu ; VF-XF ; 6 ; Участник № 1362 ; 1300 
 131 ; Копейка ; 1852 ; ЕМ ; Cu ; XF ; 12 ; Участник № 584 ; 1400 
 132 ; 25 копеек ; 1853 ; СПБ HI ; Ag ; AU/XF ; 23 ; Участник № 147 ; 2100 
 133 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU/XF ; 14 ; Участник № 147 ; 1900 
 134 ; Рубль ; 1854 ; СПБ HI ; Ag ; AU ; 16 ; Участник № 1177 ; 13000 
 135 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 21 ; Участник № 168 ; 2100 
 136 ; 20 копеек ; 1855 ; СПБ HI ; Ag ; XF ; 5 ; ЛОШАРИК ; 2000 
 137 ; Копейка (Петров-3р) ; 1855 ; ВМ ; Cu ; XF ; 5 ; toto ; 1020 
 138 ; 20 копеек ; 1856 ; СПБ ФБ ; Ag ; AU/XF ; 7 ; Участник № 147 ; 1900 
 139 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU/XF ; 11 ; Участник № 147 ; 1600 
 140 ; Полушка ; 1856 ; ЕМ ; Cu ; XF+ ; 14 ; vvt ; 3200 
 141 ; 20 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 43 ; andreyx  ; 6800 
 142 ; 20 копеек. Редка в данном состоянии ; 1859 ; СПБ ФБ ; Ag ; Proof-Like ; 37 ; tisa66 ; 21930 
 143 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; Unc/AU ; 17 ; antiquar ; 7854 
 144 ; 25 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 16 ; toto ; 5814 
 145 ; 20 копеек. Тип герба 1959 года ; 1860 ; СПБ ФБ ; Ag ; AU ; 48 ; tisa66 ; 18000 
 146 ; 5 копеек ; 1860 ; ЕМ ; Cu ; XF+ ; 11 ; AK ; 2243 
 147 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 17 ; dimon46 ; 3600 
 148 ; Копейка ; 1862 ; ЕМ ; Cu ; VF-XF ; 7 ; кабан ; 500 
 149 ; Денежка ; 1862 ; ЕМ ; Cu ; VF+ ; 5 ; Участник № 584 ; 900 
 150 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 9 ; Участник № 30 ; 1200 
 51 ; Копейка ; 1776 ; КМ "Сибирь" ; Cu ; VF ; 9 ; Lotus 99 ; 906 
 52 ; Полушка ; 1776 ; ЕМ ; Cu ; F-VF ; 23 ; кабан ; 14464 
 53 ; Копейка (Петров-1,25р) ; 1779 ; КМ "Сибирь" ; Cu ; VF ; 5 ; Lotus 99 ; 612 
 54 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; XF- ; 25 ; SSK ; 7140 
 55 ; Полуполтинник ; 1781 ; СПБ АГ ; Ag ; XF ; 16 ; Участник № 135 ; 27000 
 56 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; VF-XF ; 20 ; Участник № 168 ; 7500 
 57 ; 5 копеек ; 1781 ; ЕМ ; Cu ; XF+ ; 13 ; Участник № 51 ; 2800 
 58 ; 5 копеек ; 1784 ; КМ ; Cu ; VF-XF ; 19 ; кабан ; 1465 
 59 ; 5 копеек (Петров-1р) ; 1788 ; ММ ; Cu ; VF+ ; 11 ; Участник № 30 ; 1200 
 60 ; Копейка ; 1789 ; ЕМ ; Cu ; VF ; 6 ; dimon46 ; 1134 
 61 ; Денга ; 1790 ; ЕМ ; Cu ; VF ; 9 ; Участник № 51 ; 1100 
 62 ; 2 копейки (Петров-5р, Ильин-10р) ; 1791 ; АМ ; Cu ; F-VF ; 21 ; кабан ; 14382 
 63 ; Копейка ; 1791 ; ЕМ ; Cu ; VF ; 31 ; Участник № 51 ; 2400 
 64 ; Денга ; 1793 ; ЕМ ; Cu ; VF ; 3 ; Участник № 51 ; 1400 
 65 ; 5 копеек ; 1794 ; ЕМ ; Cu ; XF- ; 23 ; Участник № 11 ; 2000 
 66 ; Копейка ; 1795 ; ЕМ ; Cu ; VF ; 3 ; Участник № 168 ; 1400 
 67 ; Денга ; 1795 ; ЕМ ; Cu ; VF-XF ; 7 ; hugo ; 2000 
 68 ; Денга (Петров-1р) ; 1795 ; КМ ; Cu ; VF+ ; 7 ; ЛОШАРИК ; 1000 
 69 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF+ ; 20 ; Участник № 168 ; 17000 
 70 ; Деньга ; 1798 ; ЕМ ; Cu ; AU/XF+ ; 8 ; Участник № 1 ; 4200 
 71 ; Полушка (Петров-2р, Ильин-3р) ; 1798 ; КМ ; Cu ; VF+ ; 13 ; Участник № 1 ; 7000 
 72 ; Рубль ; 1799 ; СМ МБ ; Ag ; VF-XF ; 21 ; Участник № 51 ; 18000 
 73 ; Копейка (Ильин-4р) ; 1799 ; КМ ; Cu ; VF ; 43 ; Участник № 51 ; 12000 
 74 ; Рубль ; 1801 ; СМ АИ ; Ag ; VF+ ; 11 ; diesel ; 12750 
 75 ; 2 копейки ; 1802 ; ЕМ ; Cu ; XF- ; 25 ; Участник № 1362 ; 7000 
 76 ; Копейка (Ильин-1р) ; 1805 ; ЕМ ; Cu ; VF- ; 18 ; Alexdav ; 6347 
 77 ; 5 копеек. Дефект чеканки (слоение) ; 1806 ; КМ ; Cu ; XF+/VF+ ; 7 ; TDN ; 2040 
 78 ; Рубль ; 1808 ; СПБ МК ; Ag ; XF+ ; 25 ; rus23 ; 36720 
 79 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF ; 15 ; Участник № 51 ; 3400 
 80 ; 20 копеек ; 1813 ; СПБ ПС ; Ag ; VF-XF ; 83 ; Участник № 1341 ; 3200 
 81 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 18 ; Участник № 1177 ; 8200 
 82 ; Рубль ; 1819 ; СПБ ПС ; Ag ; XF+ ; 13 ; Участник № 1177 ; 10000 
 83 ; Рубль ; 1820 ; СПБ ПД ; Ag ; VF-XF ; 19 ; Sky2 ; 3423 
 84 ; Полтина ; 1820 ; СПБ ПД ; Ag ; XF- ; 23 ; Zaratus ; 7446 
 85 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; AU ; 13 ; Участник № 1080 ; 3600 
 86 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; AU ; 19 ; sail ; 4500 
 87 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; AU ; 20 ; gerz ; 6630 
 88 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; XF+/AU ; 11 ; sail ; 5100 
 89 ; Копейка ; 1828 ; КМ АМ ; Cu ; XF- ; 7 ; vvt ; 4000 
 90 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF+ ; 25 ; Участник № 168 ; 10500 
 91 ; Полтина ; 1829 ; СПБ НГ ; Ag ; VF ; 11 ; dnepr1984 ; 2395 
 92 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; XF+ ; 21 ; Участник № 147 ; 11000 
 93 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; AU ; 13 ; Участник № 168 ; 3600 
 94 ; 2 злотых ; 1830 ; FH Польша ; Ag ; XF+ ; 71 ; Участник № 462 ; 15000 
 95 ; 25 копеек ; 1833 ; СПБ НГ ; Ag ; XF+ ; 27 ; Участник № 147 ; 9000 
 96 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; AU ; 18 ; sail ; 4000 
 97 ; Копейка ; 1834 ; ЕМ ФХ ; Cu ; XF-/XF+ ; 11 ; Участник № 30 ; 3000 
 98 ; 30 копеек-2 злотых. Аверс/Реверс 30 градусов ; 1836 ; MW Рус.-Пол. ; Ag ; XF+ ; 50 ; Участник № 30 ; 4000 
 99 ; 5 копеек ; 1836 ; СПБ НГ ; Ag ; XF+ ; 7 ; Участник № 147 ; 1600 
 100 ; Рубль (Ильин-4р). Редка ; 1837 ; СПБ НГ ; Ag ; VF+ ; 16 ; кабан ; 16000 
 1 ; Севский чех. Г. Севск. Правление Софьи, Ивана и Петра ; 1686 ;  ; Ag ; VF ; 31 ; Участник № 1 ; 4200 
 2 ; Гривна ; 1705 ; БК ; Ag ; VF ; 22 ; Зубков ; 11334 
 3 ; Копейка ; 1707 ; БК ; Cu ; VF- ; 13 ; Участник № 51 ; 850 
 4 ; Копейка ; 1713 ; М Д ; Cu ; F-VF ; 20 ; Sky2 ; 735 
 5 ; Копейка ; 1716 ; МД ; Cu ; F-VF ; 12 ; Участник № 51 ; 1100 
 6 ; Полушка ; 1721 ; НД ; Cu ; VF+ ; 27 ; Sky2 ; 503 
 7 ; Рубль ; 1726 ;  ; Ag ; VF+ ; 15 ; TDN ; 24000 
 8 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF- ; 27 ; кабан ; 2030 
 9 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 23 ; кабан ; 3489 
 10 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 123 ; AK ; 4203 
 11 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 23 ; Участник № 1 ; 30000 
 12 ; Рубль ; 1731 ;  ; Ag ; XF ; 26 ; Участник № 147 ; 13000 
 13 ; Рубль ; 1732 ;  ; Ag ; VF-XF ; 19 ; Участник № 147 ; 8500 
 14 ; Рубль ; 1733 ;  ; Ag ; VF+ ; 20 ; TDN ; 9500 
 15 ; Рубль ; 1736 ;  ; Ag ; XF- ; 14 ; Участник № 1168 ; 21000 
 16 ; Рубль ; 1738 ;  ; Ag ; XF- ; 4 ; нумизмат ; 28000 
 17 ; Рубль (Петров-6р) ; 1742 ; ММД ; Ag ; VF-XF ; 33 ; Участник № 51 ; 52000 
 18 ; Рубль ; 1743 ; СПБ ; Ag ; VF+ ; 15 ; Alexdav ; 14382 
 19 ; Рубль ; 1743 ; ММД ; Ag ; VF+ ; 29 ; Участник № 1 ; 16500 
 20 ; Полуполтинник ; 1746 ; ММД ; Ag ; XF- ; 21 ; Участник № 30 ; 7500 
 21 ; Рубль ; 1747 ; СПБ ; Ag ; XF ; 26 ; Участник № 147 ; 20000 
 22 ; Рубль ; 1749 ; ММД ; Ag ; XF- ; 21 ; Участник № 1 ; 26000 
 23 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 24 ; Гривенник ; 1750 ;  ; Ag ; VF-XF ; 75 ; Участник № 30 ; 5200 
 25 ; Рубль (Петров-3р) ; 1751 ; ММД ; Ag ; XF ; 17 ; Участник № 640 ; 16000 
 26 ; Рубль (Петров-3р) ; 1752 ; СПБ IM ; Ag ; XF- ; 23 ; Участник № 1168 ; 16000 
 27 ; Рубль (Петров-3,5р) ; 1752 ; ММД Е ; Ag ; VF-XF ; 11 ; leo 2 ; 22000 
 28 ; Червонец (Петров-75р, Ильин-50р). Убрана подвеска 12 часов ; 1753 ; ФЕВР.5 ; Au ; F-VF ; 27 ; кабан ; 131579 
 29 ; Рубль ; 1754 ; СПБ ЯI BS ; Ag ; VF-XF ; 9 ; кабан ; 25393 
 30 ; Полтина (Петров-5р, Ильин-4р) ; 1754 ; СПБ IM BS ; Ag ; XF- ; 36 ; ZOLTAN333 ; 72193 
 31 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; VF+ ; 19 ; TDN ; 12444 
 32 ; Рубль ; 1756 ; СПБ IM BS ; Ag ; VF-XF ; 23 ; TDN ; 19000 
 33 ; 5 копеек. Большой формат ; 1756 ; СПБ ; Ag ; XF+ ; 21 ; Участник № 18 ; 34000 
 34 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF-XF ; 30 ; Участник № 51 ; 6500 
 35 ; 2 копейки ; 1757 ; Гурт.надп.Москва ; Cu ; F-VF ; 23 ; Участник № 51 ; 26000 
 36 ; 4 копейки ; 1762 ;  ; Cu ; F-VF ; 19 ; Участник № 1362 ; 8500 
 37 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; XF- ; 25 ; Участник № 147 ; 15000 
 38 ; 20 копеек ; 1764 ; ММД ; Ag ; XF ; 27 ; monos72 ; 14000 
 39 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; VF-XF ; 11 ; TDN ; 6222 
 40 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; VF-XF ; 19 ; w7 ; 9282 
 41 ; 5 копеек ; 1766 ; СМ ; Cu ; VF+ ; 13 ; Участник № 51 ; 6000 
 42 ; 2 копейки (Ильин-2р) ; 1766 ; СПМ ; Cu ; VF ; 41 ; fikus ; 22667 
 43 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; VF-XF ; 11 ; Участник № 51 ; 8000 
 44 ; 20 копеек ; 1769 ; СПБ TI ; Ag ; VF-XF ; 5 ; dimon46 ; 3000 
 45 ; 5 копеек ; 1769 ; КМ "Сибирь" ; Cu ; VF ; 7 ; vovan100 ; 4500 
 46 ; Полушка ; 1771 ; ЕМ ; Cu ; VF- ; 9 ; Участник № 30 ; 2400 
 47 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; AU ; 9 ; rus23 ; 32000 
 48 ; Рубль (Петров-12р, Ильин-5р) ; 1772 ; СПБ ЯЧ TИ ; Ag ; F-VF ; 15 ; dimon46 ; 17340 
 49 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 12 ; dimon46 ; 6000 
 50 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; AU ; 9 ; Fedor_K ; 20001 
