 101 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; XF/AU ; 15 ; maka ; 3678 
 102 ; 15 копеек ; 1866 ; СПБ HI ; Ag ; AU/XF ; 12 ; Участник № 1389 ; 2100 
 103 ; 20 копеек ; 1871 ; СПБ HI ; Ag ; AU/XF ; 3 ; maka ; 1200 
 104 ; 20 копеек ; 1872 ; СПБ HI ; Ag ; AU/XF ; 36 ; ААФ ; 1446 
 105 ; 5 копеек ; 1876 ; СПБ ; Cu ; XF ; 11 ; Участник № 51 ; 3600 
 106 ; 5 копеек ; 1878 ; СПБ ; Cu ; XF- ; 14 ; sd555 ; 3518 
 107 ; 10 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 15 ; ААФ ; 2654 
 108 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 21 ; БИН ; 9000 
 109 ; Копейка ; 1891 ; СПБ ; Cu ; XF+ ; 19 ; elac ; 996 
 110 ; 1 пенни ; 1892 ; Финляндия ; Cu ; Unc/AU ; 63 ; maka ; 624 
 111 ; 1 пенни ; 1894 ; Финляндия ; Cu ; Unc/AU ; 14 ; maka ; 800 
 112 ; Копейка ; 1897 ; СПБ ; Cu ; XF+ ; 2 ; sd555 ; 500 
 113 ; 1 пенни ; 1899 ; Финляндия ; Cu ; Unc/AU ; 15 ; al69 ; 296 
 114 ; 1/2 копейки ; 1916 ;  ; Cu ; XF+ ; 21 ; 1088 ; 15302 
 115 ; 10 пенни ; 1917 ; Финляндия. Орёл ; Cu ; Unc/AU ; 23 ; maka ; 1587 
 116 ; 5 пенни ; 1917 ; Финляндия. Орёл ; Cu ; Unc/AU ; 7 ; maka ; 567 
 117 ; Медаль в честь открытия доков в Кронштадте 30 июля 1752г. Имп.  Елизавета. D-65мм ;  ;  ; Cu ; VF+ ; 24 ; 439 ; 8672 
 118 ; Медаль в честь заключения с Турцией 30-летнего Карловицкого мира 13 июля 1700г.  Имп. Петр I. D-48мм ; I пол XIX в ;  ; Cu ; XF- ; 16 ; kollega ; 4203 
 119 ; Медаль на смерть имп. Петра II в 1730г. Имп.  Петр II. D-43мм ;  ;  ; Cu ; XF/AU ; 35 ; Участник № 186 ; 12500 
 120 ; Жетон. На коронацию Александра I ; 1801 ;  ; Ag ; VF-XF ; 76 ; ZOLTAN333 ; 8618 
 121 ; 5 копеек. В капсуле NGC ; 1861 ; СПБ ФБ ; Ag ; MS 64 ; 38 ; molodoy ; 10000 
 122 ; 5 копеек. В капсуле NGC ; 1874 ; СПБ HI ; Ag ; MS 64 ; 54 ; molodoy ; 10000 
 123 ; 5 копеек. В капсуле NGC ; 1884 ; СПБ АГ ; Ag ; MS65 ; 54 ; 383838 ; 4005 
 124 ; Рубль ; 1886 ; (АГ) ; Ag ; VF-XF ; 76 ; leo 2 ; 21235 
 125 ; Рубль ; 1887 ; (АГ) ; Ag ; VF+ ; 35 ; leo 2 ; 18844 
 126 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 21 ; 383838 ; 3621 
 127 ; 20 копеек. Тип герба предыдущих лет ; 1860 ; СПБ ФБ ; Ag ; XF- ; 81 ; Участник № 1718 ; 11500 
 128 ; 20 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; VF-XF ; 30 ; Участник № 392 ; 3200 
 129 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 19 ; Участник № 392 ; 4600 
 130 ; 5 копеек ; 1792 ; ЕМ ; Cu ; VF+ ; 11 ; Prostota ; 1010 
 51 ; 5 копеек ; 1783 ; КМ ; Cu ; VF-XF ; 21 ; Участник № 1032 ; 2400 
 52 ; 5 копеек ; 1785 ; КМ ; Cu ; VF-XF ; 24 ; Участник № 1344 ; 2600 
 53 ; 5 копеек (Петров-3р) ; 1788 ; КМ ; Cu ; VF ; 32 ; Prostota ; 4522 
 54 ; 5 копеек ; 1789 ; ЕМ ; Cu ; XF ; 23 ; Участник № 114 ; 480 
 55 ; 2 копейки ; 1789 ; ЕМ ; Cu ; VF+ ; 77 ; Участник № 51 ; 3200 
 56 ; 5 копеек ; 1790 ; ЕМ ; Cu ; XF ; 28 ; Участник № 114 ; 500 
 57 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 5 ; Участник № 1344 ; 800 
 58 ; 5 копеек ; 1791 ; ЕМ ; Cu ; VF-XF ; 8 ; Участник № 66 ; 360 
 59 ; 5 копеек ; 1791 ; АМ ; Cu ; VF-XF ; 6 ; Участник № 66 ; 850 
 60 ; 5 копеек ; 1791 ; АМ ; Cu ; VF-XF ; 14 ; Участник № 66 ; 950 
 61 ; 5 копеек (Петров-8р, Ильин-5р) ; 1791 ; ЕМ Павл.перечекан ; Cu ; F-VF ; 41 ; FVS ; 10200 
 62 ; 5 копеек ; 1792 ; ЕМ ; Cu ; XF+ ; 29 ; Участник № 114 ; 550 
 63 ; 5 копеек ; 1793 ; АМ ; Cu ; VF-XF ; 14 ; Участник № 1699 ; 1150 
 64 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF- ; 24 ; Участник № 66 ; 2700 
 65 ; 5 копеек ; 1794 ; ЕМ ; Cu ; VF-XF ; 9 ; Участник № 66 ; 420 
 66 ; 5 копеек ; 1794 ; КМ ; Cu ; XF ; 29 ; zigzag ; 5094 
