 151 ; Рубль ; 1899 ; ( ** ) ; Ag ; XF ; 21 ; sail ; 6630 
 152 ; 15 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 25 ; Продано в зале ; 1800 
 153 ; 10 копеек. В капсуле NGC ; 1902 ; СПБ АР ; Ag ; MS 66 ; 15 ; Продано в зале ; 4000 
 154 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 27 ; VAP20 ; 3000 
 155 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 17 ; verunk1 ; 1736 
 156 ; 5 рублей. В капсуле NGCA ; 1909 ; (ЭБ) ; Au ; MS 66 ; 69 ; 496 ; 30600 
 157 ; Рубль ; 1909 ; (ЭБ) ; Ag ; VF+/VF-XF ; 35 ; 515151 ; 12147 
 158 ; Рубль ; 1914 ; (ВС) ; Ag ; XF- ; 42 ; НДР ; 27542 
 159 ; Рубль ; 1915 ; (ВС) ; Ag ; AU ; 32 ; verunk1 ; 21193 
 160 ; 2 копейки ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; XF ; 62 ; NSN ; 6214 
 161 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; AU ; 47 ; Продано в зале ; 8500 
 162 ; 15 копеек ; 1934 ; Тувинская Народная Республика ;  ; VF-XF ; 50 ; Продано в зале ; 6500 
 163 ; 3 копейки ; 1934 ; Тувинская Народная Республика ;  ; VF-XF ; 48 ; Продано в зале ; 6500 
 164 ; 1 копейка ; 1934 ; Тувинская Народная Республика ;  ; VF- ; 36 ; Продано в зале ; 5000 
 165 ; Медаль от управления государственного коннозаводства "За лучшую верховую лошадь". Имп. Николай II. D-46мм. Вес=70,40гр ;  ;  ; Ag ; XF ; 48 ; int1965708 ; 12222 
 166 ; Жетон. В память коронации Екатерины II в 1762г. D-20мм ;  ;  ; Ag ; VF-XF/VF+ ; 62 ; 67 ; 12466 
 167 ; Жетон. В память коронации Александра II в 1856г. D-22мм ;  ;  ; Ag ; XF+ ; 37 ; Продано в зале ; 4500 
 168 ; Жетон. В память коронации Александра III в 1883г. D-26мм ;  ;  ; Ag ; XF/AU ; 33 ; verunk1 ; 4173 
 169 ; Жетон. В память коронации Николая II в 1896г. D-25мм ;  ;  ; Ag ; XF+ ; 33 ; serg2010 ; 3152 
 170 ; Медаль. За усмирение Венгрии и Трансильвании 1849г. D-29мм ;  ;  ; Ag ; VF- ; 26 ; Mmm ; 10200 
 171 ; Медаль. За покорение Западного Кавказа (1859-1864). D-28мм ;  ;  ; Ag ; VF ; 21 ; Mmm ; 9860 
 172 ; Медаль. В память Русско-Турецкой войны (1877-1878). D-26мм ;  ;  ; Ag ; XF- ; 25 ; 67 ; 12500 
 173 ; Медаль. За Усердие. Имп. Александр III. D-51мм. Вес=58,00гр ;  ;  ; Ag ; XF ; 27 ; Продано в зале ; 52000 
 174 ; Медаль в память правления Александра III (1881-1894). Частная чеканка. D-28мм ;  ;  ; Ag ; XF+ ; 12 ; Продано в зале ; 6500 
 175 ; Медаль за беспорочную службу в полиции. Имп. Николай II. D-36мм ; 1896 ;  ; Ag ; UNC/AU ; 39 ; 439 ; 40460 
 176 ; Георгиевская медаль "За храбрость"  IV ст. № 50080. Санкт-Петербургский Монетный двор. D-28мм. На оригинальной ленте ; I МВ ;  ; Ag ; XF ; 37 ; Продано в зале ; 10500 
 177 ; Георгиевская медаль IV ст. №154512. Имп. Николай II. D-28мм ;  ;  ; Ag ; VF-XF ; 23 ; Продано в зале ; 3600 
 178 ; Медаль. В память Русско-Японской войны. D-28мм ; 1904-1905 ;  ; Ag ; VF+ ; 43 ; Продано в зале ; 10500 
 179 ; Медаль "За усердие". D-30мм ;  ;  ; Ag ; XF+ ; 20 ; Продано в зале ; 4200 
 180 ; Георгиевский крест IV ст. №1286958. Санкт-Петербургский монетный двор. Р-ры: 42х34мм. Вес = 10,05 г ; 1916 ;  ; б.м. ; AU/XF ; 25 ; verunk1 ; 14355 
 181 ; Лента наградная на головной убор "За Араб-Конак 21 ноября 1877 года" ;  ;  ; Латунь ; XF+ ; 35 ; dim20022 ; 8432 
 182 ; Жетон. Ораниенбаумская школа прапорщиков?. Р-ры:44х30мм ;  ;  ; Ag ; XF ; 68 ; 015 ; 22738 
 183 ; Жетон в виде погона прапорщика пехоты Императорской армии. Р-ры: 30х12мм ; 1908-1917 ;  ; Ag, эмаль ; XF ; 80 ; 015 ; 10000 
 101 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; XF- ; 40 ; Продано в зале ; 3200 
 102 ; 3/4 рубля-5 злотых ; 1840 ; MW Рус.-Пол. ; Ag ; VF+ ; 19 ; leo 2 ; 3853 
 103 ; Полтина ; 1840 ; СПБ НГ ; Ag ; VF+ ; 30 ; serg2010 ; 4070 
 104 ; 3 копейки. Вензель украшен ; 1840 ; ЕМ ; Cu ; VF ; 12 ; art67 ; 2142 
 105 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+ ; 21 ; evgen00 ; 6515 
 106 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 16 ; алтын ; 5610 
 107 ; 5 копеек ; 1842 ; СПБ АЧ ; Ag ; VF ; 13 ; арбат ; 3298 
 108 ; 5 копеек ; 1843 ; СПБ АЧ ; Ag ; XF- ; 39 ; XXXXX ; 752 
 109 ; Полтина ; 1844 ; СПБ КБ ; Ag ; XF- ; 26 ; Продано в зале ; 7500 
 110 ; Копейка ; 1844 ; СМ ; Cu ; VF+ ; 25 ; Продано в зале ; 1200 
 111 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; AU/XF ; 30 ; Продано в зале ; 2600 
 112 ; Рубль (Петров-2р) ; 1847 ; MW ; Ag ; XF-/VF+ ; 24 ; нумизмат ; 6110 
 113 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF-/VF+ ; 35 ; serg2010 ; 6018 
 114 ; 5 рублей. М-6,50гр ; 1852 ; СПБ АГ ; Au ; XF+ ; 48 ; 496 ; 32640 
 115 ; Денежка ; 1852 ; ЕМ ; Cu ; XF/AU ; 27 ; Продано в зале ; 2800 
 116 ; Рубль ; 1853 ; СПБ HI ; Ag ; VF-XF ; 49 ; taa ; 6324 
 117 ; Рубль ; 1854 ; СПБ HI ; Ag ; VF-XF ; 33 ; Продано в зале ; 7100 
 118 ; 5 рублей. М-6,53гр ; 1855 ; СПБ АГ ; Au ; XF ; 53 ; hugo ; 35700 
 119 ; Рубль ; 1855 ; СПБ HI ; Ag ; AU/XF ; 23 ; Продано в зале ; 14000 
 120 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; Unc ; 17 ; 496 ; 5100 
 121 ; 5 копеек ; 1859 ; ЕМ ; Cu ; VF-XF ; 14 ; Продано в зале ; 2000 
 122 ; 10 пенни ; 1866 ; Финляндия ; Cu ; XF- ; 11 ; Продано в зале ; 2400 
 123 ; 1 пенни ; 1866 ; Финляндия ; Cu ; VF+ ; 14 ; girey ; 1593 
 124 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; XF/AU ; 124 ; verunk1 ; 3800 
 125 ; Рубль ; 1871 ; СПБ HI ; Ag ; XF- ; 11 ; verunk1 ; 12240 
 126 ; 5 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 28 ; 439 ; 5090 
 127 ; 5 копеек ; 1872 ; ЕМ ; Cu ; XF- ; 52 ; CR1104 ; 2346 
 128 ; 10 пенни. Редкая датировка ; 1875 ; Финляндия ; Cu ; F-VF ; 20 ; Продано в зале ; 5600 
 129 ; Рубль ; 1876 ; СПБ HI ; Ag ; VF ; 24 ; XXXXX ; 6436 
 130 ; 25 копеек ; 1876 ; СПБ HI ; Ag ; VF ; 41 ; 27477 ; 10000 
 131 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 16 ; verunk1 ; 4590 
 132 ; Рубль ; 1877 ; СПБ HI ; Ag ; AU/XF ; 43 ; Продано в зале ; 7800 
 133 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 31 ; SSK ; 2856 
 134 ; Рубль ; 1879 ; СПБ НФ ; Ag ; VF-XF/VF+ ; 35 ; Продано в зале ; 7000 
 135 ; 5 копеек ; 1879 ; СПБ ; Cu ; XF/AU ; 72 ; SSK ; 6167 
 136 ; 1/2 копейки ; 1879 ; СПБ ; Cu ; VF-XF ; 33 ; capraz ; 2527 
 137 ; Полтина ; 1880 ; СПБ НФ ; Ag ; VF-XF ; 33 ; serg2010 ; 6709 
 138 ; Рубль ; 1882 ; СПБ НФ ; Ag ; VF-XF ; 29 ; 27477 ; 12240 
