 101 ; 3 гроша ; 1838 ; MW Рус.-Пол. ; Cu ; VF+ ; 26 ; кве ; 7933 
 102 ; 10 пенни ; 1913 ; Финляндия ; Cu ; AU ; 22 ; verunk1 ; 3961 
 103 ; 5 пенни ; 1866 ; Финляндия ; Cu ; VF-XF ; 38 ; taa ; 672 
 104 ; 5 пенни ; 1897 ; Финляндия ; Cu ; XF/AU ; 17 ; verunk1 ; 2095 
 105 ; 1 пенни ; 1893 ; Финляндия ; Cu ; AU ; 23 ; verunk1 ; 1001 
 106 ; 3 копейки "оккупация" ; 1916А ;  ; Fe ; XF/AU ; 15 ; corr ; 1122 
 107 ; Рубль ; 1922 ; (АГ) ; Ag ; AU ; 48 ; verunk1 ; 22440 
 108 ; Рубль ; 1729 ;  ; Ag ; VF+ ; 35 ; Продано в зале ; 18000 
 109 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF/AU ; 30 ; кве ; 15000 
 110 ; Полтина ; 1732 ;  ; Ag ; VF-XF ; 19 ; Galal ; 21420 
 111 ; Полтина (Петров-20р, Ильин-20р) ; 1741 ; СПБ ; Ag ; VF+ ; 81 ; Продано в зале ; 160000 
 112 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; UNC/AU ; 23 ; Продано в зале ; 3000 
 113 ; 10 копеек (Петров-6р, Ильин-3р) ; 1766 ; "Сибирь" ; Cu ; VF ; 64 ; Продано в зале ; 17500 
 114 ; Деньга (Петров-10р, Ильин-10р) ; 1811 ; КМ ПБ ; Cu ; VF- ; 31 ; кве ; 11334 
 115 ; Медаль "На коронацию Павла I". D-38мм ;  ;  ; Ag ; XF- ; 24 ; verunk1 ; 28000 
 51 ; 15 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 12 ; alien34 ; 1247 
 52 ; Гривна ; 1705 ; БК ; Ag ; VF- ; 48 ; Стевиа ; 19259 
 53 ; Гривенник ; 1748 ;  ; Ag ; VF-XF ; 21 ; Продано в зале ; 3200 
 54 ; Гривенник ; 1751 ;  ; Ag ; VF+ ; 10 ; alien34 ; 2550 
 55 ; Гривенник ; 1753 ; IП ; Ag ; VF+ ; 20 ; ААФ ; 2931 
 56 ; Гривенник ; 1796 ; СПБ ; Ag ; VF-XF ; 28 ; Стевиа ; 10279 
 57 ; 10 копеек ; 1837 ; СПБ НГ ; Ag ; XF ; 10 ; Продано в зале ; 2300 
 58 ; 10 копеек ; 1847 ; СПБ ПА ; Ag ; XF ; 21 ; sdv75-2010 ; 3122 
 59 ; 10 копеек ; 1848 ; СПБ HI ; Ag ; AU/XF ; 17 ; sdv75-2010 ; 3122 
 60 ; 10 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 14 ; 1999 ; 1329 
 61 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 22 ; supreme ; 1003 
 62 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 32 ; ААФ ; 3776 
 63 ; 10 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 14 ; ААФ ; 1351 
 64 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 15 ; SSSSSSSSS ; 2550 
 65 ; 10 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 17 ; SSSSSSSSS ; 2550 
 66 ; 5 копеек ; 1755 ; СПБ ; Ag ; VF+ ; 32 ; Продано в зале ; 7500 
 67 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF+ ; 21 ; polk ; 1839 
 68 ; 5 копеек ; 1834 ; СПБ НГ ; Ag ; AU ; 40 ; verunk1 ; 6233 
 69 ; 5 копеек ; 1835 ; СПБ НГ ; Ag ; XF+ ; 27 ; verunk1 ; 3060 
 70 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; XF+ ; 13 ; polk ; 2360 
 71 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 21 ; Стевиа ; 2654 
 72 ; 5 копеек ; 1883 ; СПБ АГ ; Ag ; Unc/AU ; 36 ; Стевиа ; 10600 
 73 ; 5 злотых ; 1830 ; FH Польша ; Ag ; VF+ ; 23 ; нумизмат ; 10812 
 74 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; VF+ ; 27 ; Продано в зале ; 9500 
 75 ; 2 марки ; 1906 ; L Финляндия ; Ag ; XF+ ; 19 ; Продано в зале ; 2500 
 76 ; 5 копеек ; 1729 ; МД Хвост узкий ; Cu ; VF ; 25 ; Продано в зале ; 4400 
 77 ; 5 копеек ; 1791 ; ЕМ ; Cu ; XF ; 15 ; Продано в зале ; 550 
 78 ; 5 копеек ; 1792 ; ЕМ ; Cu ; XF ; 13 ; Продано в зале ; 1600 
 79 ; 5 копеек (Ильин-1р)  м.-16 гр. ; 1831 ; СМ ; Cu ; VF+ ; 20 ; Продано в зале ; 2100 
 80 ; 5 копеек ; 1864 ; ЕМ ; Cu ; VF-XF ; 21 ; Sky2 ; 1329 
 81 ; 5 копеек ; 1866 ; ЕМ ; Cu ; AU ; 27 ; Продано в зале ; 16000 
 82 ; 3 копейки ; 1840 ; ЕМ ; Cu ; VF+ ; 34 ; corr ; 1916 
 83 ; 2 копейки ; 1859 ; ЕМ ; Cu ; XF- ; 11 ; Войтович ; 2000 
 84 ; 2 копейки ; 1893 ; СПБ ; Cu ; XF/AU ; 11 ; ravs ; 1136 
 85 ; Копейка (Петров-3р, Ильин-4р) ; 1704 ; БК ; Cu ; VF ; 46 ; monos72 ; 25614 
 86 ; Копейка ; 1705 ; МД ; Cu ; VF+ ; 37 ; Продано в зале ; 4800 
 87 ; Копейка ; 1714 ; МД ; Cu ; VF ; 30 ; а1945 ; 1700 
 88 ; Копейка ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 25 ; polk ; 8000 
