 101 ; 2 копейки ; 1813 ; ЕМ НМ ; Cu ; XF- ; 23 ; taa ; 263 
 102 ; 2 копейки ; 1818 ; ЕМ НМ ; Cu ; XF ; 21 ; nemoYA ; 1002 
 103 ; 2 копейки ; 1840 ; ЕМ ; Cu ; VF-XF ; 17 ; OMT ; 3059 
 104 ; 2 копейки ; 1841 ; ЕМ ; Cu ; VF+ ; 34 ; nemoYA ; 1326 
 105 ; 2 копейки ; 1842 ; ЕМ ; Cu ; VF+ ; 9 ; andreyx  ; 1529 
 106 ; 2 копейки ; 1844 ; СМ ; Cu ; VF+ ; 21 ; taa ; 1134 
 107 ; Копейка ; 1713 ; М Д ; Cu ; VF ; 17 ; nemoYA ; 1587 
 108 ; Копейка ; 1830 ; ЕМ ИК ; Cu ; VF+ ; 21 ; Продано в зале ; 360 
 109 ; Копейка ; 1880 ; СПБ ; Cu ; XF+ ; 15 ; sdv75-2010 ; 1259 
 110 ; Денга ; 1793 ; ЕМ ; Cu ; VF+ ; 17 ; nemoYA ; 1252 
 111 ; 1/2 копейки ; 1840 ; ЕМ ; Cu ; VF-XF ; 20 ; nemoYA ; 1500 
 112 ; Денежка ; 1852 ; ЕМ ; Cu ; XF- ; 23 ; nemoYA ; 1500 
 113 ; 1/2 копейки ; 1873 ; ЕМ ; Cu ; XF- ; 29 ; benc ; 2040 
 114 ; Полушка ; 172? ;  ; Cu ; VF-XF ; 14 ; Продано в зале ; 2600 
 115 ; Полушка ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 7 ; nemoYA ; 1300 
 116 ; Полушка ; 1772 ; ЕМ ; Cu ; VF+ ; 3 ; nemoYA ; 800 
 117 ; 1/4 копейки ; 1840 ; ЕМ ; Cu ; VF+ ; 25 ; nemoYA ; 1500 
 118 ; 1/4 копейки ; 1842 ; СМ ; Cu ; VF+ ; 3 ; Продано в зале ; 600 
 119 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; XF+ ; 31 ; 16840 ; 3000 
 120 ; 1/4 копейки ; 1873 ; ЕМ ; Cu ; AU/XF ; 34 ; Продано в зале ; 2800 
 121 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU/XF ; 43 ; $$$ ; 1916 
 122 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF ; 37 ; Продано в зале ; 12000 
 123 ; Жетон на коронацию Павла I. D-19мм ;  ;  ; Ag ; VF-XF ; 20 ; андрей&ка ; 8739 
 124 ; Жетон. 10 сор. Отель "Nord" в Одессе ;  ;  ; Ж/м ; XF+ ; 13 ; Basilio ; 5612 
 125 ; Георгиевский крест IV степени №703748. Р-ры: 32 на 32мм ;  ;  ; Ag ; XF- ; 39 ; vrncoins ; 12179 
 126 ; Жетон юбилейный 56 лет 24 марта 1900г ;  ;  ; Ag ; XF+ ; 58 ; 015 ; 36000 
 127 ; Наперсный крест для священнослужителей в память войны 1853-1856гг. Р-ры: 95х57мм ;  ;  ; Ж/м ; VF-XF ; 40 ; gelo ; 12157 
 51 ; 10 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 17 ; nemoYA ; 7345 
 52 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF+ ; 10 ; nemoYA ; 5304 
 53 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 42 ; nemoYA ; 7131 
 54 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF ; 30 ; nemoYA ; 9486 
 55 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; VF+ ; 56 ; OMT ; 4590 
 56 ; 5 копеек ; 1758 ;  ; Cu ; VF+ ; 22 ; Alekdav ; 3606 
 57 ; 5 копеек ; 1759 ; ММ ; Cu ; VF ; 4 ; Продано в зале ; 650 
 58 ; 5 копеек ; 1761 ;  ; Cu ; VF+ ; 20 ; Продано в зале ; 1500 
 59 ; 5 копеек ; 1762 ;  ; Cu ; VF ; 27 ; Продано в зале ; 1300 
 60 ; 5 копеек ; 1764 ; ММ ; Cu ; VF+ ; 32 ; Продано в зале ; 1600 
 61 ; 5 копеек ; 1765 ; СПМ ; Cu ; VF+ ; 27 ; igors1969 ; 3400 
 62 ; 5 копеек ; 1766 ; ЕМ ; Cu ; VF+ ; 21 ; igors1969 ; 1338 
 63 ; 5 копеек ; 1767 ; ЕМ ; Cu ; VF+ ; 7 ; Продано в зале ; 320 
 64 ; 5 копеек ; 1771 ; ЕМ ; Cu ; XF-/VF+ ; 4 ; Продано в зале ; 340 
 65 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 24 ; OMT ; 6800 
 66 ; 5 копеек ; 1776 ; ЕМ ; Cu ; XF- ; 16 ; Продано в зале ; 1300 
 67 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; nemoYA ; 11577 
 68 ; 5 копеек ; 1780 ; ЕМ ; Cu ; VF-XF ; 10 ; Продано в зале ; 320 
 69 ; 5 копеек ; 1781 ; ЕМ ; Cu ; VF+ ; 9 ; nemoYA ; 2040 
 70 ; 5 копеек ; 1782 ; ЕМ ; Cu ; VF+ ; 9 ; 439 ; 337 
 71 ; 5 копеек ; 1782 ; КМ ; Cu ; XF- ; 41 ; nemoYA ; 3600 
 72 ; 5 копеек ; 1784 ; ЕМ ; Cu ; VF+ ; 5 ; Продано в зале ; 320 
 73 ; 5 копеек ; 1785 ; КМ ; Cu ; XF- ; 28 ; Продано в зале ; 5500 
 74 ; 5 копеек ; 1786 ; ЕМ ; Cu ; VF+ ; 3 ; Продано в зале ; 280 
 75 ; 5 копеек ; 1786 ; КМ ; Cu ; XF- ; 11 ; nemoYA ; 3621 
 76 ; 5 копеек ; 1787 ; КМ ; Cu ; VF+ ; 13 ; nemoYA ; 5678 
 77 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF-XF ; 9 ; Продано в зале ; 600 
 78 ; 5 копеек ; 1788 ; ММ ; Cu ; VF-XF ; 29 ; igors1969 ; 3500 
 79 ; 5 копеек ; 1789 ; ЕМ ; Cu ; VF+ ; 7 ; nemoYA ; 334 
 80 ; 5 копеек ; 1789 ; КМ ; Cu ; VF+ ; 21 ; Mmm ; 2244 
 81 ; 5 копеек ; 1790 ; ЕМ ; Cu ; VF-XF ; 15 ; nemoYA ; 2000 
 82 ; 5 копеек ; 1790 ; АМ ; Cu ; XF- ; 7 ; nemoYA ; 1224 
 83 ; 5 копеек ; 1791 ; АМ ; Cu ; XF- ; 12 ; Продано в зале ; 900 
 84 ; 5 копеек ; 1791 ; КМ ; Cu ; XF- ; 17 ; nemoYA ; 3468 
 85 ; 5 копеек ; 1792 ; ЕМ ; Cu ; XF- ; 15 ; nemoYA ; 1275 
 86 ; 5 копеек ; 1795 ; ЕМ ; Cu ; XF- ; 27 ; nemoYA ; 1032 
 87 ; 5 копеек ; 1795 ; КМ ; Cu ; XF- ; 15 ; arsenich-s ; 3071 
 88 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 25 ; nemoYA ; 4567 
 89 ; 5 копеек ; 1806 ; ЕМ ; Cu ; XF- ; 24 ; nemoYA ; 4590 
 90 ; 5 копеек ; 1836 ; ЕМ ФХ ; Cu ; XF- ; 20 ; OMT ; 5100 
 91 ; 5 копеек ; 1838 ; ЕМ НА ; Cu ; VF+/XF- ; 26 ; taa ; 4507 
 92 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF+ ; 11 ; Продано в зале ; 1200 
 93 ; 5 копеек ; 1859 ; ЕМ ; Cu ; VF+ ; 26 ; OMT ; 3366 
 94 ; 5 копеек ; 1866 ; ЕМ ; Cu ; XF- ; 17 ; OMT ; 3040 
 95 ; 3 копейки ; 1897 ; СПБ ; Cu ; XF+ ; 32 ; 222211 ; 8046 
