 51 ; 2 копейки ; 1793 ; Е- М Павл.перечекан ; Cu ; VF ; 15 ; амбал ; 3100 
 52 ; 2 копейки. В капсуле PCGS ; 1797 ;  ; Cu ; XF- ; 56 ; verunk1 ; 25000 
 53 ; 2 копейки. В капсуле NGC ; 1811 ; ЕМ НМ ; Cu ; AU 58 ; 21 ; Sarul ; 1530 
 54 ; 2 копейки ; 1845 ; СМ ; Cu ; XF- ; 47 ; Продано в зале ; 10000 
 55 ; Копейка ; 1705 ; БК ; Cu ; VF+ ; 39 ; Продано в зале ; 22000 
 56 ; Копейка (Петров-15р, Ильин-3р) ; 1705 ; БК ; Cu ; VF+ ; 33 ; Айс/ти ; 45050 
 57 ; Копейка (Петров-3р) ; 1855 ; ВМ ; Cu ; XF- ; 24 ; Продано в зале ; 6000 
 58 ; Копейка. В капсуле NGC ; 1879 ; СПБ ; Cu ; MS 63 ; 28 ; verunk1 ; 7017 
 59 ; Копейка. В капсуле NGC ; 1894 ; СПБ ; Cu ; MS 63 ; 17 ; David Beckham ; 5667 
 60 ; Денга. Новодел ; 1765 ;  ; Cu ; AU ; 38 ; Продано в зале ; 22000 
 61 ; Деньга (Петров-1р, Ильин-1р) ; 1805 ; ЕМ ; Cu ; VF+ ; 35 ; ct200h ; 32754 
 62 ; Деньга (Петров-5р, Ильин-3р) ; 1812 ; КМ АМ ; Cu ; VF+ ; 24 ; Продано в зале ; 4600 
 63 ; Полушка ; 1858 ; ЕМ ; Cu ; XF ; 19 ; картуш ; 2054 
 64 ; 1/4 копейки. В капсуле NGC ; 1890 ; СПБ ; Cu ; AU 55 ; 17 ; David Beckham ; 6222 
 65 ; 10 пенни. В капсуле NGC ; 1866 ; Финляндия ; Cu ; AU 55 ; 15 ; David Beckham ; 2142 
 66 ; 20 копеек ; 1922 ; Николо-Павдиевский кооператив (Екатеринбург, 1922 г.) ;  ; VF-XF ; 19 ; фанто-мас ; 8835 
 67 ; 20 копеек ; 1990 ; В желтом металле ;  ;  ; 28 ; romik ; 68000 
 68 ; Георгиевская медаль 3 степени №275653. Временное правительство. D-28мм ;  ;  ; Б/м ; XF+ ; 24 ; Продано в зале ; 9500 
 69 ; Георгиевский крест IV ст. № 302802. Р-ры: 34-34мм ; 1914-1915 ;  ; Ag ; XF- ; 21 ; Sky2 ; 10200 
 70 ; Георгиевский крест IV ст.№ 444594. Р-ры: 34х34. На ленте ; 1914-1915 ;  ; Ag ; AU/XF ; 25 ; verunk1 ; 14862 
 71 ; Знак. X лет Октябрьской Революции ;  ;  ; Ag,эмаль ; XF+ ; 32 ; Lisik ; 15000 
 72 ; Знак. Отличник социалистического соревнования Наркомтекстиля СССР № 887 ; МД ;  ; Ag,эмаль ; AU ; 55 ; ZOLTAN333 ; 17000 
 73 ; Знак. Спорт. Ленинградский Свирьстройком ;  ;  ; Ag,эмаль ; XF+ ; 47 ; ZOLTAN333 ; 9480 
 74 ; 5 рублей ; 1886 ; (АГ) Борода длиннее ; Au ; AU ; 23 ; каламбурчик ; 44651 
 75 ; Рубль ; 1894 ; (АГ) ; Ag ; XF+ ; 38 ; Продано в зале ; 32000 
 76 ; 20 копеек ; 1877 ; СПБ НФ ; Ag ; AU ; 27 ; Lisik ; 15810 
 77 ; 10 копеек ; 1880 ; СПБ НФ ; Ag ; AU/XF ; 7 ; Lisik ; 1200 
 78 ; Рубль ; 1922 ; (ПЛ) ; Ag ; AU ; 62 ; David Beckham ; 23205 
 1 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; AU/XF ; 45 ; Продано в зале ; 16000 
 2 ; Рубль ; 1719 ; OK ; Ag ; VF ; 37 ; David Beckham ; 36669 
 3 ; Рубль ; 1766 ; СПБ ЯI TI ; Ag ; XF ; 63 ; ruba ; 46920 
 4 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; AU ; 27 ; Продано в зале ; 54000 
 5 ; Рубль ; 1798 ; СМ МБ ; Ag ; XF- ; 25 ; Почтальон 2 ; 35000 
 6 ; Рубль ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 36 ; Продано в зале ; 32000 
 7 ; Рубль ; 1833 ; СПБ НГ ; Ag ; XF ; 36 ; Продано в зале ; 9400 
 8 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 27 ; Продано в зале ; 11000 
 9 ; Рубль ; 1845 ; СПБ КБ ; Ag ; XF+ ; 32 ; Продано в зале ; 22000 
 10 ; Рубль ; 1847 ; MW ; Ag ; XF+ ; 22 ; verunk1 ; 19380 
 11 ; Полтина ; 1818 ; СПБ ПС ; Ag ; VF-XF ; 28 ; Sky2 ; 2600 
 12 ; Полуполтинник ; 1751 ; ММД А ; Ag ; XF- ; 15 ; СВл ; 10097 
 13 ; 25 копеек ; 1833 ; СПБ НГ ; Ag ; XF+ ; 54 ; Isay ; 27000 
 14 ; 20 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 26 ; verunk1 ; 7500 
 15 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 25 ; Продано в зале ; 3600 
 16 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 10 ; taa ; 1813 
 17 ; 20 копеек ; 1869 ; СПБ HI ; Ag ; AU ; 30 ; Продано в зале ; 2600 
