 101 ; 20 копеек ; 1934 ; Тувинская Народная Республика ; Б/м ; VF ; 33 ; arsenich-s ; 7140 
 102 ; 15 копеек ; 1934 ; Тувинская Народная Республика ; Б/м ; VF-XF ; 27 ; arsenich-s ; 7140 
 103 ; 5 копеек ; 1934 ; Тувинская Народная Республика ; Ж/м ; VF-XF ; 15 ; arsenich-s ; 7140 
 104 ; 3 копейки ; 1934 ; Тувинская Народная Республика ; Ж/м ; VF+ ; 22 ; arsenich-s ; 7140 
 105 ; 2 копейки ; 1934 ; Тувинская Народная Республика ; Ж/м ; VF ; 28 ; arsenich-s ; 7140 
 106 ; 1 копейка ; 1934 ; Тувинская Народная Республика ; Ж/м ; VF ; 33 ; masterovoi ; 7730 
 107 ; 20 рублей ; 1993 ; ММД Белый металл (немагнитный) ; Ж/м ; XF+ ; 49 ; Изнурёнков ; 18752 
 108 ; Медаль За Турецкую войну 1877-1878гг. D-26мм ;  ;  ; Br ; XF- ; 31 ; Sky2 ; 7285 
 109 ; Медаль за храбрость 4 степени. Император Николай II ;  ;  ; Ag ; XF ; 58 ; АсисяЙ ; 8517 
 110 ; Медаль "За усердие". D-30мм ;  ;  ; Б/м ; VF-XF ; 9 ; dsidorov ; 3174 
 111 ; Георгиевский крест IV ст. №283009 ; 1916 ;  ; б.м. ; XF- ; 19 ; 439 ; 13020 
 112 ; Медаль "За отменную храбрость при взятии Измаила 11 декабря 1790года". Новодел ;  ;  ; Cu ; XF- ; 27 ; gelo ; 13557 
 113 ; Жетон На открытие 6 августа в Санкт-Петербурге памятника Петру I. D-23мм ; 1782 ;  ; Ag ; VF-XF ; 90 ; нумизмат ; 15149 
 114 ; Жетон в память бракосочетания Александра II и Марии Федоровны. D-27мм ;  ;  ; Br ; VF-XF ; 76 ; нумизмат ; 3599 
 115 ; Жетон. На коронацию Николая II. D - 25mm ; 1896 ;  ; Ag ; AU ; 43 ; Продано в зале ; 6800 
 116 ; Настольная медаль «Трехдневный бой при г. Красном». D-64мм ;  ;  ; Cu ; XF ; 51 ; Продано в зале ; 9000 
 117 ; Настольная медаль «В память сражения на высотах Кацбахских» D-64мм ;  ;  ; Cu ; XF ; 49 ; Продано в зале ; 12500 
 118 ; Медаль. Императору Александру I Благословенному 1777-1877.D- 60 мм. ;  ;  ; Cu ; AU ; 86 ; 439 ; 16000 
 119 ; Рубль. В капсуле NGC ; 1842 ; СПБ АЧ ; Ag ; MS 62 ; 97 ; Продано в зале ; 42000 
 120 ; 25 копеек. В капсуле NGC ; 1858 ; СПБ ФБ ; Ag ; MS 63 ; 36 ; TaraskaPeter ; 12000 
 121 ; 10 копеек. В капсуле NGC ; 1804 ; СПБ ФГ ; Ag ; VF 25 ; 30 ; тюря ; 22667 
 122 ; 5 копеек. В капсуле NGC ; 1823 ; СПБ ПД ; Ag ; Unc ; 21 ; sax ; 6273 
 123 ; 5 копеек. В капсуле NGC ; 1833 ; СПБ НГ ; Ag ; MS 62 ; 31 ; pilot2371 ; 10078 
 124 ; 5 копеек. В капсуле NGC ; 1856 ; СПБ ФБ ; Ag ; MS 63 ; 60 ; Продано в зале ; 7200 
 125 ; 1/4 копейки. В капсуле NGC ; 1895 ; СПБ ; Cu ; MS 60 ; 73 ; SDS ; 17557 
 126 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF ; 32 ; sax ; 19633 
 127 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; XF+ ; 45 ; icebreaker ; 28662 
 128 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF- ; 41 ; kaper ; 20274 
 51 ; 5 копеек ; 1796 ; КМ ; Cu ; VF-XF ; 19 ; ТОЧКА ; 9000 
 52 ; 5 копеек ; 1805 ; ЕМ ; Cu ; XF- ; 42 ; Продано в зале ; 4200 
 53 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 56 ; Продано в зале ; 16000 
 54 ; 5 копеек ; 1834 ; ЕМ ФХ ; Cu ; AU ; 128 ; DAndy-2003 ; 12260 
 55 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF-XF ; 27 ; sax ; 2550 
 56 ; 5 копеек ; 1860 ; ЕМ ; Cu ; VF-XF ; 19 ; Продано в зале ; 1600 
 57 ; 5 копеек. Брак чеканки ; 1863 ; ЕМ ; Cu ; VF- ; 24 ; Продано в зале ; 2400 
 58 ; 5 копеек ; 1866 ; ЕМ ; Cu ; VF-XF ; 19 ; sax ; 2699 
 59 ; 5 копеек ; 1869 ; СПБ ; Cu ; XF- ; 47 ; Sky2 ; 7408 
 60 ; 3 копейки ; 1869 ; СПБ ; Cu ; VF+ ; 40 ; Sky2 ; 6087 
 61 ; 2 копейки. Новодел ; 1757 ; Надп.сверху ; Cu ; XF+ ; 48 ; Продано в зале ; 22000 
