 101 ; 10 пенни ; 1899 ; Финляндия ; Cu ; XF- ; 13 ; ИсЬчЁ ; 4408 
 102 ; Медаль "За покорение Чечни и Дагестана". D-27мм ;  ;  ; Ag ; VF+ ; 21 ; хр2774 ; 17087 
 103 ; Медаль "За Турецкую войну 1877-1878гг". D-28мм. Частная мастерская ;  ;  ; Б/м ; VF+ ; 30 ; Почтальон 2 ; 10001 
 104 ; Медаль "За поход в Китай". D-27мм ;  ;  ; Ag ; VF+ ; 68 ; хр2774 ; 15615 
 105 ; Георгиевская медаль 4 степени № 798819. ;  ;  ; Ag ; XF- ; 18 ; хр2774 ; 5202 
 106 ; Медаль "В память войны 1812г". D-28мм ;  ;  ; Br,серебрение ; VF-XF ; 37 ; Почтальон 2 ; 12444 
 107 ; Медаль "За Русско-Японскую войну 1904-1905гг". D-28мм ;  ;  ; Br ; XF+ ; 21 ; хр2774 ; 4500 
 108 ; Медаль "За труды по первой всеобщей переписи населения". D-28мм ;  ;  ; Br ; VF-XF ; 15 ; Продано в зале ; 4600 
 109 ; Жетон в память открытия памятника Барклай де Толли ;  ;  ; Br ; XF+ ; 42 ; Продано в зале ; 2600 
 110 ; Жетон в память 200-летия Полтавской победы ;  ;  ; Br ; XF ; 41 ; Продано в зале ; 2200 
 111 ; Жетон За отличие. Гренадерский поход. Севастополь ;  ;  ; Б/м ; XF ; 17 ; Продано в зале ; 6000 
 112 ; Медаль "В память победы над Турцией при Азове" ;  ;  ; Б/м ; VF-XF ; 15 ; Продано в зале ; 6500 
 51 ; 25 пенни ; 1906 ; L Финляндия ; Ag ; AU/XF ; 27 ; legallegal ; 1040 
 52 ; 10 копеек.  (Петров - 6 руб, Ильин - 3 руб) ; 1766 ; "Сибирь" ; Cu ; F-VF ; 27 ; форсаж ; 11000 
 53 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 31 ; Продано в зале ; 24000 
 54 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 29 ; Продано в зале ; 6500 
 55 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 70 ; to-to ; 9396 
 56 ; 5 копеек ; 1790 ; КМ ; Cu ; XF ; 33 ; ккк ; 4209 
