 151 ; 5 копеек ; 1865 ; ЕМ ; Cu ; VF-XF ; 32 ; Brilev ; 3361 
 152 ; 5 копеек ; 1866 ; ЕМ ; Cu ; VF-XF ; 57 ; krugerrand ; 6500 
 153 ; 4 копейки ; 1762 ;  ; Cu ; F-VF ; 38 ; krugerrand ; 13547 
 154 ; 3 копейки ; 1858 ; ЕМ ; Cu ; VF-XF ; 21 ; sergius ; 4590 
 155 ; 3 копейки ; 1859 ; ЕМ ; Cu ; VF-XF ; 27 ; Продано в зале ; 4600 
 156 ; 3 копейки ; 1859 ; ЕМ ; Cu ; VF-XF ; 46 ; Продано в зале ; 3800 
 157 ; 2 копейки ; 1866 ; ЕМ ; Cu ; VF-XF ; 35 ; Продано в зале ; 7500 
 158 ; 2 копейки ; 1896 ; СПБ ; Cu ; AU ; 75 ; Продано в зале ; 13500 
 159 ; Копейка (Ильин - 10 руб) ; 1718 ; БК ; Cu ; VG ; 22 ; 12:71 ; 7000 
 160 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 40 ; masterovoi ; 15010 
 161 ; Копейка ; 1755 ; СПБ ; Cu ; VF- ; 22 ; Misha ; 5712 
 162 ; Копейка (Петров - 15 руб, Ильин - 20 руб) ; 1763 ; ЕМ ; Cu ; VG ; 16 ; Продано в зале ; 10000 
 163 ; Копейка ; 1854 ; ЕМ ; Cu ; XF ; 52 ; Brilev ; 4038 
 164 ; Копейка ; 1904 ; СПБ ; Cu ; AU ; 66 ; Продано в зале ; 2400 
 165 ; Денга. Вензель СПб ; 1768? ; ЕМ ; Cu ; VG ; 65 ; 9525255-2 ; 19760 
 166 ; Деньга ; 1818 ; ЕМ НМ ; Cu ; XF ; 60 ; Продано в зале ; 9500 
 167 ; Деньга ; 1827 ; ЕМ ИК ; Cu ; XF ; 64 ; Продано в зале ; 7000 
 168 ; Один полтинник. Редкая ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; VF-XF ; 59 ; Продано в зале ; 12500 
 169 ; Жетон. На коронацию Екатерины I. D  - 20mm ; 1724 ;  ; Ag ; VF+ ; 73 ; lastfast ; 37617 
 170 ; Жетон. В память бала Института инженеров путей сообщения. Вензель Александра I.На цепочке ; 1900 ;  ; Ag ; VF-XF ; 31 ; korovan67 ; 8336 
 101 ; 5 копеек. В капсуле ННР ; 1854 ; СПБ HI ; Ag ;  ; 51 ; Алексеев71 ; 28076 
 102 ; 5 копеек. В капсуле ННР ; 1875 ; СПБ HI ; Ag ;  ; 27 ; Sunday ; 24606 
 103 ; 5 копеек. В капсуле ННР. Сертификат ; 1876 ; СПБ HI ; Ag ;  ; 18 ; Sunday ; 19000 
 104 ; 1,5 рубля-10 злотых. В капсуле ННР ; 1833 ; НГ Рус.-Пол. ; Ag ;  ; 45 ; gola78 ; 7100 
 105 ; 1,5 рубля-10 злотых. В капсуле ННР ; 1836 ; MW Рус.-Пол. ; Ag ;  ; 41 ; gola78 ; 7100 
 106 ; Деньга. В капсуле ННР ; 1804 ; КМ ; Cu ;  ; 35 ; Продано в зале ; 19000 
 107 ; 50 копеек. В капсуле NGC ; 1922 ; (ПЛ) ; Ag ;  ; 30 ; Sky2 ; 3401 
 108 ; Жетон на коронацию Александра II. D - 22mm. В капсуле ННР ; 1856 ;  ; Ag ;  ; 23 ; Продано в зале ; 5100 
 109 ; 5 рублей. М - 6,555г ; 1878 ; СПБ НФ ; Au ; XF ; 20 ; sity007 ; 42840 
 110 ; Рубль. Трещина ; 1718 ; L OK ; Ag ; VF ; 39 ; Хаа ; 29000 
 111 ; Рубль ; 1742 ; СПБ ; Ag ; VF-XF ; 17 ; Алексеев71 ; 23432 
 112 ; Рубль ; 1743 ; СПБ ; Ag ; VF-XF ; 16 ; A-Stral ; 18008 
 113 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; VF+ ; 13 ; Продано в зале ; 16500 
 114 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; VF+/VF-XF ; 20 ; A-Stral ; 7140 
 115 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; VF-XF ; 22 ; A-Stral ; 10082 
 116 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF- ; 18 ; sheff78 ; 12568 
 117 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; VF+ ; 17 ; Алексеев71 ; 8046 
 118 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; VF-XF ; 10 ; A-Stral ; 11438 
 119 ; Рубль ; 1785 ; СПБ ЯА TI ; Ag ; VF+ ; 25 ; Sky2 ; 14859 
 120 ; Рубль ; 1792 ; СПБ ЯА TI ; Ag ; VF+/VF-XF ; 43 ; Алексеев71 ; 13674 
 121 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF+ ; 29 ; Продано в зале ; 6600 
 122 ; Рубль ; 1800 ; СМ ОМ ; Ag ; VF-XF ; 18 ; neron.73 ; 18012 
 123 ; Рубль ; 1801 ; СМ АИ ; Ag ; VF-XF/VF+ ; 9 ; neron.73 ; 7808 
 124 ; Рубль ; 1804 ; СПБ ФГ ; Ag ; VF-XF/XF- ; 15 ; neron.73 ; 19947 
 125 ; Рубль ; 1809 ; СПБ ФГ ; Ag ; VF-XF ; 13 ; Sky2 ; 20400 
 126 ; Рубль ; 1810 ; СПБ ФГ ; Ag ; VF-XF ; 15 ; Алексеев71 ; 15300 
 127 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 22 ; Колхозы ; 25502 
 128 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; AU ; 38 ; амбал ; 13101 
 129 ; 25 копеек-50 грошей ; 1846 ; MW Рус.-Пол. ; Ag ; XF-/VF-XF ; 51 ; Brilev ; 21420 
 130 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 17 ; Продано в зале ; 3600 
 131 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 14 ; swoon ; 2123 
 132 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 11 ; Продано в зале ; 4550 
 133 ; 15 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 23 ; Продано в зале ; 5500 
 134 ; 15 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 17 ; cr4068 ; 6001 
 135 ; 10 копеек ; 1814 ; СПБ ПС ; Ag ; XF ; 46 ; Продано в зале ; 5100 
 136 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 17 ; 333985 ; 3800 
 137 ; 10 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 23 ; Продано в зале ; 4600 
