 51 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF ; 55 ; Продано в зале ; 5600 
 52 ; 5 копеек ; 1762 ;  ; Cu ; VF ; 62 ; gurt72 ; 1540 
 53 ; 5 копеек ; 1763 ; СМ ; Cu ; VF- ; 14 ; Sumo ; 2607 
 54 ; 5 копеек ; 1777 ; ЕМ ; Cu ; VF-XF ; 11 ; Гномр ; 1517 
 55 ; 5 копеек ; 1778 ; ЕМ ; Cu ; VF-XF ; 18 ; Гаечка ; 1530 
 56 ; 5 копеек ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 47 ; Продано в зале ; 14000 
 57 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 23 ; N.A.S.A ; 1234 
 58 ; 5 копеек ; 1792 ; АМ ; Cu ; VF-XF ; 19 ; Уц тоц ; 1237 
 59 ; 5 копеек ; 1795 ; ЕМ ; Cu ; VF-XF ; 58 ; Продано в зале ; 1700 
 60 ; 5 копеек ; 1796 ; ЕМ ; Cu ; VF+ ; 29 ; cr59 ; 1250 
 61 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF ; 29 ; N.A.S.A ; 1587 
 62 ; 5 копеек ; 1863 ; ЕМ ; Cu ; VF+ ; 22 ; Alexey0575 ; 2267 
 63 ; 3 копейки ; 1903 ; СПБ ; Cu ; XF+ ; 67 ; Продано в зале ; 32000 
 64 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF- ; 27 ; Продано в зале ; 2000 
 65 ; 2 копейки ; 1775 ; КМ "Сибирь" ; Cu ; VF+ ; 30 ; Продано в зале ; 1800 
 66 ; 2 копейки ; 1797 ; ЕМ ; Cu ; XF- ; 47 ; Уц тоц ; 841 
 67 ; 2 копейки. Капсула PCGS ; 1798 ; КМ ; Cu ;  ; 35 ; Лосики ; 3111 
 68 ; 2 копейки ; 1800 ; ЕМ ; Cu ; XF- ; 26 ; Продано в зале ; 850 
 69 ; 2 копейки ; 1915 ;  ; Cu ; AU ; 8 ; Sky2 ; 406 
 70 ; Копейка ; 1818 ; ЕМ НМ ; Cu ; VF-XF ; 26 ; Продано в зале ; 1600 
