 101 ; Рубль ; 1751 ; ММД ; Ag ; VF+ ; 23 ; gelo ; 32000 
 51 ; 2 копейки ; 1812 ; КМ АМ ; Cu ; XF ; 17 ; Продано в зале ; 1900 
 52 ; 2 копейки ; 1813 ; КМ АМ ; Cu ; XF- ; 11 ; Продано в зале ; 1900 
 53 ; 2 копейки ; 1815 ; КМ АМ ; Cu ; XF ; 27 ; electra ; 1600 
 54 ; 2 копейки ; 1822 ; КМ АМ ; Cu ; XF ; 52 ; Продано в зале ; 4400 
 55 ; 2 копейки ; 1823 ; КМ АМ ; Cu ; XF+ ; 41 ; Продано в зале ; 4400 
 56 ; 2 копейки ; 1824 ; КМ АМ ; Cu ; XF ; 27 ; I3 ; 2400 
 57 ; 2 копейки ; 1825 ; КМ АМ ; Cu ; XF ; 18 ; Продано в зале ; 3800 
 58 ; 2 копейки ; 1826 ; КМ АМ ; Cu ; XF ; 17 ; I3 ; 2800 
 59 ; 2 копейки ; 1827 ; КМ АМ ; Cu ; XF ; 12 ; I3 ; 3200 
 60 ; 2 копейки (Ильин-1р) ; 1828 ; КМ АМ ; Cu ; XF ; 25 ; velisarit ; 5500 
 61 ; 2 копейки (Ильин-1р) ; 1839 ; СМ ; Cu ; XF- ; 23 ; ЛАВ-13 ; 4206 
 62 ; 2 копейки ; 1877 ; СПБ ; Cu ; XF+ ; 60 ; CapsulЪ ; 17000 
 63 ; Копейка ; 1705 ; МД ; Cu ; VF- ; 23 ; Продано в зале ; 1100 
 64 ; Копейка (Петров-10р, Ильин-7р) ; 1705 ; БК ; Cu ; VF ; 22 ; masterovoi ; 20400 
 65 ; Копейка (Ильин-1р) ; 1710 ; ··Б·К·· ; Cu ; VF ; 35 ; Продано в зале ; 5400 
 66 ; Копейка ; 1713 ; НД ; Cu ; VF- ; 47 ; Valera G ; 2000 
 67 ; Копейка ; 1821 ; ИМ ЯВ ; Cu ; VF-XF ; 11 ; ЛАВ-13 ; 3200 
 68 ; Копейка ; 1855 ; ЕМ ; Cu ; XF+ ; 29 ; Абрекосов ; 7250 
 69 ; Денга ; 1700 ;  ; Cu ; VF- ; 21 ; Продано в зале ; 3200 
 70 ; Денга ; 1731 ;  ; Cu ; VF ; 17 ; Eichhörnchen ; 270 
 71 ; 1/2 копейки (Ильин-10р) ; 1848 ; MW ; Cu ; VF+ ; 62 ; CapsulЪ ; 67500 
 72 ; 1/2 копейки ; 1882 ; СПБ ; Cu ; XF ; 23 ; sdv75-2010 ; 3400 
 73 ; Полушка ; 1757 ;  ; Cu ; F-VF ; 10 ; Lego duplo ; 2042 
 74 ; Полушка (Петров-2,5р, Ильин-3р) ; 1785 ; КМ ; Cu ; F+ ; 23 ; Продано в зале ; 1300 
 75 ; Полушка ; 1859 ; ЕМ ; Cu ; VF-XF ; 38 ; sergius ; 4705 
 76 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; VF-XF ; 22 ; Valera G ; 2800 
 77 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 11 ; I3 ; 1500 
 78 ; Медаль 11-ая Всеобщая Финская сельскохозяйственная выставка. D-57мм ; 1906 ;  ; Br ; AU ; 23 ; sm-dc ; 4542 
 79 ; Медаль 10-я сельскохозяйственная выставка в Вазе. Медальеры А. Грилихес-отец, А. Грилихес-сын. D-52мм ; 1894 ;  ; Br ; AU ; 21 ; sm-dc ; 4837 
 80 ; Медаль. Император Наполеон Бонапарт. Коронация Наполеона как короля Италии. Франция. D-42мм ;  ;  ; Br ; XF+ ; 22 ; sm-dc ; 5000 
 81 ; Медаль. Первый консул Наполеон Бонапарт. Люневильский мир 9 февраля 1801. Франция. D-42мм ;  ;  ; Br ; XF+ ; 16 ; sm-dc ; 4600 
 82 ; Медаль. Ворота Святого Мартина. Император покидает Париж. 13 апреля. Ворота Каринтии. Император посещает Вену. 13 мая. 1809 г. Франция. D-41мм ;  ;  ; Cu ; VF ; 5 ; sm-dc ; 1700 
 83 ; Медаль. Наполеон Бонапарт. Родился в Аяччо, 15 августа 1769г. Франция. D-33мм ;  ;  ; Br ; VF-XF ; 9 ; sm-dc ; 2000 
 84 ; Медаль. Император Наполеон Бонапарт. Рим, Париж. Франция. D-40мм ;  ;  ; Br ; AU ; 9 ; sm-dc ; 4500 
 85 ; Медаль. Император Наполеон Бонапарт. Коронация Наполеона как короля Италии. Франция. D-42мм ;  ;  ; Br ; VF+ ; 11 ; Продано в зале ; 1600 
 86 ; Памятная медаль. Наполеон Бонапарт и Жозефина Богарне. Церемония коронации в Париже. Франция. D-35мм ;  ;  ; Br ; VF-XF ; 7 ; sm-dc ; 3513 
 87 ; Памятная медаль. Людовик XVII. Смерть Людовика XVII 8 июня 1795. Франция. D-30мм ;  ;  ; Br ; AU ; 13 ; sm-dc ; 2800 
 88 ; Медаль. Император Наполеон Бонапарт. Император посещает Берлин. Бранденбургские ворота. Франция. D-40мм ;  ;  ; Br ; XF- ; 5 ; sm-dc ; 2550 
 89 ; Медаль. Император Наполеон Бонапарт. Возвращение праха Наполеона I. Франция. D-36мм ;  ;  ; Br ; VF+ ; 12 ; sm-dc ; 2800 
 90 ; Медаль. Император Наполеон Бонапарт.  Пресбургский мир 1805 года. Франция. D-40мм ;  ;  ; Br ; XF+ ; 7 ; sm-dc ; 2151 
 91 ; Медаль. Император Наполеон Бонапарт. Александр I, Франц II. Битва под Аустерлицем. Франция. D-40мм ;  ;  ; Br ; XF ; 31 ; sm-dc ; 6500 
 92 ; Медаль. Император Наполеон Бонапарт. Завоевание Иллирии. Франция. D-40мм ;  ;  ; Br ; XF ; 9 ; sm-dc ; 2966 
 93 ; Медаль. Император Наполеон Бонапарт. Встреча Наполеона и Франца II. 4 декабря 1805. Франция. D-40мм ;  ;  ; Br ; AU ; 17 ; sm-dc ; 4200 
 94 ; Медаль. Император Наполеон Бонапарт. Создание Варшавского княжества. Франция. D-40мм ;  ;  ; Br ; VF-XF ; 10 ; sm-dc ; 2582 
 95 ; Медаль. Император Наполеон Бонапарт. В память завоевания Истрии. 1806. Храм Августа. Франция. D-40мм ;  ;  ; Br ; XF+ ; 5 ; sm-dc ; 2946 
 96 ; Медаль. Император Наполеон Бонапарт. Капитуляция Ульма и Меммингена. Франция. D-40мм ;  ;  ; Br ; XF+ ; 17 ; sm-dc ; 5000 
 97 ; Медаль. Император Наполеон Бонапарт. Въезд маршала Нея в Инсбрук. Франция. D-40мм ;  ;  ; Br ; XF+ ; 13 ; sm-dc ; 3060 
 98 ; Медаль. Император Наполеон Бонапарт. День благодарения за мир. Собор Святого Стефана в Вене. Франция. D-40мм ;  ;  ; Br ; XF ; 6 ; sm-dc ; 3005 
 99 ; Медаль. Император Наполеон Бонапарт. Сенат и народ. Франция. D-40мм ;  ;  ; Br ; XF+ ; 29 ; sm-dc ; 4000 
 100 ; Рубль (Петров-2,25р) ; 1736 ;  ; Ag ; VF+ ; 65 ; CapsulЪ ; 18000 
