 351 ; Копейка. Хан Шахин-Гирей, Крымское ханство ;  ;  ; Cu ; VF ; 66 ; vic-dmitri ; 2600 
 352 ; Денга. Хан Шахин-Гирей, Крымское ханство. М-4,8г ;  ;  ; Cu ; F ; 16 ; vic-dmitri ; 800 
 353 ; Лот монет Хорезмской Народной Республики: 20,25,100,500 руб (4шт) ;  ;  ;  ; VF-/VF+ ; 37 ; валенок ; 25000 
 354 ; Медаль В память царствования Александа III (1881-1894). D-28мм ;  ;  ; Ag84 ; XF ; 46 ; Roman1981 ; 13000 
 355 ; Медаль "За победу при Лесной" D-28мм Новодел ;  ;  ; Br ; VF ; 9 ; Брат ; 7500 
 356 ; Медаль "За любовь к Отечеству 1812"  Александр I D-28мм Новодел ;  ;  ; Br ; VF+ ; 32 ; валенок ; 30000 
 357 ; Медаль "За бескорыстие"  Александр I D-28мм Новодел ;  ;  ; Br ; VF+ ; 55 ; Брат ; 32000 
 358 ; Медаль "За спасение погибавших" Николай I D-28мм Новодел ;  ;  ; Br ; VF+ ; 37 ; Брат ; 26000 
 359 ; Медаль "В знак монаршего благоволения" Николай I D-28мм Новодел ;  ;  ; Br ; VF-XF ; 25 ; Брат ; 25000 
 360 ; Медаль "Кавказ 1871 год" Александр II D-28мм Новодел ;  ;  ; Br ; VF+ ; 38 ; валенок ; 21000 
 361 ; 3 рубля. М-10,13г ; 1829 ; СПБ ; Pt ; VF ; 34 ; sergius ; 76500 
 362 ; 5 рублей. В капсуле ННР ; 1823 ; СПБ ПС ; Au ;  ; 58 ; Сhatsky ; 67500 
 363 ; 5 рублей. М-6,44г ; 1893 ; (АГ) ; Au ; VF-XF ; 48 ; *@*#* ; 62500 
 364 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; VF-XF ; 35 ; Продано в зале ; 23256 
 301 ; 1/2 копейки ; 1884 ; СПБ ; Cu ; XF ; 56 ; Сhatsky ; 5750 
 302 ; Полушка (Ильин-3р) ; 1702 ;  ; Cu ; F-VF ; 17 ; Брат ; 1201 
 303 ; Полушка (Ильин-2,5р) ; 1703 ;  ; Cu ; F-VF ; 4 ; Брат ; 1532 
 304 ; Полушка ; 1705 ;  ; Cu ; F+ ; 19 ; АВС ; 1700 
 305 ; Полушка ; 1706 ;  ; Cu ; VF ; 26 ; Брат ; 4800 
 306 ; Полушка ; 1707 ;  ; Cu ; VF- ; 24 ; 333985 ; 1800 
 307 ; Полушка (Петров-8р, Ильин-3р) ; 1710 ;  ; Cu ; F ; 20 ; АВС ; 4800 
 308 ; Полушка (Ильин-3р) ; 1711 ;  ; Cu ; F ; 13 ; Брат ; 3800 
