 101 ; 1 пенни ; 1866 ; Финляндия ; Cu ; XF+ ; 53 ; sax ; 5500 
 102 ; Медаль. Император Петр I Великий. 1682-1725. . Из портретной серии российских великих князей, царей и императоров № 53. Гравер: B. Gass. D-39мм. М-24,49г ;  ;  ; Ag ; AU ; 38 ; Продано в зале ; 48000 
 103 ; Медаль "Мир с Турцией" . СПб мон двор. Медальер С.Юдин. D-62мм ;  ;  ; Br ; VF+ ; 23 ; Продано в зале ; 16000 
 104 ; Медаль. В память императрицы Анны Иоанновны 1693-1740. D-39мм ;  ;  ; Ж/м ; XF ; 46 ; Федор1 ; 13000 
 105 ; Медаль В память открытия Санкт-Петербургского морского канала D-85мм ;  ;  ; Br ; VF-XF ; 38 ; konstk2 ; 17000 
 106 ; Медаль Основание Биржи в Санкт-Петербурге 1805г. Гравер К. Леберехт. D-52мм. М-51,6г ;  ;  ; Cu ; VF+ ; 26 ; gelo ; 21000 
 107 ; Медаль "3-я годовщина Великой Октябрьской социалистической революции" D-35,8мм ;  ;  ; Ag ; VF ; 50 ; Продано в зале ; 23000 
 108 ; Владимир Биткин. Сводный каталог монет России. Часть I (1699-1740гг) и часть II (1740-1917гг). Киев 2003г. ;  ;  ;  ;  ; 48 ; Продано в зале ; 26000 
 109 ; С.П. Соколов. Сводный каталог русских медалей 1462-1762гг. Киев 2005г. ;  ;  ;  ;  ; 28 ; Продано в зале ; 7000 
 51 ; 2 копейки ; 1778 ; КМ "Сибирь" ; Cu ; VF ; 31 ; Vagin ; 3574 
 52 ; 2 копейки. Капсула ; 1798 ; ЕМ ; Cu ;  ; 25 ; Andre2007 ; 1663 
 53 ; 2 копейки ; 1801 ; ЕМ ; Cu ; VF+ ; 33 ; Fortyna 12 ; 816 
 54 ; 2 копейки (Ильин-1р) ; 1810 ; КМ ПБ ; Cu ; XF- ; 65 ; Продано в зале ; 6500 
 55 ; 2 копейки ; 1810 ; КМ ; Cu ; XF- ; 21 ; Valera G ; 3000 
 56 ; 2 копейки (Петров-10руб, Ильин-5р) ; 1814 ; ИМ ; Cu ; VF- ; 60 ; Kupferberg ; 9077 
 57 ; 2 копейки ; 1815 ; КМ АМ ; Cu ; XF ; 46 ; vit2503 ; 1300 
 58 ; 2 копейки ; 1820 ; КМ АД ; Cu ; XF ; 48 ; sheriff 0 ; 1200 
 59 ; 2 копейки ; 1828 ; КМ АМ ; Cu ; XF ; 63 ; sheriff 0 ; 2542 
 60 ; 2 копейки (Ильин-1р) ; 1835 ; СМ ; Cu ; VF-XF ; 14 ; vit2503 ; 3200 
 61 ; 2 копейки (Ильин-1р) ; 1839 ; СМ ; Cu ; XF- ; 24 ; Продано в зале ; 4600 
