 201 ; Георгиевский крест IV степени. Частная чеканка. Р-ры: 40х34мм ; 1856-1913 ; Георгия IV ст. ; Ag ; XF ; 20 ; daniz ; 10000 
 202 ; Георгиевский крест IV ст. №1286958. Санкт-Петербургский монетный двор. Р-ры: 42х34мм ; 1916 ;  ; б.м. ; AU/XF ; 45 ; Участник № 2 ; 15500 
 203 ; Медаль "За Турецкую войну 1877-1878 гг". СПБ мон. двор. D-26мм ; 1878 ;  ; Ag ; VF+ ; 13 ; smirnoff ; 7140 
 204 ; Медаль "За Турецкую войну 1877-1878 гг". СПБ мон. двор. D-26мм ; 1878 ;  ; Светлая Br ; VF+ ; 6 ; smirnoff ; 4200 
 205 ; Медаль "За Турецкую войну 1877-1878 гг". СПБ мон. двор. D-26мм ; 1878 ;  ; Темная Br ; AU ; 7 ; Участник № 1385 ; 6000 
 206 ; Медаль за Крымскую войну (1853-1856). Санкт-Петербургский Монетный двор. D-28мм ;  ;  ; Br ; VF+ ; 5 ; hugo ; 3060 
 207 ; Георгиевская медаль "За храбрость"  IV ст. № 500800. Санкт-Петербургский Монетный двор. D-28мм. На оригинальной ленте ; I МВ ;  ; Ag ; XF ; 19 ; Участник № 2 ; 8000 
 208 ; Медаль "За усердие". Санкт-Петербургский Монетный двор. D-30мм ;  ;  ; Ag ; VF-XF ; 7 ; Участник № 462 ; 5600 
 209 ; Медаль "За Русско - Японскую войну 1904-1905 гг". СПБ мон. двор. D-28мм ; 1905 ;  ; Темная Br ; XF+ ; 5 ; 0987654321 ; 3600 
 210 ; Наградная колодка из 3-ех медалей: Медаль за труды по первой всеобщей переписи населения в 1897г. СПМД, Медаль в память 25-летия Церковно-Приходских школ (1884-1909). Частная чеканка (клейма на ушке), Медаль в память 300-летия Дома Романовых. Частн. Чек-к ;  ;  ; Ag,Cu ; XF+ ; 26 ; shurawi ; 13600 
 211 ; Знак "За окончание Чугуевского военного училища". Размеры: 46 на 46мм. Фирма "Кортман". Клейма: пробирное в овальном щитке "84" женская голова вправо и альфа, мастера "КП". №730 ;  ;  ; Ag84,поз,э ; VF+ ; 33 ; Участник № 2 ; 14000 
 212 ; Лента наградная на головной убор "За Горный Дубняк 12 октября 1877 года" ;  ;  ; Латунь ; VF ; 20 ; Ohotnik ; 4080 
 213 ; Лента наградная на головной убор "За Телиш 12 октября 1877 года" ;  ;  ; Латунь ; VF ; 4 ; Ohotnik ; 3060 
 214 ; Лента наградная на головной убор "За Араб-Конак 21 ноября 1877 года" ;  ;  ; Латунь ; XF+ ; 16 ; Участник № 2 ; 5200 
 215 ; Лента наградная на головной убор "За Шипку в 1877 года" ;  ;  ; Латунь ; VF-XF ; 10 ; Ohotnik ; 3570 
 216 ; Лента наградная на головной убор "За Филиппополь 4 января 1878 года". Ремонт ;  ;  ; Латунь,сер ; VF ; 6 ; Ohotnik ; 3060 
 217 ; Лента наградная на головной убор "За 3,4 и 5 января 1878 года под Филиппополем" ;  ;  ; Латунь ; VF ; 3 ; Ohotnik ; 3060 
 218 ; Медаль на коронование императрицы Анны Иоанновны. D-60мм ; 1730 ;  ; Cu ; AU ; 30 ; Участник № 186 ; 19500 
 219 ; Медаль на сооружение четырех флотов. Р-ры: 42х36мм ; сер XVIII в ;  ; Cu ; AU ; 17 ; Участник № 30 ; 6800 
 220 ; Медаль за морскую победу при Тверемюнде, близ Ганге-Уда (морская победа при Аландских островах). D-51мм ; сер XVIII в ;  ; Cu ; AU ; 19 ; 3458 ; 12467 
 221 ; Медаль на посещение императрицей Марией Федоровны императорской Академии наук (1776-1826). D-42мм ;  ;  ; Cu ; XF ; 13 ; 3458 ; 11000 
 222 ; Медаль. Тройственный союз 1813г. D-65мм ; 1835 ;  ; Cu ; AU/XF ; 27 ; Участник № 132 ; 13000 
 223 ; Медаль от главного управления землеустройства и земледелия. D-65мм ;  ;  ; Cu ; AU/XF ; 7 ; Участник № 132 ; 4600 
 224 ; Медаль от министерства государственных имуществ. За сельскохозяйственные произведения. D-65мм ;  ;  ; Cu ; AU ; 9 ; Участник № 114 ; 5600 
 225 ; 1/4 копейки. В капсуле NGC ; 1885 ; СПБ ; Cu ; MS 63 ; 45 ; Участник № 30 ; 2600 
 226 ; 5 рублей. М-6,45г ; 1889 ; (АГ) АГ ; Au ; XF+ ; 25 ; Сыч ; 25776 
 151 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 24 ; andorf ; 2000 
 152 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; XF/AU ; 21 ; Участник № 1389 ; 1500 
 153 ; 2 копейки ; 1865 ; ЕМ ; Cu ; VF+ ; 29 ; Участник № 1344 ; 950 
 154 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; XF/AU ; 15 ; patriot ; 920 
 155 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 156 ; 10 копеек ; 1872 ; СПБ HI ; Ag ; XF+ ; 4 ; Olimpia ; 600 
 157 ; 5 копеек ; 1873 ; ЕМ ; Cu ; VF-XF ; 12 ; Участник № 114 ; 1100 
 158 ; 15 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 25 ; Участник № 636 ; 1700 
 159 ; 3 копейки ; 1876 ; СПБ ; Cu ; XF- ; 9 ; Участник № 7 ; 1300 
 160 ; 15 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 52 ; Участник № 636 ; 1100 
 161 ; 1/4 копейки (Петров-1р) ; 1881 ; СПБ ; Cu ; AU ; 23 ; Сыч ; 5634 
 162 ; 15 копеек ; 1883 ; СПБ ДС ; Ag ; AU/XF ; 10 ; Участник № 147 ; 1700 
 163 ; Рубль ; 1885 ; СПБ АГ ; Ag ; XF- ; 44 ; Участник № 1739 ; 12000 
 164 ; 15 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 21 ; Участник № 636 ; 21000 
 165 ; 15 копеек ; 1891 ; СПБ АГ ; Ag ; AU/XF ; 5 ; Участник № 636 ; 1400 
 166 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 31 ; Участник № 636 ; 2700 
 167 ; Рубль ; 1894 ; (АГ) ; Ag ; XF- ; 68 ; Участник № 462 ; 24000 
 168 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; XF- ; 59 ; Участник № 7 ; 4800 
 169 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 15 ; зехъ ; 1502 
 170 ; Рубль ; 1896 ; (АГ) ; Ag ; XF+ ; 29 ; Ч.С. ; 2550 
 171 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; VF+ ; 49 ; Участник № 410 ; 64000 
 172 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF ; 17 ; elac ; 5680 
 173 ; 15 копеек ; 1899 ; СПБ АГ ; Ag ; AU ; 36 ; Участник № 30 ; 3400 
 174 ; 2 копейки ; 1899 ; СПБ ; Cu ; XF+ ; 3 ; прага ; 521 
 175 ; 20 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 11 ; Участник № 30 ; 3000 
 176 ; 10 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 11 ; andorf ; 3000 
 177 ; 15 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 4 ; Olimpia ; 1500 
 178 ; 15 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 25 ; elac ; 2685 
 179 ; 2 копейки ; 1903 ; СПБ ; Cu ; XF ; 64 ; Участник № 7 ; 250 
 180 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 20 ; Участник № 147 ; 2000 
 181 ; 15 копеек ; 1905 ; СПБ АР ; Ag ; XF/AU ; 34 ; Участник № 636 ; 950 
 182 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 45 ; Участник № 147 ; 2700 
 183 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 55 ; Участник № 1389 ; 700 
 184 ; 20 копеек. Фальшивая монета для обращения ; 1907 ; СПБ ЭБ ; Ж/м, посер ; VF+ ; 34 ; Fedor_K ; 1532 
 185 ; Полтина ; 1909 ; (ЭБ) АГ ; Ag ; VF-XF ; 70 ; Участник № 917 ; 7800 
 186 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF+ ; 28 ; elac ; 4092 
 187 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 32 ; БИН ; 8100 
 188 ; Полтина ; 1912 ; (ЭБ) АГ ; Ag ; AU ; 17 ; ААФ ; 2001 
 189 ; Полтина ; 1913 ; (ВС) АГ ; Ag ; AU ; 20 ; Участник № 147 ; 2600 
 190 ; Рубль ; 1914 ; (ВС) ; Ag ; AU ; 49 ; int1965708 ; 34000 
 191 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU ; 34 ; elac ; 7140 
 192 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF+ ; 93 ; Участник № 147 ; 6400 
 193 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU ; 17 ; Участник № 30 ; 7200 
 194 ; 5 копеек ; 1916 ;  ; Cu ; VF+ ; 56 ; int1965708 ; 16000 
 195 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; AU/XF ; 32 ; Участник № 30 ; 3700 
 196 ; 2 копейки. М-1,70гр ; 1991 ; В белом металле ; Б/м ; AU ; 52 ; Участник № 30 ; 13000 
 197 ; Георгиевский крест II ст. №84507. Санкт-Петербургский Монетный двор. Р-ры: 34х34мм ; 1916 ;  ; ж.м. ; XF+ ; 52 ; Участник № 2 ; 42000 
 198 ; Георгиевский крест III ст. №1157. Санкт-Петербургский Монетный двор. Р-ры: 34х34мм ; I МВ ;  ; Ag ; VF+ ; 41 ; Участник № 2 ; 36000 
