 102 ; Денга ; 1700 ;  ; Cu ; VF ; 17 ; Продано в зале ; 3200 
 103 ; Денга (Петров-4р, Ильин-5р) ; 1774 ; ЕМ ; Cu ; F-VF ; 55 ; Стевиа ; 7200 
 104 ; Деньга ; 1797 ; АМ ; Cu ; VF ; 20 ; Продано в зале ; 1200 
 105 ; Денежка ; 1861 ; ВМ ; Cu ; XF ; 15 ; Продано в зале ; 5600 
 106 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; AU ; 19 ; Продано в зале ; 2000 
 107 ; Полушка. Брак чеканки ; 1735 ; Орёл 1735 г. ; Cu ; VF ; 11 ; Продано в зале ; 350 
 108 ; Полушка (Петров-2,5р, Ильин-3р) ; 1784 ; КМ ; Cu ; VF- ; 26 ; Продано в зале ; 2600 
 109 ; Полушка (Петров-2,5р, Ильин-3р) ; 1785 ; КМ ; Cu ; VF ; 30 ; Продано в зале ; 2200 
 110 ; Полушка (Петров-2,25р, Ильин-4р) ; 1793 ; КМ ; Cu ; VF ; 29 ; лена ; 1023 
 111 ; Полушка ; 1804 ; КМ ; Cu ; F-VF ; 23 ; Продано в зале ; 7800 
 112 ; 10 пенни ; 1866 ; Финляндия ; Cu ; VF-XF ; 11 ; alex550 ; 1000 
 113 ; 1 пенни ; 1864 ; Финляндия ; Cu ; VF ; 39 ; Продано в зале ; 29000 
 114 ; Медаль. М-30,04г. D-35мм ; 1841 ; H.GUBE FECIT На бракосочетание Александра Николаевича ; Ag ; VF-XF ; 44 ; Стевиа ; 69000 
 115 ; Медаль. На коронацию Павла I. СПб монетный двор. Медальер К. Мейснер. D-39мм ;  ;  ; Ag ; VF-XF ; 53 ; Mmm ; 20001 
 116 ; Медаль "За безпорочную службу в полиции". D-36мм ;  ;  ; Ag ; XF ; 32 ; verunk1 ; 26010 
 117 ; Медаль"В память царствования Александра III". D-28мм ;  ;  ; Ag ; AU ; 24 ; dsidorov ; 5103 
 118 ; Жетон за окончание учебного заведения. VI выпуск 1924г ;  ;  ; Ag84 ; XF- ; 11 ; аптекаръ ; 3853 
 119 ; Медаль. В память 100-летия Пажеского корпуса 1802-1902гг (Дворец графа Воронцова, ныне Петербургское СВУ). D-64мм ;  ;  ; Br ; XF- ; 45 ; Стевиа ; 7933 
 120 ; Медаль. "Выставка финской промышленности в Гельсингфорсе. 1876". Медальер Л. Альборн. D-64,5 мм ;  ;  ; Br ; XF ; 33 ; Стевиа ; 5977 
 121 ; Медаль в память взятия Риги в 1710. D-46мм ;  ;  ; Б/м ; XF ; 12 ; Стевиа ; 3682 
 51 ; 1/3 талера ; 1761 ; Для Пруссии ; Ag ; VF+ ; 76 ; Продано в зале ; 19000 
 52 ; 1/6 талера ; 1761 ; Для Пруссии ; Ag ; VF ; 61 ; Bolt ; 16123 
 53 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF+ ; 31 ; arsenich-s ; 7423 
 54 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 55 ; 5 копеек ; 1726 ; МД ; Cu ; VF+ ; 30 ; ВЭБ! ; 11057 
 56 ; 5 копеек ; 1726 ; НД Дата снизу вверх ; Cu ; VF+ ; 17 ; 439 ; 2497 
 57 ; 5 копеек ; 1763 ; ЕМ ; Cu ; VF+ ; 44 ; Продано в зале ; 3800 
 58 ; 5 копеек ; 1765 ; СПМ ; Cu ; VF+ ; 31 ; Абрамзон ; 7242 
 59 ; 5 копеек ; 1766 ; ММ ; Cu ; VF+ ; 27 ; Продано в зале ; 4800 
 60 ; 5 копеек ; 1767 ; ЕМ ; Cu ; VF-XF ; 12 ; Продано в зале ; 650 
 61 ; 5 копеек ; 1768 ; ЕМ ; Cu ; VF-XF ; 17 ; Продано в зале ; 600 
 62 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 24 ; Trien ; 4682 
 63 ; 5 копеек ; 1784 ; КМ ; Cu ; XF- ; 26 ; Продано в зале ; 4800 
 64 ; 5 копеек ; 1785 ; КМ ; Cu ; XF ; 27 ; Продано в зале ; 5000 
 65 ; 5 копеек ; 1786 ; КМ ; Cu ; VF-XF ; 10 ; Продано в зале ; 3800 
 66 ; 5 копеек (Петров-9р, Ильин-10р) ; 1787 ; ТМ ; Cu ; F+ ; 11 ; temir ; 19594 
 67 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 15 ; Продано в зале ; 4600 
 68 ; 5 копеек ; 1788 ; КМ ; Cu ; XF- ; 28 ; Абрамзон ; 8157 
 69 ; 5 копеек ; 1789 ; КМ ; Cu ; XF ; 28 ; Абрамзон ; 11000 
 70 ; 5 копеек ; 1791 ; АМ ; Cu ; XF ; 25 ; Trien ; 2550 
 71 ; 5 копеек ; 1792 ; АМ ; Cu ; XF ; 5 ; arsenich-s ; 1700 
 72 ; 5 копеек. Павловский перечекан ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 13 ; alex550 ; 4800 
 73 ; 5 копеек ; 1794 ; КМ ; Cu ; VF-XF ; 23 ; arsenich-s ; 3400 
 74 ; 5 копеек ; 1795 ; КМ ; Cu ; XF- ; 40 ; Продано в зале ; 5600 
 75 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF ; 27 ; OMT ; 7385 
 76 ; 5 копеек (Ильин-3р) ; 1803 ; ЕМ ; Cu ; VF+ ; 29 ; Продано в зале ; 22000 
 77 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 21 ; OMT ; 10163 
 78 ; 5 копеек ; 1806 ; КМ ; Cu ; XF+ ; 55 ; Абрамзон ; 13329 
 79 ; 5 копеек (Ильин-3р) ; 1808 ; ЕМ ; Cu ; VF+ ; 54 ; лена ; 8491 
 80 ; 5 копеек ; 1859 ; ЕМ ; Cu ; XF- ; 39 ; double ; 2339 
 81 ; 5 копеек ; 1863 ; ЕМ ; Cu ; VF-XF ; 24 ; Продано в зале ; 900 
 82 ; 5 копеек ; 1869 ; ЕМ ; Cu ; VF+ ; 17 ; $$$ ; 1200 
 83 ; 5 копеек ; 1912 ; СПБ ; Cu ; XF ; 49 ; Продано в зале ; 4600 
 84 ; 4 копейки ; 1762 ;  ; Cu ; VF-XF ; 48 ; Продано в зале ; 17500 
 85 ; 3 копейки (Ильин-10р) ; 1840 ; ЕМ ; Cu ; VF- ; 24 ; Kеrshin ; 10500 
 86 ; 3 копейки ; 1859 ; ЕМ ; Cu ; XF- ; 30 ; Продано в зале ; 2400 
 87 ; 2 копейки ; 1774 ; ЕМ ; Cu ; VF-XF ; 17 ; участник 108 ; 3627 
 88 ; 2 копейки ; 1788 ; ММ ; Cu ; VF-XF ; 34 ; Продано в зале ; 2100 
 90 ; 2 копейки (Петров-6р, Ильин-8р) ; 1793 ; АМ ; Cu ; F-VF ; 23 ; Продано в зале ; 10000 
 91 ; 2 копейки. Следы букв под орлом ; 1802 ; ЕМ ; Cu ; VF+ ; 21 ; Продано в зале ; 16500 
 92 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF+ ; 21 ; Продано в зале ; 1400 
 93 ; 2 копейки (Ильин-2р) ; 1855 ; ВМ ; Cu ; VF ; 24 ; double ; 3538 
 94 ; 2 копейки ; 1856 ; ЕМ ; Cu ; XF ; 31 ; Продано в зале ; 5400 
 95 ; Копейка ; 1707 ; МД ; Cu ; VF ; 46 ; serg2010 ; 3043 
