 351 ; Копейка ; 1900 ; СПБ ; Cu ; AU ; 16 ; AVA01 ; 5600 
 352 ; 15 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 24 ; Участник № 1078 ; 12000 
 353 ; 2 копейки ; 1901 ; СПБ ; Cu ; AU ; 13 ; Участник № 148 ; 4000 
 354 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 2 ; okalo ; 505 
 355 ; 3 копейки ; 1902 ; СПБ ; Cu ; XF+ ; 25 ; ZOLTAN333 ; 5307 
 356 ; Копейка ; 1903 ; СПБ ; Cu ; AU ; 9 ; Участник № 148 ; 1000 
 357 ; 10 рублей ; 1904 ; (АР) АГ ; Au ; AU ; 7 ; igors1969 ; 13000 
 358 ; Копейка ; 1904 ; СПБ ; Cu ; AU ; 20 ; overshtag ; 2400 
 359 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 5 ; ZOLTAN333 ; 2040 
 360 ; 3 копейки ; 1905 ; СПБ ; Cu ; AU ; 48 ; HSS ; 31620 
 361 ; Копейка ; 1905 ; СПБ ; Cu ; AU ; 26 ; Участник № 148 ; 2300 
 362 ; Рубль. Редкая датировка ; 1906 ; (ЭБ) ; Ag ; VF ; 13 ; Волк ; 16556 
 363 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 7 ; Участник № 1078 ; 800 
 364 ; Рубль ; 1907 ; (ЭБ) ; Ag ; XF ; 33 ; Kolya-kms ; 7446 
 365 ; 5 рублей ; 1909 ; (ЭБ) ; Au ; AU ; 36 ; AVA01 ; 29478 
 366 ; 5 рублей ; 1910 ; (ЭБ) ; Au ; XF+ ; 31 ; HSS ; 61199 
 367 ; 10 рублей ; 1911 ; (ЭБ) АГ ; Au ; AU ; 15 ; AVA01 ; 24026 
 368 ; 5 копеек ; 1911 ; СПБ ; Cu ; XF+ ; 21 ; kirin ; 1600 
 369 ; Рубль ; 1912 ; На столетие отечественной войн ; Ag ; AU ; 17 ; AAE2006 ; 67626 
 370 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 43 ; Alexdav ; 7293 
 371 ; Полтина ; 1912 ; (ЭБ) АГ ; Ag ; AU ; 7 ; Участник № 147 ; 2600 
 372 ; 5 копеек ; 1912 ; СПБ ; Cu ; XF+ ; 13 ; Участник № 148 ; 3400 
 373 ; Рубль ; 1914 ; (ВС) ; Ag ; XF+ ; 30 ; luda ; 23435 
 374 ; 20 копеек ; 1916 ; ВС ; Ag ; Proof ; 13 ; zerkalozemli ; 18870 
 375 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 22 ; Участник № 132 ; 2100 
 301 ; Полтина ; 1877 ; СПБ HI ; Ag ; AU ; 18 ; Kolya-kms ; 11222 
 302 ; 25 копеек ; 1877 ; СПБ НФ ; Ag ; XF ; 7 ; ААФ ; 1836 
 303 ; 2 копейки ; 1877 ; СПБ ; Cu ; XF- ; 11 ; андрейх ; 2407 
 304 ; 1/2 копейки ; 1877 ; СПБ ; Cu ; VF-XF ; 14 ; андрейх ; 3162 
 305 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF ; 11 ; abakan ; 4590 
 306 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; XF ; 15 ; sem ; 2040 
 307 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 31 ; AVA01 ; 7366 
 308 ; 15 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 19 ; Участник № 42 ; 15000 
 309 ; 5 рублей ; 1879 ; СПБ НФ ; Au ; XF+ ; 13 ; hugo ; 41139 
 310 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU/XF+ ; 11 ; luda ; 1532 
 311 ; 20 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 18 ; luda ; 2267 
 312 ; 15 копеек ; 1881 ; СПБ НФ ; Ag ; AU ; 17 ; Участник № 1078 ; 10000 
 313 ; 1/4 копейки ; 1883 ; СПБ ; Cu ; AU ; 33 ; AVA01 ; 7028 
 314 ; Рубль ; 1884 ; СПБ АГ ; Ag ; XF ; 27 ; Port ; 25502 
 315 ; 20 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 11 ; Участник № 1078 ; 3600 
 316 ; 2 копейки ; 1885 ; СПБ ; Cu ; AU ; 16 ; Участник № 9 ; 2600 
 317 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; AU ; 9 ; luda ; 2703 
 318 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 9 ; 4758 ; 2550 
 319 ; Полтина. Редкая датировка ; 1887 ; (АГ) ; Ag ; VF- ; 26 ; HSS ; 23462 
 320 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; AU ; 13 ; 4758 ; 3060 
 321 ; 20 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 17 ; Участник № 1078 ; 3600 
 322 ; 15 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 18 ; Участник № 1078 ; 4400 
 323 ; 10 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 18 ; okalo ; 2200 
 324 ; Копейка ; 1889 ; СПБ ; Cu ; XF- ; 7 ; luda ; 308 
 325 ; 5 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 14 ; o.k. ; 550 
 326 ; 1/4 копейки ; 1891 ; СПБ ; Cu ; AU ; 18 ; ААФ ; 4079 
 327 ; Рубль ; 1892 ; (АГ) ; Ag ; VF-XF ; 20 ; Mmm ; 9500 
 328 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 19 ; luda ; 1838 
 329 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 8 ; Участник № 1078 ; 3200 
 330 ; 10 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 44 ; андрейх ; 2040 
