 201 ; 10 копеек (Ильин-5р, Петров-5р). Редкая датировка ; 1832 ; СПБ НГ ; Ag ; AU ; 57 ; SSK ; 75000 
 202 ; 3 копейки ; 1840 ; СПМ ; Cu ; VF+ ; 16 ; 439 ; 1777 
 203 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; AU ; 6 ; hugo ; 2552 
 204 ; Рубль ; 1844 ; MW ; Ag ; XF+ ; 61 ; Участник № 147 ; 6500 
 205 ; 20 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 29 ; antiquar ; 46000 
 206 ; 5 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 15 ; 25 ; 5100 
 207 ; Полушка. М-1,82гр ; 1853 ; ЕМ ; Cu ; Unc/AU ; 23 ; 439 ; 6600 
 208 ; Рубль ; 1868 ; СПБ HI ; Ag ; VF-XF ; 45 ; ФВС ; 18754 
 209 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; XF+ ; 14 ; Участник № 147 ; 3000 
 210 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; Unc/AU ; 13 ; SSK ; 3744 
 211 ; 1/2 копейки ; 1886 ; СПБ ; Cu ; Unc/AU ; 34 ; Участник № 147 ; 4200 
 212 ; Рубль ; 1893 ; (АГ) ; Ag ; XF ; 25 ; батя ; 17910 
 213 ; 25 копеек ; 1893 ; (АГ) АГ ; Ag ; AU ; 23 ; hugo ; 31620 
 214 ; Рубль ; 1901 ; (ФЗ) ; Ag ; XF/XF+ ; 76 ; Синоптик ; 9180 
 215 ; Рубль ; 1915 ; (ВС) ; Ag ; XF/AU ; 10 ; laserjet ; 15300 
 151 ; Рубль ; 1898 ; (АГ) ; Ag ; XF+ ; 20 ; Участник № 147 ; 4600 
 152 ; 2 копейки ; 1898 ; СПБ ; Cu ; AU ; 5 ; SSK ; 10000 
 153 ; 2 копейки ; 1899 ; СПБ ; Cu ; AU ; 3 ; Участник № 132 ; 1700 
 154 ; 2 копейки ; 1899 ; СПБ ; Cu ; AU ; 4 ; Участник № 6 ; 2200 
 155 ; 25 копеек ; 1900 ; АГ ; Ag ; VF-XF ; 62 ; laserjet ; 15555 
 156 ; Рубль. Редкие буквы минцмейстера для этого года ; 1901 ; (АР) ; Ag ; VF+ ; 25 ; antiquar ; 4647 
 157 ; Полтина ; 1901 ; (ФЗ) АГ ; Ag ; XF ; 14 ; 462 ; 3264 
 158 ; Полтина. Редкие буквы минцмейстера для этого года ; 1901 ; (АР) АГ ; Ag ; VF+ ; 40 ; Sc ; 34340 
 159 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 59 ; Участник № 1204 ; 1100 
 160 ; 2 копейки ; 1905 ; СПБ ; Cu ; AU ; 10 ; Участник № 523 ; 2800 
 161 ; 2 копейки ; 1908 ; СПБ ; Cu ; AU ; 7 ; Участник № 1362 ; 1900 
 162 ; Полтина ; 1909 ; (ЭБ) АГ ; Ag ; XF- ; 27 ; Sc ; 17850 
 163 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 38 ; Синоптик ; 10000 
 164 ; Рубль ; 1913 ; На 300-летие Дома Романовых ; Ag ; AU ; 14 ; Участник № 147 ; 5500 
 165 ; 3 рубля ; 1918 ; Армавир. Кружок меньше ; Cu ; VF ; 92 ; СВл ; 10199 
 166 ; 5 копеек ; 1922 ; Вторая государственная шорно-ф ; Cu ; XF ; 108 ; Участник № 147 ; 19000 
 167 ; Жетон. Жертвователям на воздушный флот России. Фирма "Эдуард" ;  ;  ; Ag,эмаль ; XF ; 19 ; alexander9595 ; 12592 
 168 ; Жетон "На коронацию Петра II" ; 1728 ;  ; Ag ; XF+ ; 42 ; Участник № 222 ; 36000 
 169 ; Памятный жетон «Мир со Швецией" 3 августа 1790 ;  ;  ; Ag ; XF+ ; 16 ; NLP45 ; 7933 
 170 ; Жетон "На коронацию Николая I" ; 1826 ;  ; Ag ; AU ; 10 ; laserjet ; 5555 
 171 ; Медаль. В память царствования императора Александра III. СПБ монетный двор ; 1894 ;  ; Ag ; XF+ ; 31 ; Danis78 ; 2222 
 172 ; Медаль. За поход в Китай. Николай II. СПБ монетный двор ; 1900-1901 ;  ; Ag ; VF+ ; 17 ; Turandot ; 15000 
 173 ; Медаль Красного креста. В память русско-японской войны. Частная работа ; 1904-1905 ;  ; Ag,эмаль ; XF+ ; 13 ; Kiracoins ; 7500 
 174 ; Медаль. В память 100-летия Отечественной войны. СПБ монетный двор ; 1912 ;  ; Br ; AU ; 19 ; Turandot ; 5668 
 175 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 176 ; Полушка ; 1768 ; ЕМ ; Cu ; VF+ ; 29 ; Лесовичок ; 1000 
 177 ; 5 копеек (Петров-2,5р, Ильин-2р) ; 1806 ; КМ ; Cu ; VF+ ; 35 ; Лесовичок ; 5865 
 178 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; XF+ ; 11 ; Олег2401 ; 1020 
 179 ; 2 копейки ; 1824 ; КМ АМ ; Cu ; XF+ ; 13 ; Глол ; 4015 
 180 ; 5 копеек ; 1838 ; ЕМ НА ; Cu ; AU/XF ; 48 ; Участник № 51 ; 5500 
 181 ; 20 копеек ; 1852 ; СПБ ПА ; Ag ; AU ; 57 ; antiquar ; 9000 
 182 ; 5 копеек ; 1864 ; ЕМ ; Cu ; XF ; 70 ; Участник № 1362 ; 3800 
 183 ; 5 копеек ; 1867 ; СПБ ; Cu ; XF ; 54 ; Участник № 114 ; 4800 
 184 ; 10 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 7 ; ravs ; 2112 
 185 ; 1/2 копейки ; 1873 ; ЕМ ; Cu ; AU ; 51 ; Sc ; 5000 
 186 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 6 ; Участник № 42 ; 2000 
 187 ; Алтын ; 1704 ; БК ; Ag ; XF- ; 17 ; Участник № 1168 ; 9500 
 188 ; Полушка ; 1707 ;  ; Cu ; VF+ ; 42 ; SSK ; 5050 
 189 ; Денга (Ильин-1р) ; 1708 ;  ; Cu ; VF+ ; 29 ; 155оа ; 8800 
 190 ; Полушка ("ВР "корона" П", Петров-1р) ; 1719 ;  ; Cu ; AU ; 34 ; Участник № 584 ; 12000 
 191 ; Рубль ; 1738 ;  ; Ag ; AU ; 26 ; 25 ; 65000 
 192 ; Полуполтинник ; 1747 ; ММД ; Ag ; XF+ ; 30 ; hugo ; 8164 
 193 ; Рубль ; 1763 ; СПБ НК TI ; Ag ; AU ; 24 ; Участник № 1168 ; 28000 
 194 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF- ; 64 ; Сыч ; 19652 
 195 ; 2 копейки ; 1793 ; Е- М Павл.перечекан ; Cu ; VF ; 20 ; Участник № 523 ; 3400 
 196 ; 5 копеек ; 1795 ; АМ ; Cu ; XF+ ; 19 ; Sokol1 ; 5000 
 197 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; XF/AU ; 19 ; 155оа ; 15300 
 198 ; 5 копеек (Петров-3р, Ильин-2р) ; 1807 ; КМ ; Cu ; VF+ ; 9 ; SSK ; 4398 
 199 ; 5 копеек (Ильин-3р) ; 1808 ; ЕМ ; Cu ; XF+ ; 35 ; Участник № 1204 ; 12000 
 200 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; XF+ ; 29 ; hugo ; 4080 
 101 ; 3 копейки ; 1856 ; ВМ ; Cu ; VF+ ; 23 ; toto ; 7926 
 102 ; 2 копейки (Ильин-2р) ; 1856 ; ВМ ; Cu ; VF-XF ; 9 ; Глол ; 12465 
 103 ; Полушка ; 1856 ; ЕМ ; Cu ; XF/AU ; 33 ; SSK ; 2111 
 104 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; VF-XF ; 5 ; laserjet ; 5102 
 105 ; Полушка ; 1857 ; ЕМ ; Cu ; XF+ ; 20 ; ААФ ; 1554 
