 151 ; Медаль за Восточную войну (1853-1856). Санкт-Петербургский монетный двор. D-28мм ;  ;  ; светлая Br ; AU/XF ; 20 ; Участник № 462 ; 4500 
 152 ; Медаль "За храбрость". Имп. Николай II. D-30мм ;  ;  ; Б/м ; XF/AU ; 26 ; gelo ; 5491 
 153 ; Георгиевская медаль III ст. № 278166. Петроградский монетный двор.D-28мм ; 1917 ;  ; Б/м ; AU ; 17 ; hugo ; 15073 
 154 ; Георгиевская медаль IV ст. № 1325178. Петроградский монетный двор. D-28мм ; 1917 ;  ; Б/м ; AU ; 35 ; Участник № 30 ; 16000 
 155 ; Знак об окончании морского кадетского корпуса в Санкт-Петербурге. Фирма "Кортман". Р-ры: 55х35мм ;  ;  ; Br,Зол,сер ; AU ; 15 ; Участник № 2 ; 52000 
 156 ; Жетон Алексеевского военного училища (1864-1886) 18971906. Р-ры: 40х27мм ;  ;  ; Ag,эмаль ; XF ; 25 ; Участник № 2 ; 14000 
 157 ; Жетон. Р.О.М.З. Гартмана Н. Стрельцев. 1000 (1900-1906). Р-ры: 30х23мм ;  ;  ; Ag ; XF+ ; 51 ; Участник № 30 ; 5500 
 158 ; Жетон. XXV О.П.П.Д.О.С.И.В.В.О (1889-1914). 1-ый мачевариановский юбилейный жетон. Р-ры: 37х27 ;  ;  ; Ag, эмаль ; AU/XF ; 9 ; hugo ; 4998 
 159 ; Жетон ER. 1914г. Р-ры: 45х21мм ;  ;  ; Ag, эмаль ; AU ; 5 ; hugo ; 4080 
 160 ; Жетон. И.И. Языкову. 12г. 1916. Р-ры: 24х11мм ;  ;  ; Ag?,эмаль ; XF+ ; 5 ; hugo ; 3060 
 161 ; Жетон. Счетоводные курсы М.В. Побединскаго. Петроград. Е. А. Добровольской 19.2/II.17. Р-ры: 33х26мм ;  ;  ; Ag?, позол ; AU ; 9 ; kont ; 7933 
 162 ; Жетон. 37 XCVI. Н. Zuniowna S.C. Р-ры: 32х18мм ;  ;  ; Ag,эмаль ; XF+ ; 7 ; hugo ; 4998 
 163 ; Жетон. Ляндзберг Б. 1926-27. 162 СТШ. Р-ры: 40х25мм ;  ;  ; Ag ; AU ; 8 ; al69 ; 5100 
 164 ; Жетон. III выпуск А.Н. Жуковой ФЗУ школа при фабрике "Красное Знамя" 1927г. Р-ры: 39х27мм ;  ;  ; Ag, эмаль ; XF+ ; 30 ; al69 ; 9395 
