 101 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 25 ; verunk1 ; 2700 
 102 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 31 ; verunk1 ; 2600 
 103 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 20 ; DennisG ; 1247 
 104 ; 1/4 копейки ; 1910 ; СПБ ; Cu ; AU ; 41 ; якши37 ; 3051 
 105 ; Рубль ; 1915 ; (ВС) ; Ag ; XF+ ; 38 ; ZOLTAN333 ; 18881 
 106 ; 5 копеек ; 1916 ;  ; Cu ; VF ; 85 ; iprit ; 8200 
 107 ; Знак ордена Св. Анны III ст. Выдача из Капитула. Фирма "Эдуард". Р-ры: 36х36мм ; 1815-1916 ;  ; Au,эмаль ; XF ; 33 ; нумизмат ; 46002 
 108 ; Георгиевский крест III ст. №178674. Р-ры: 34 на 34мм ; 1914-1915 ;  ; Ag ; XF- ; 33 ; Mmm ; 16301 
 109 ; Медаль "За усердие". Имп. Николай I. D-29мм. М-13,68гр ;  ;  ; Ag ; XF- ; 13 ; Продано в зале ; 23000 
 110 ; Георгиевская медаль IV степени № 51517. D-28мм ;  ;  ; Ag ; VF+ ; 9 ; magnet8 ; 5080 
 111 ; Медаль "За безпорочную службу в полиции". D-36мм ;  ;  ; Ag ; XF ; 7 ; Продано в зале ; 25000 
 112 ; Медаль. В память царствования Александра III 1881-1894гг. D-28мм ; 1894 ;  ; Ag ; XF+ ; 17 ; qwe1000 ; 3300 
 113 ; Жетон. В память 50-летнего юбилея императорского Санкт-Петербургского общества поощрения рысистского коннозаводства. D-27мм ;  ;  ; Ж/м, серебр ; XF ; 43 ; якши37 ; 2973 
 114 ; Медаль. За полезное. Имп. Александр I. D-65мм ;  ;  ; Ж/м ; VF+ ; 19 ; Продано в зале ; 14000 
 115 ; Медаль. Московская политехническая выставка 1872г. Признательное императорское общество любителей естествознаний при Московских университетах. D-45мм ;  ;  ; Ж/м ; AU ; 11 ; Продано в зале ; 4800 
 116 ; Медаль. Августейшему покровителю Академии Наук (1826-1876). Имп. Александр II. D-43мм ;  ;  ; Ж/м ; AU ; 23 ; Продано в зале ; 16000 
 117 ; Медаль. 50-летие мещанского училища (1835-1885). Учрежденного Московским купеческим обществом в память совершеннолетия цесаревича Александра Николаевича. D-95мм ;  ;  ; Ж/м ; XF ; 29 ; Продано в зале ; 20000 
 118 ; Медаль. За трудолюбие и искусство от министерства финансов. Имп. Николай II. D-50мм ;  ;  ; Ж/м ; XF ; 15 ; verunk1 ; 6120 
 119 ; Медаль. Всероссийская промышленная и художественная выставка. Нижний Новгород 1896г. D-52мм ;  ;  ; Ж/м ; XF- ; 15 ; Продано в зале ; 3800 
 120 ; Медаль за полевой труд. От полубояриновского сельско-хозяйственного общества Самарского УВЗ. D-50мм ;  ;  ; Ж/м ; AU ; 13 ; Продано в зале ; 11000 
 51 ; 5 копеек ; 1836 ; ЕМ ФХ ; Cu ; XF- ; 33 ; taa ; 2343 
 52 ; 5 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 39 ; Продано в зале ; 7500 
 53 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF+ ; 53 ; Продано в зале ; 8400 
 54 ; 2 копейки ; 1842 ; ЕМ ; Cu ; VF+ ; 13 ; Продано в зале ; 420 
