 101 ; 5 копеек ; 1785 ; КМ ; Cu ; XF- ; 34 ; птичкин ; 4040 
 102 ; 5 копеек ; 1790 ; КМ ; Cu ; XF- ; 22 ; Алексей Викторович ; 4221 
 103 ; 5 копеек ; 1791 ; КМ ; Cu ; VF-XF ; 31 ; Mac. ; 3546 
 104 ; 5 копеек ; 1792 ; АМ ; Cu ; XF- ; 33 ; Isay ; 2756 
 105 ; 5 копеек (Ильин - 20 р.) ; 1794 ; АМ Павл.перечекан ; Cu ; F+ ; 26 ; rеryn ; 10314 
 106 ; 5 копеек (Петров-10р, Ильин-15р) ; 1794 ; ЕМ Павл.перечекан ; Cu ; F ; 28 ; Продано в зале ; 17000 
 107 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; XF+ ; 50 ; Алексей Викторович ; 9500 
 108 ; 5 копеек ; 1834 ; ЕМ ; Cu ; AU ; 40 ; Алексей Викторович ; 38000 
 109 ; 5 копеек ; 1868 ; ЕМ ; Cu ; XF/XF- ; 41 ; OMT ; 4529 
 110 ; 3 копейки ; 1840 ; ЕМ ; Cu ; VF+ ; 45 ; Xxzx ; 2023 
 111 ; 3 копейки ; 1841 ; ЕМ ; Cu ; VF-XF ; 54 ; OMT ; 8048 
 112 ; 2 копейки ; 1766 ; ММ ; Cu ; VF+ ; 19 ; Продано в зале ; 950 
 113 ; 2 копейки ; 1768 ; КМ "Сибирь" ; Cu ; VF+ ; 13 ; Продано в зале ; 2000 
 114 ; 2 копейки ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 23 ; igor_r65 ; 1801 
 115 ; 2 копейки ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 37 ; Isay ; 2039 
 116 ; 2 копейки ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 31 ; taa ; 2729 
 117 ; 2 копейки ; 1801 ; КМ ; Cu ; VF+ ; 35 ; 222211 ; 4437 
 118 ; 2 копейки ; 1845 ; СМ ; Cu ; AU ; 40 ; Продано в зале ; 52000 
 119 ; Копейка ; 1714 ; НД ; Cu ; VF+ ; 43 ; 67 ; 5541 
 120 ; Копейка ; 1715 ; НД ; Cu ; VF ; 21 ; ф-а-и-69 ; 4386 
 121 ; Копейка ; 1716 ; МД ; Cu ; VF- ; 20 ; Isay ; 4182 
 122 ; Копейка ; 1728 ;  ; Cu ; VF-XF ; 50 ; Продано в зале ; 5000 
 123 ; Копейка ; 1805 ; ЕМ ; Cu ; F-VF ; 30 ; лена ; 7240 
 124 ; Деньга (Петров-5р, Ильин-3р) ; 1812 ; КМ АМ ; Cu ; VF- ; 43 ; Продано в зале ; 3700 
 125 ; Деньга (Петров-2,5р, Ильин-3р) ; 1804 ; КМ ; Cu ; F-VF ; 51 ; Продано в зале ; 6500 
 126 ; Полушка ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 16 ; Продано в зале ; 3000 
 127 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 38 ; Sky2 ; 2928 
