 151 ; Знак Депутат Вс Аз.ССР 1 созыв №52 ; 1938 ;  ; Ag ; XF- ; 40 ; Lisik ; 30000 
 101 ; 5 копеек ; 1769 ; ЕМ ; Cu ; VF+ ; 49 ; 3273 ; 2316 
 102 ; 5 копеек ; 1785 ; КМ ; Cu ; XF ; 39 ; Продано в зале ; 3200 
 103 ; 5 копеек.(Петров-1р) ; 1788 ; СПМ ; Cu ; VF+ ; 5 ; Продано в зале ; 2800 
 104 ; 5 копеек (Петров-10р, Ильин-10р) ; 1788 ; ТМ ; Cu ; VF- ; 29 ; Продано в зале ; 19000 
 105 ; 5 копеек ; 1794 ; ЕМ ; Cu ; XF ; 55 ; Andr89 ; 3009 
 106 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF- ; 47 ; Продано в зале ; 5500 
 107 ; 5 копеек (Петров-2р, Ильин-1р) ; 1802 ; КМ ; Cu ; VF-XF ; 30 ; Гоюнли ; 5690 
 108 ; 5 копеек ; 1805 ; КМ ; Cu ; XF- ; 24 ; вист ; 6200 
 109 ; 5 копеек (Ильин-1р) ; 1834 ; СМ ; Cu ; XF ; 36 ; Продано в зале ; 7200 
 110 ; 2 копейки ; 1757 ; Надп.сверху ; Cu ; XF+ ; 44 ; Продано в зале ; 22000 
 111 ; 2 копейки ; 1788 ; ММ ; Cu ; VF+ ; 21 ; Продано в зале ; 3200 
 112 ; 2 копейки ; 1838 ; ЕМ НА ; Cu ; XF- ; 28 ; lopin ; 9500 
 113 ; Копейка ; 1705 ; МД ; Cu ; VF- ; 40 ; Волк ; 5950 
 114 ; Копейка ; 1706 ; БК ; Cu ; VF- ; 58 ; Продано в зале ; 7500 
 115 ; Копейка ; 1707 ; МД ; Cu ; VF ; 5 ; Брат ; 3366 
 116 ; Копейка ; 1805 ; ЕМ ; Cu ; VF ; 39 ; ct200h ; 19614 
 117 ; Копейка ; 1830 ; ЕМ ИК ; Cu ; XF+ ; 31 ; AVA01 ; 3200 
 118 ; Денга ; 1707 ;  ; Cu ; VF ; 34 ; нумизмат ; 7144 
 119 ; Денежка ; 1866 ; ЕМ ; Cu ; VF+ ; 12 ; Продано в зале ; 4000 
