 101 ; 2 копейки ; 1858 ; ЕМ ; Cu ; VF-XF ; 15 ; Продано в зале ; 1800 
 102 ; 2 копейки ; 1863 ; ЕМ ; Cu ; XF- ; 17 ; Продано в зале ; 3200 
 103 ; Копейка ; 1713 ; НД ; Cu ; VF ; 29 ; leo 2 ; 1734 
 104 ; Копейка ; 1714 ; НД ; Cu ; VF ; 6 ; Продано в зале ; 1200 
 105 ; Копейка ; 1715 ; НД ; Cu ; VF- ; 13 ; Продано в зале ; 1100 
 106 ; Копейка ; 1776 ; КМ "Сибирь" ; Cu ; VF ; 26 ; Продано в зале ; 5000 
 107 ; Копейка ; 1790 ; ЕМ ; Cu ; VF+/VF ; 21 ; Продано в зале ; 7500 
 108 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 27 ; Илья Владимирович ; 2170 
 109 ; Копейка ; 1869 ; СПБ ; Cu ; XF+ ; 33 ; васо ; 6197 
 110 ; Копейка ; 1893 ; СПБ ; Cu ; AU ; 21 ; Продано в зале ; 2800 
 111 ; Денга ; 1731 ;  ; Cu ; VF+ ; 8 ; Продано в зале ; 1800 
 112 ; Денга ; 1795 ; ЕМ ; Cu ; VF+ ; 23 ; котик ; 1500 
 113 ; Деньга (Ильин - 3р) ; 1798 ; КМ ; Cu ; VF ; 33 ; Продано в зале ; 11000 
 114 ; Деньга. Новодел ; 1802 ; КМ ; Cu ; AU ; 47 ; Продано в зале ; 40000 
 115 ; Деньга ; 1825 ; ЕМ ИК ; Cu ; VF ; 9 ; Продано в зале ; 1200 
 116 ; 1/2 копейки ; 1840 ; СПМ ; Cu ; XF- ; 20 ; Продано в зале ; 3200 
 117 ; 1/2 копейки ; 1842 ; СПМ ; Cu ; XF ; 22 ; баклан ; 1377 
 118 ; Денежка ; 1851 ; ЕМ ; Cu ; XF- ; 43 ; double ; 1145 
 119 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 17 ; баклан ; 2454 
 120 ; Полушка (Ильин - 5р) ; 1745 ; Орёл 1744 г. ; Cu ; F-VF ; 11 ; Брат ; 5788 
 121 ; Полушка. В капсуле PCGS ; 1757 ; Новодел ; Cu ; UNC Details ; 15 ; Продано в зале ; 24000 
 122 ; 1/4 копейки ; 1841 ; СПМ ; Cu ; XF- ; 27 ; Sky2 ; 722 
 123 ; Полушка ; 1850 ; ЕМ ; Cu ; XF+ ; 40 ; баклан ; 3162 
 124 ; Полушка ; 1851 ; ЕМ ; Cu ; AU ; 28 ; СВИ ; 2600 
 125 ; 1/4 копейки ; 1893 ; СПБ ; Cu ; XF+ ; 17 ; Продано в зале ; 2600 
 126 ; 5 копеек. Крым. Хан Шахин-Гирей. 5й год правления ; 1191(1777) ;  ; Cu ; F+ ; 19 ; Продано в зале ; 8500 
 127 ; Знак ; после 1916 ; Георгия IV ст. ; Br ; XF ; 29 ; Продано в зале ; 56000 
 128 ; Медаль. За усердие. D - 28mm ;  ;  ; Ag ; AU/XF ; 14 ; Продано в зале ; 6000 
 129 ; Медаль. На коронацию Николая I. D - 22mm ; 1826 ;  ; Ag ; XF+ ; 51 ; ZOLTAN333 ; 8160 
 130 ; 7руб.50 коп. В капсуле NGC ; 1897 ; (АГ) ; Au ; AU58 ; 19 ; Питер ; 47755 
 131 ; 5 рублей. М-6,54г ; 1834 ; СПБ ПД ; Au ; XF ; 23 ; Продано в зале ; 38000 
 132 ; 5 рублей. М - 6,54 г ; 1877 ; СПБ НI ; Au ; XF ; 7 ; Продано в зале ; 36000 
 133 ; 5 рублей. В капсуле NGC ; 1903 ; (АР) ; Au ; MS65 ; 23 ; sheff78 ; 15918 
 134 ; 5 рублей. В капсуле NGC ; 1904 ; (АР) ; Au ; MS66 ; 34 ; sheff78 ; 18200 
 135 ; Рубль ; 1914 ; (ВС) ; Ag ; XF ; 45 ; sotnik ; 34806 
 51 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 20 ; tisa66 ; 1734 
 52 ; 10 копеек ; 1870 ; СПБ HI ; Ag ; XF+ ; 7 ; сr00 ; 1300 
 53 ; 10 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 27 ; баклан ; 2506 
 54 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 18 ; ZOLTAN333 ; 2431 
 55 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 10 ; Продано в зале ; 3400 
 56 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 19 ; Krot111 ; 4000 
 57 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 16 ; fgd ; 2466 
 58 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF+ ; 38 ; Продано в зале ; 23000 
 59 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 35 ; sm123 ; 11000 
 60 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 30 ; sm123 ; 25500 
 61 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 20 ; 439 ; 9066 
 62 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 19 ; Продано в зале ; 6000 
 63 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF- ; 9 ; Продано в зале ; 8500 
