 101 ; 2 копейки ; 1797 ;  ; Cu ; VF-XF ; 22 ; taa ; 14280 
 102 ; 2 копейки ; 1797 ; АМ ; Cu ; VF-XF ; 54 ; ккк ; 2149 
 103 ; 2 копейки. В капсуле NGC. MS63BN ; 1812 ; ИМ ПС ; Cu ;  ; 77 ; vsevolod ; 13000 
 104 ; 2 копейки ; 1841 ; СПМ ; Cu ; XF ; 78 ; нумизмат ; 9000 
 105 ; 2 копейки ; 1852 ; ЕМ ; Cu ; VF-XF ; 57 ; fgd ; 4507 
 106 ; 2 копейки ; 1865 ; ЕМ ; Cu ; VF-XF ; 44 ; Sky2 ; 1102 
 107 ; 2 копейки ; 1884 ; СПБ ; Cu ; XF ; 55 ; Arte ; 4418 
 108 ; 2 копейки ; 1886 ; СПБ ; Cu ; XF- ; 19 ; Продано в зале ; 8000 
 109 ; 2 копейки ; 1889 ; СПБ ; Cu ; XF- ; 45 ; sdv75-2010 ; 2268 
 110 ; Копейка (Ильин - 15 р., Петров - 10 р.) ; 1717 ; НД ; Cu ; F/VG ; 35 ; Продано в зале ; 13000 
 111 ; Копейка ; 1763 ; ММ ; Cu ; VF ; 22 ; AG ; 3091 
 112 ; 1 копейка. Петербургский тип вензиля без букв ; 1790 ; ЕМ ; Cu ; VG ; 26 ; Продано в зале ; 37000 
 113 ; Копейка В капсуле ННР AU 55 ; 1799 ; ЕМ ; Cu ;  ; 47 ; ккк ; 2646 
 114 ; Копейка ; 1886 ; СПБ ; Cu ; AU ; 68 ; Продано в зале ; 24000 
 115 ; Копейка ; 1903 ; СПБ ; Cu ; AU ; 19 ; sheff78 ; 5000 
 116 ; Деньга ; 1828 ; ЕМ ИК ; Cu ; VF-XF ; 5 ; Продано в зале ; 3600 
 117 ; Полушка ; 1797 ; АМ ; Cu ; VF+ ; 45 ; Продано в зале ; 6000 
 118 ; 10 пенни ; 1876 ; Финляндия ; Cu ; XF- ; 23 ; Продано в зале ; 4200 
 119 ; 1 пенни ; 1888 ; Финляндия ; Cu ; AU ; 59 ; fgd ; 1016 
 120 ; 2 копейки. Гладкий гурт ; 1991 ; В белом металле ;  ; AU ; 23 ; Продано в зале ; 25000 
 121 ; Звезда ордена Св. Станислава. Р-ры: 90х90мм. Клейма на о/с фирма "Эдуард" пробирные 84, в овальном круге "84", мастера неразборчиво. М-54,3г ; 1831-1855 ; Станислава ; Ag,эмаль ; AU ; 30 ; Продано в зале ; 105000 
 122 ; Знак ордена Св. Станислава II ст. Р-ры: 52х48мм. Клейма на о/с на ушке "56", мастера неразборчиво, фирма "Эдуард". М-17,795г ; 1855-1916 ;  ; Au,эмаль ; AU ; 34 ; ZOLTAN333 ; 105849 
 123 ; Миниатюрная наградная колодка из 3-х наград: "Орден Вазы. Швеция", "Орден Святой Анны. Российская империя", "Орден Короны. Бельгия". ;  ;  ; Au,эмаль ; AU ; 100 ; sax ; 33444 
 124 ; Миниатюрный знак об окончании немедицинских учебных заведений ;  ;  ; Ag ; XF- ; 48 ; Продано в зале ; 5000 
 125 ; Медаль на открытие памятника Александру I в 1834 году. Медальер К.П.Уточкин. D - 50mm ;  ;  ; Br ; VF-XF ; 90 ; AG ; 18000 
 126 ; Медаль 200 лет со дня рождения Петра I 1672-1872. Гравер В. Баранов. D-62 мм ;  ;  ; Br ; XF+ ; 82 ; Продано в зале ; 12000 
 127 ; Медаль. Победоносной российской императорской гвардии. 18 августа 1834. На открытие в Петербурге при Нарвской заставе Триумфальных ворот. D - 64mm ;  ;  ; Br ; XF- ; 69 ; Продано в зале ; 17000 
 128 ; Медаль. Битва при Лейпциге. Родомысл девятнадцатого века. Съ медал. Г. Толс. Р.А.Лялинъ 1835. - 1813. D - 64mm ;  ;  ; Br ; XF+ ; 61 ; vlad77 ; 18000 
 129 ; Медаль. На коронацию императора Александра II. D - 64mm ; 1856 ;  ; Br ; XF+ ; 43 ; Продано в зале ; 28000 
 130 ; Медаль. В память открытия памятника Императору Александру II в Москве. D -78mm ; 1898 ;  ; Br ; XF- ; 58 ; Продано в зале ; 11000 
 131 ; Медаль. Император Петр I. 200 лет Полтавской битве. Медальер А.Васютинский. D - 78mm ; 1909 ;  ; Br ; XF ; 53 ; Продано в зале ; 16000 
 132 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 133 ; Жетон. Коронация Павла I. D - 21mm ;  ;  ; Ag ; XF- ; 20 ; Olimpia ; 9364 
 134 ; Рубль ; 1732 ;  ; Ag ; XF- ; 23 ; nordbolivar ; 26000 
 135 ; Рубль ; 1759 ; СПБ ЯI TI ; Ag ; VF-XF ; 56 ; Продано в зале ; 54000 
 136 ; Копейка ; 1860 ; ВМ ; Cu ; VF-XF ; 23 ; Продано в зале ; 7000 
 137 ; Полушка. Новодел ; 1757 ; Новодел ; Cu ; XF ; 26 ; 25 ; 30000 
 138 ; Полушка. Новодел ; 1765 ;  ; Cu ; XF ; 19 ; 25 ; 26000 
 51 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 5 ; Продано в зале ; 2000 
 52 ; 20 копеек. В капсуле NGC. MS62 ; 1862 ; СПБ МИ ; Ag ;  ; 20 ; TaraskaPeter ; 4080 
 53 ; 20 копеек. В капсуле NGC. MS62 ; 1887 ; СПБ АГ ; Ag ;  ; 32 ; marikin ; 5634 
 54 ; 20 копеек. В капсуле NGC. MS64 ; 1910 ; СПБ ЭБ ; Ag ;  ; 30 ; moneta777 ; 3011 
 55 ; 15 копеек-1 злотый ; 1838 ; НГ Рус.-Пол. ; Ag ; XF+ ; 27 ; ЛАВ-13 ; 3525 
 56 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 64 ; Продано в зале ; 2500 
 57 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 17 ; tisa66 ; 3000 
 58 ; 15 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 23 ; Продано в зале ; 3200 
 59 ; Гривенник (Петров - 10 руб, Ильин- 3 руб) ; 1776 ; СПБ TI ; Ag ; F-VF ; 39 ; 10001 ; 20000 
 60 ; Гривенник ; 1783 ; СПБ ; Ag ; XF- ; 40 ; Продано в зале ; 4200 
 61 ; 10 копеек ; 1818 ; СПБ ПС ; Ag ; XF- ; 43 ; taa ; 3238 
 62 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; AU/XF ; 34 ; Продано в зале ; 4600 
 63 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 24 ; Продано в зале ; 2100 
 64 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 34 ; Продано в зале ; 2300 
 65 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 15 ; Продано в зале ; 2100 
 66 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 15 ; Продано в зале ; 1700 
 67 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 26 ; pilot2371 ; 3824 
 68 ; 5 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 29 ; Продано в зале ; 2600 
 69 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 11 ; TaraskaPeter ; 3090 
 70 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 19 ; elac ; 4318 
 71 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 11 ; swoon ; 4000 
 72 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 24 ; vlad77 ; 5202 
 73 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 20 ; tisa66 ; 16000 
 74 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 21 ; Продано в зале ; 11000 
 75 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 42 ; vlad77 ; 5000 
 76 ; 5 копеек. В капсуле NGC. MS63 ; 1887 ; СПБ АГ ; Ag ;  ; 35 ; sdds ; 3193 
 77 ; 5 копеек. В капсуле NGC. MS64 ; 1899 ; СПБ АГ ; Ag ;  ; 34 ; bont ; 4590 
 78 ; 4 копейки ; 1757 ; Ливонез ; Ag ; VF/VF+ ; 28 ; masterovoi ; 15200 
 79 ; Гривенник. Новодел ; 1761 ; Д меньше ; Cu ; VF-XF ; 26 ; specta ; 62000 
 80 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 72 ; Продано в зале ; 13000 
 81 ; 10 копеек. В капсуле NGC. MS64BN ; 1779 ; КМ "Сибирь" ; Cu ;  ; 72 ; dsidorov ; 62000 
 82 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; XF- ; 42 ; Продано в зале ; 10500 
 83 ; 5 копеек ; 1724 ; Хвост в 3 пера ; Cu ; VF- ; 25 ; nordbolivar ; 17000 
