 101 ; 2 копейки ; 1858 ; ЕМ ; Cu ; XF- ; 18 ; 222211 ; 3039 
 102 ; 2 копейки ; 1903 ; СПБ ; Cu ; AU ; 23 ; Продано в зале ; 4800 
 103 ; Копейка. Большой формат (Ильин - 2 руб) ; 1707 ; БК ; Cu ; F-VF ; 50 ; Diatez ; 9000 
 104 ; Копейка ; 1715 ; НД ; Cu ; VF+ ; 16 ; Продано в зале ; 2300 
 105 ; Копейка (Ильин - 10 руб) ; 1716 ; НД ; Cu ; F- ; 24 ; брат Черпоя ; 7933 
 106 ; Копейка (Ильин - 5 руб) ; 1717 ; НДЗ ; Cu ; VG ; 22 ; Sintez ; 2267 
 107 ; Копейка (Петров-20р. Ильин-8р) ; 1724 ;  ; Cu ; F-VF ; 29 ; Продано в зале ; 75000 
 108 ; Копейка (Петров - 8 руб, Ильин - 8 руб) ; 1764 ; ММ ; Cu ; VG ; 42 ; Zakhapisty ; 5924 
 109 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 21 ; vic-dmitri ; 2271 
 110 ; Копейка ; 1820 ; ИМ ЯВ ; Cu ; VF-XF ; 109 ; 3458 ; 2550 
 111 ; Копейка ; 1824 ; ЕМ ПГ ; Cu ; XF- ; 21 ; Продано в зале ; 2100 
 112 ; Копейка ; 1857 ; ЕМ ; Cu ; XF- ; 26 ; Продано в зале ; 2600 
 113 ; Копейка ; 1862 ; ВМ ; Cu ; XF- ; 52 ; Продано в зале ; 11000 
 114 ; Копейка ; 1889 ; СПБ ; Cu ; AU ; 40 ; Продано в зале ; 2700 
 115 ; Денга ; 1703 ;  ; Cu ; VF+ ; 37 ; Продано в зале ; 2600 
 116 ; Денга ; 1795 ; ЕМ ; Cu ; VF+ ; 55 ; Продано в зале ; 1400 
 117 ; Деньга (Петров - 4 руб, Ильин - 3 руб) ; 1814 ; КМ АМ ; Cu ; F-VF ; 13 ; Продано в зале ; 2100 
 118 ; Денежка ; 1850 ; ЕМ ; Cu ; XF- ; 29 ; Продано в зале ; 1900 
 119 ; Денежка ; 1851 ; ЕМ ; Cu ; XF-/VF-XF ; 43 ; vic-dmitri ; 1100 
 120 ; Полушка (Ильин - 1 руб) ; 1855 ; ЕМ ; Cu ; VF+ ; 3 ; evgenijzhuk ; 1020 
 121 ; 10 копеек ; 1946 ; о.Шпицберген ; Br ; XF+ ; 20 ; Продано в зале ; 4800 
 122 ; Медаль "Великий Князь Ярослав I Владимирович".Медальер И.Б.Гасс (справа внизу на фоне: G). М-29,6 г. D-38мм ;  ;  ; Br ; XF- ; 10 ; Продано в зале ; 6500 
 123 ; Медаль "Великий Князь Всеволод  Ярославич". Без подписи медальера. М-26,9 г. D-38мм ;  ;  ; Br ; XF- ; 5 ; Продано в зале ; 6000 
 124 ; Медаль "Великий Князь Андрей Юрьевич Боголюб". Без подписи медальера. М-27,6 г. D-38мм ;  ;  ; Br ; XF- ; 5 ; Продано в зале ; 6000 
 125 ; Медаль "Великий Князь Василий I Ярославич". Медальер И.К.Г.Егер (слева внизу на фоне: IGI). М-27,6 г. D-39мм ;  ;  ; Br ; XF- ; 5 ; Продано в зале ; 6000 
