 151 ; Деньга ; 1798 ; ЕМ ; Cu ; VF ; 19 ; Foks ; 800 
 152 ; Деньга  (Петров-2,25р. Ильин-3р) ; 1807 ; КМ ; Cu ; VF ; 69 ; Гостомысл ; 13000 
 153 ; Денежка ; 1856 ; ВМ ; Cu ; VF+ ; 45 ; Druja ; 5500 
 154 ; Денежка ; 1859 ; ЕМ ; Cu ; XF ; 83 ; Druja ; 7000 
 155 ; 1/2 копейки. В капсуле PCGS ; 1916 ;  ; Cu ;  ; 59 ; sdv75-2010 ; 13000 
 156 ; Полушка ; 1706 ;  ; Cu ; VF ; 61 ; Продано в зале ; 11000 
 157 ; Полушка ; 1707 ;  ; Cu ; VF+ ; 54 ; 25 ; 18000 
 158 ; Полушка ; 1710 ;  ; Cu ; F+ ; 24 ; Продано в зале ; 8000 
 159 ; Полушка ; 1719 ;  ; Cu ; VF+ ; 26 ; Лрс 21,12 ; 3400 
 160 ; Полушка ; 1734 ; Орёл 1730 г. ; Cu ; VF ; 64 ; Продано в зале ; 4800 
 161 ; Полушка ; 1757 ;  ; Cu ; VF- ; 23 ; krugerrand ; 3000 
 162 ; Полушка ; 1767 ; КМ "Сибирь" ; Cu ; VF- ; 15 ; velisarit ; 3876 
 163 ; Полушка (Петров - 3р.) ; 1767 ; КМ "Сибирь" ; Cu ; VF ; 31 ; обморок ; 3047 
 164 ; Полушка ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 133 ; Продано в зале ; 11000 
 165 ; Полушка ; 1771 ; КМ "Сибирь" ; Cu ; VF ; 25 ; cr67 ; 650 
 166 ; Полушка  (Петров-3р. Ильин-3р) ; 1804 ; КМ ; Cu ; F+ ; 18 ; CapsulЪ ; 3782 
 167 ; 1/4 копейки ; 1841 ; СПМ ; Cu ; XF ; 82 ; 846849 ; 2244 
 168 ; Полушка ; 1854 ; ЕМ ; Cu ; XF ; 52 ; Rare Breed ; 2507 
 169 ; Полушка ; 1858 ; ЕМ ; Cu ; XF ; 45 ; sdv75-2010 ; 2100 
 170 ; 1/4 копейки ; 1872 ; ЕМ ; Cu ; AU ; 37 ; Druja ; 11000 
 171 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; XF ; 25 ; oleko ; 2558 
 172 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 22 ; 😺 ; 2200 
 173 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 21 ; Druja ; 2700 
 174 ; 1 пенни ; 1870 ; Финляндия ; Cu ; AU ; 39 ; Продано в зале ; 12000 
 175 ; Георгиевский крест 3 степени №71063. Размер 34мм. М-10,4г ;  ;  ; Ag ; XF- ; 69 ; 846849 ; 21000 
 176 ; Георгиевский крест 4 степени №014067. Размер 34мм. М-10,9г ;  ;  ; Ag ; XF- ; 30 ; Mirator ; 13056 
 177 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 178 ; 5 рублей. М-6,52г ; 1877 ; СПБ НI ; Au ; XF ; 28 ; zuza ; 40000 
 179 ; Рубль ; 1737 ;  ; Ag ; VF-XF ; 12 ; Продано в зале ; 28000 
 180 ; Рубль ; 1732 ;  ; Ag ; XF- ; 38 ; Продано в зале ; 34000 
 181 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; VF-XF ; 31 ; habibbulin ; 32167 
 182 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; VF-XF ; 44 ; Продано в зале ; 20000 
 183 ; Рубль ; 1768 ; ММД EI ; Ag ; XF ; 44 ; Продано в зале ; 88000 
 101 ; 5 копеек ; 1788 ; КМ ; Cu ; XF- ; 41 ; золант ; 8000 
 102 ; 5 копеек ; 1791 ; АМ ; Cu ; XF- ; 31 ; золант ; 2600 
 103 ; 5 копеек ; 1792 ; АМ ; Cu ; XF ; 14 ; cr67 ; 1250 
