 151 ; Медаль. Император Наполеон Бонапарт. В память завоевания Истрии. 1806. Храм Августа. Франция. D-40мм ;  ;  ; Br ; XF ; 15 ; sm-dc ; 5000 
 152 ; Медаль. Император Наполеон Бонапарт. Битва под Фридландом 14 июня 1807. Франция. D-40мм ;  ;  ; Br ; VF ; 11 ; sm-dc ; 3800 
 153 ; Медаль. Император Наполеон Бонапарт. Визит Наполеона в Тулузу 25 июля 1808 года. Франция. D-40мм ;  ;  ; Br ; XF ; 5 ; sm-dc ; 4080 
 154 ; Памятная медаль. Наполеон Великий. Армия Франции. Франция. D-26мм ;  ;  ; Br ; AU ; 13 ; Unknown ; 2324 
 155 ; Памятная медаль. Наполеон Великий. В память восстановления статуи Наполеона. Франция. D-23мм ;  ;  ; Br ; XF+ ; 20 ; Продано в зале ; 2000 
 156 ; Базовый каталог «Монеты России 1700-1917 годы» Конрос.  Каталог уникален по количеству выделенных монетных разновидностей и позволяет быстро идентифицировать уже описанные. С его помощью можно обоснованно определять ранее неизвестные монетные виды ;  ;  ;  ;  ; 19 ; sax ; 3400 
 157 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 43 ; DeМоН ; 7250 
 158 ; 2 копейки ; 1880 ; СПБ ; Cu ; XF ; 31 ; tisa66 ; 4910 
 159 ; 2 копейки ; 1881 ; СПБ ; Cu ; XF ; 50 ; CapsulЪ ; 9500 
 160 ; 2 копейки ; 1887 ; СПБ ; Cu ; AU ; 69 ; Продано в зале ; 65000 
 161 ; Копейка. Новодел ; 1757 ; Новодел ;  ; AU ; 15 ; Johnny Walker ; 23757 
 162 ; Копейка ; 1877 ; СПБ ; Cu ; XF+ ; 26 ; CapsulЪ ; 3600 
 163 ; Копейка ; 1898 ; СПБ ; Cu ; XF+ ; 27 ; РО ; 1689 
 164 ; Полушка (Петров-5р, Ильин-1р) ; 1779 ; КМ "Сибирь" ; Cu ; F-VF ; 1 ; leningrad67 ; 1500 
 165 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; XF+ ; 7 ; Кеннер ; 3492 
 166 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; VF-XF ; 7 ; Рокотов ; 2392 
 167 ; 1/4 копейки (Петров-5р, Ильин-3р) ; 1894 ; СПБ ; Cu ; AU ; 59 ; DeМоН ; 145000 
 168 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 13 ; Рокотов ; 2200 
 169 ; 1/4 копейки ; 1910 ; СПБ ; Cu ; AU ; 25 ; CapsulЪ ; 6000 
 170 ; 10 пенни ; 1867 ; Финляндия ; Cu ; XF+ ; 30 ; Продано в зале ; 30000 
 101 ; 3 копейки ; 1840 ; СПМ ; Cu ; XF- ; 27 ; Foks ; 6750 
 102 ; 3 копейки ; 1852 ; ЕМ ; Cu ; VF+ ; 31 ; Продано в зале ; 2400 
