 151 ; Копейка  (Петров-12р, Ильин-8р) ; 1815 ; ЕМ НМ ; Cu ; F ; 42 ; Misha ; 16320 
 152 ; Копейка ; 1835 ; ЕМ ФХ ; Cu ; VF+ ; 21 ; Uri ; 966 
 153 ; Копейка ; 1858 ; ВМ Венз.уже ; Cu ; VF+ ; 54 ; МихаилЩ ; 3400 
 154 ; Деньга (Ильин-3р) ; 1799 ; КМ ; Cu ; F-VF ; 23 ; CapsulЪ ; 3400 
 155 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 36 ; Augsburg ; 2400 
 156 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; AU ; 23 ; I3 ; 4700 
 157 ; Полушка. Сертификат ; 1771 ; ЕМ ; Cu ; XF- ; 37 ; SuRaV ; 6750 
 158 ; Полушка ; 1789 ;  ; Cu ; VF ; 38 ; CapsulЪ ; 3600 
 159 ; Полушка ; 1854 ; ЕМ ; Cu ; XF ; 35 ; Продано в зале ; 5500 
 160 ; 1/4 копейки ; 1893 ; СПБ ; Cu ; XF ; 53 ; CapsulЪ ; 8500 
 161 ; 10 пенни ; 1897 ; Финляндия ; Cu ; AU ; 92 ; Продано в зале ; 21000 
 162 ; 10 золотников ;  ; АД ; Ag ; XF ; 52 ; Продано в зале ; 26000 
 163 ; 1 золотник ;  ; АД ; Ag ; VF ; 44 ; Продано в зале ; 14000 
 164 ; Жетон На коронации Александра I. D-22мм ;  ;  ; Ag ; VF- ; 29 ; QSL ; 7659 
 165 ; Жетон На коронацию Николая I. D-21мм ; 1826 ;  ; Ag ; VF ; 63 ; QSL ; 7500 
 166 ; Жетон На коронацию Александра II. D-21мм ; 1856 ;  ; Ag ; XF- ; 58 ; QSL ; 6750 
 167 ; Знак ордена Св. Станислава II ст. Фирма: "Эдуард". Р-ры: 50х50мм ; 1855-1916 ;  ; Au, эмаль ; AU ; 54 ; КОРЕНЬ ; 153000 
 168 ; Знак ордена Св. Анны II ст. Р-ры 43х43 мм ; 1828-1916 ; Золото, эмаль. "Эдуард". ; Au,эмаль ; XF+ ; 47 ; КОРЕНЬ ; 153000 
 169 ; Георгиевский крест IV ст. №289482 ; 1916 ;  ; б.м. ; XF ; 43 ; креативчик ; 12807 
 170 ; Медаль "В честь парламента Финляндии и тысячелетия финской знати" 1906г. Медальер: Ж. Мастерхельм. D-60мм. Финляндия ;  ;  ; Ag ; XF ; 40 ; lastfast ; 18133 
 171 ; Лот монет Армавира, разменный знак 3 руб, 5 руб. ; 1918 ;  ; Br ; VF+/XF ; 68 ; Продано в зале ; 47500 
 172 ; Лот монет Натурально-расчетный союза "Разум и совесть"1,2,5,10,50 сотых пуда хлеба (5шт) ; 1921 ;  ;  ; VF/XF ; 71 ; Mike224 ; 95000 
 173 ; Лот монет Вторая государственная шорно-футлярная и чемоданная фабрика: 1,2,3,5,10 коп, 1 рубль (6шт) ; 1922 ;  ; Al,Cu ; VF+/XF+ ; 72 ; Коллекционер СНГ ; 110000 
 174 ; Лот монет Николо-Павдинского кооператива: 20 коп, 1рубль ; 1922 ;  ; Ж/м ; VF+ ; 59 ; sax ; 28000 
 175 ; Лот монет Хорезмской Народной Республики: 20,25,100,500 руб (4шт) ;  ;  ;  ; VF-/VF+ ; 90 ; Продано в зале ; 36000 
