 351 ; Копейка ; 1840 ; ЕМ ; Cu ; VF-XF ; 7 ; монеткин ; 312 
 352 ; 1/2 копейки ; 1840 ; ЕМ ; Cu ; XF ; 19 ; Участник № 30 ; 3800 
 353 ; 1/4 копейки ; 1840 ; СПМ ; Cu ; VF-XF ; 11 ; SSK ; 1000 
 354 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 39 ; андрейх ; 2585 
 355 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 29 ; Участник № 133 ; 2300 
 356 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF- ; 27 ; Участник № 51 ; 10000 
 357 ; Полушка ; 1851 ; ЕМ ; Cu ; XF+ ; 19 ; Участник № 140 ; 2100 
 358 ; Копейка ; 1853 ; ЕМ ; Cu ; VF-XF ; 20 ; PSP ; 906 
 359 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 9 ; Участник № 133 ; 4200 
 360 ; 5 копеек ; 1857 ; ЕМ ; Cu ; VF-XF ; 9 ; Участник № 30 ; 7000 
 361 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 24 ; батя ; 3174 
 362 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 37 ; Участник № 133 ; 4400 
 363 ; 5 копеек ; 1859 ; ЕМ ; Cu ; XF ; 11 ; Глол ; 3072 
 364 ; Денежка ; 1859 ; ЕМ ; Cu ; VF-XF ; 11 ; nik ; 816 
 365 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU ; 31 ; tisa66 ; 3174 
 366 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 8 ; Участник № 1127 ; 1400 
 367 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 15 ; tisa66 ; 2800 
 368 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 21 ; Участник № 1127 ; 4000 
 369 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 23 ; Участник № 1127 ; 2600 
 370 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 8 ; Глол ; 1900 
 371 ; 20 копеек ; 1868 ; СПБ HI ; Ag ; XF+ ; 13 ; андрейх ; 1473 
 372 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; XF+ ; 11 ; Участник № 1127 ; 1200 
 373 ; 20 копеек ; 1874 ; СПБ HI ; Ag ; XF ; 10 ; ksv11 ; 906 
 374 ; Полтина ; 1877 ; СПБ HI ; Ag ; VF-XF ; 7 ; Участник № 133 ; 2400 
 375 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 23 ; Конрос бид 32 ; 3000 
 376 ; 5 копеек ; 1879 ; СПБ ; Cu ; XF- ; 23 ; Misha ; 3572 
 377 ; Рубль ; 1884 ; СПБ АГ ; Ag ; VF+ ; 27 ; ksv11 ; 10202 
 378 ; 10 копеек ; 1889 ; СПБ АГ ; Ag ; XF ; 11 ; ksv11 ; 906 
 379 ; Рубль (весьма редкий) ; 1890 ; (АГ) ; Ag ; VF ; 17 ; Gatchina ; 5393 
 380 ; Рубль ; 1892 ; (АГ) ; Ag ; XF+ ; 22 ; Участник № 462 ; 24000 
 381 ; Рубль ; 1893 ; (АГ) ; Ag ; VF-XF ; 7 ; Участник № 133 ; 7000 
 382 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; VF-XF ; 7 ; elac ; 3672 
 383 ; Полтина ; 1896 ; ( * ) ; Ag ; XF+ ; 16 ; Глол ; 6122 
 384 ; 25 копеек ; 1896 ; АГ ; Ag ; XF ; 23 ; PSP ; 1536 
 385 ; Рубль ; 1913 ; (ЭБ) ; Ag ; XF+ ; 28 ; Участник № 51 ; 60000 
