 301 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 12 ; батя ; 793 
 302 ; 2 копейки ; 1901 ; СПБ ; Cu ; Proof ; 15 ; Участник № 30 ; 15000 
 303 ; 20 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 42 ; Участник № 30 ; 1900 
 304 ; 2 копейки ; 1908 ; СПБ ; Cu ; AU ; 9 ; Участник № 147 ; 1300 
 305 ; 5 рублей. М-4,29г ; 1909 ; (ЭБ) ; Au ; AU ; 69 ; Участник № 1389 ; 21000 
 306 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; XF ; 101 ; int1965708 ; 5123 
 307 ; 1/4 копейки ; 1910 ; СПБ ; Cu ; AU ; 14 ; Участник № 147 ; 1600 
 308 ; 5 копеек ; 1911 ; СПБ ; Cu ; AU ; 15 ; Dimm ; 714 
 309 ; 2 копейки ; 1912 ; СПБ ; Cu ; AU ; 19 ; Участник № 30 ; 1100 
 310 ; Полтина. Редкие буквы минцмейстера для этого года ; 1913 ; (ЭБ) АГ ; Ag ; VF-XF ; 55 ; Седой ; 3399 
 311 ; Рубль ; 1914 ; (ВС) ; Ag ; XF/AU ; 41 ; numi2009 ; 30776 
 312 ; 5 копеек ; 1916 ;  ; Cu ; XF/AU ; 19 ; кабан ; 20282 
 313 ; 5 копеек ; 1922 ; Вторая государственная шорно-ф ; Cu ; XF+ ; 32 ; mamont ; 17850 
 314 ; Медаль. За благонравие и успехи в науке ;  ;  ; Ag ; XF+ ; 64 ; AVA01 ; 25500 
 315 ; Медаль. В память совершившегося 1000-летия России ;  ;  ; Cu-Zn ; XF ; 16 ; numi2009 ; 1226 
 316 ; Плакета. Генерал-адъютант А.Н.Куропаткин ;  ;  ; Cu-Zn ; AU ; 56 ; Участник № 30 ; 7500 
 317 ; Жетон. В память коронации Александра II ; 1856 ;  ; Ag ; XF ; 11 ; numi2009 ; 4500 
 318 ; Жетон. В память коронации Александра III ; 1883 ;  ; Ag ; AU ; 11 ; numi2009 ; 4200 
 319 ; Жетон. В память коронации Николая II ; 1896 ;  ; Ag ; AU ; 18 ; numi2009 ; 6122 
 320 ; Жетон. В память совершившегося 1000-летия России ;  ;  ; Cu-Zn ; XF ; 6 ; ААФ ; 793 
 321 ; Жетон. В память коронации Николая II ; 1896 ;  ; Cu, позоло ; AU ; 23 ; Basilio ; 10084 
 322 ; Знак Михайловский артиллерийский дивизион ; нач. XX в ;  ; Ag, золоч, ; XF+ ; 21 ; Misha ; 20000 
 323 ; Жетон в виде погона прапорщика 62-го пехотного Суздальского генералиссимуса князя Суворова полка ; 1905 ;  ; Ag, эмаль ; VF-XF ; 15 ; Pluschkin ; 5500 
