 151 ; Жетон в память царствования имп. Павла I. D-20мм ;  ;  ; Ag ; XF+ ; 16 ; bazis ; 6630 
 152 ; Жетон на коронацию Александра III в 1883г. D-26мм ;  ;  ; Ag ; XF/AU ; 9 ; lvd ; 5100 
 153 ; Жетон. На коронацию Николая II. D-25мм ; 1896 ;  ; Ag ; Unc/AU ; 36 ; Участник № 623 ; 8500 
 101 ; Дукат. Нидерланды. Санкт-Петербургский чекан. Признаки по Узденикову №4,7. М-3,49гр ; 1849 ;  ; Au ; XF/AU ; 40 ; finger ; 15527 
 102 ; Полтина ; 1849 ; СПБ ПА ; Ag ; XF+ ; 37 ; finger ; 11000 
 103 ; Полтина ; 1852 ; СПБ ПА ; Ag ; XF ; 23 ; Ч.С. ; 5840 
 104 ; 5 копеек ; 1852 ; ЕМ ; Cu ; VF ; 20 ; serg2010 ; 1534 
 105 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF- ; 29 ; Участник № 1341 ; 9000 
 106 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; VF-XF ; 49 ; Ч.С. ; 4162 
 107 ; 5 копеек ; 1857 ; ЕМ ; Cu ; VF-XF ; 28 ; Участник № 7 ; 1400 
 108 ; 10 копеек ; 1858 ; СПБ ФБ ; Ag ; XF+ ; 43 ; ZOLTAN333 ; 2500 
 109 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF- ; 21 ; Danila-56 ; 47599 
 110 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; Unc/AU ; 15 ; Участник № 636 ; 4600 
 111 ; 5 копеек ; 1860 ; ЕМ ; Cu ; VF- ; 22 ; Участник № 1757 ; 900 
 112 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 19 ; Участник № 1461 ; 3600 
 113 ; 1/4 копейки ; 1867 ; СПБ ; Cu ; XF+ ; 59 ; Участник № 1341 ; 9000 
 114 ; 2 копейки ; 1869 ; ЕМ ; Cu ; AU ; 22 ; Участник № 1341 ; 4000 
 115 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 29 ; Участник № 147 ; 1600 
 116 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 21 ; Участник № 18 ; 3000 
 117 ; Рубль ; 1876 ; СПБ HI ; Ag ; VF-XF ; 25 ; Участник № 1739 ; 13000 
 118 ; 5 рублей. М-6,54г ; 1877 ; СПБ НI ; Au ; AU/XF ; 51 ; 1088 ; 30000 
 119 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 22 ; dimon46 ; 3400 
 120 ; Рубль ; 1879 ; СПБ НФ ; Ag ; VF-XF ; 32 ; 5491 ; 14457 
 121 ; 10 копеек ; 1881 ; СПБ НФ ; Ag ; AU ; 23 ; Участник № 1461 ; 6500 
 122 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 15 ; Участник № 1341 ; 14500 
 123 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 44 ; Участник № 1461 ; 3200 
 124 ; Копейка ; 1889 ; СПБ ; Cu ; AU ; 11 ; Участник № 1341 ; 1200 
 125 ; 10 копеек ; 1890 ; СПБ АГ ; Ag ; XF+ ; 16 ; Маша-растеряша ; 3000 
 126 ; 5 рублей. М-6,45г ; 1891 ; (АГ) ; Au ; AU/XF ; 42 ; Участник № 392 ; 32000 
 127 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; XF+ ; 13 ; Участник № 1461 ; 2600 
 128 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; XF+ ; 15 ; Участник № 1341 ; 1800 
 129 ; 20 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 30 ; Маша-растеряша ; 2958 
 130 ; Рубль ; 1896 ; ( * ) ; Ag ; XF+ ; 42 ; vvt ; 9000 
 131 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 21 ; lvd ; 20754 
 132 ; 3 копейки ; 1896 ; СПБ ; Cu ; XF/AU ; 49 ; Участник № 147 ; 6500 
 133 ; Рубль ; 1897 ; (АГ) ; Ag ; XF/AU ; 44 ; sg1945 ; 9364 
 134 ; Рубль ; 1898 ; (АГ) ; Ag ; XF ; 33 ; Участник № 1739 ; 3200 
 135 ; Рубль ; 1899 ; (ФЗ) ; Ag ; AU ; 73 ; avka ; 15000 
 136 ; 2 копейки ; 1899 ; СПБ ; Cu ; AU ; 22 ; SSK ; 1949 
 137 ; Рубль ; 1903 ; (АР) ; Ag ; VF+ ; 40 ; Участник № 2 ; 12000 
 138 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 28 ; Участник № 1389 ; 1100 
 139 ; Рубль ; 1906 ; (ЭБ) ; Ag ; VF+ ; 34 ; serg2010 ; 15912 
 140 ; 5 рублей. М-4,3г ; 1909 ; (ЭБ) ; Au ; AU ; 20 ; 1088 ; 17578 
 141 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; XF ; 31 ; Участник № 1341 ; 6200 
 142 ; 5 пенни ; 1910 ; Финляндия ; Cu ; F-VF ; 14 ; TDN ; 2040 
 143 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF ; 89 ; Участник № 1341 ; 5000 
 144 ; Полтина ; 1913 ; (ЭБ) АГ ; Ag ; XF ; 21 ; Участник № 1739 ; 5500 
 145 ; Рубль ; 1914 ; (ВС) ; Ag ; XF/AU ; 50 ; bazis ; 24998 
 146 ; Рубль ; 1915 ; (ВС) ; Ag ; XF- ; 38 ; taran ; 14847 
 147 ; 10 сот.пуда хлеба ; 1921 ; Натурально-расчетный союз "Разум и совесть" (Киев , 1921 г.) ; Br ; XF+ ; 56 ; ryber ; 13500 
 148 ; 2 сот.пуда хлеба ; 1921 ; Натурально-расчетный союз "Разум и совесть" (Киев , 1921 г.) ; Br ; VF-XF ; 31 ; 0005000 ; 12750 
 149 ; 1 сот.пуда хлеба ; 1921 ; Натурально-расчетный союз "Разум и совесть" (Киев , 1921 г.) ; Br ; VF-XF ; 13 ; 765 ; 11000 
 150 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; Unc/AU ; 23 ; deasd ; 13056 
 51 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 50 ; Участник № 392 ; 25000 
 52 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 24 ; Участник № 392 ; 19000 
 53 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; XF+ ; 25 ; Участник № 392 ; 19000 
 54 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 27 ; Участник № 51 ; 8500 
 55 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; VF-XF ; 28 ; Участник № 147 ; 15000 
 56 ; 5 копеек (Петров-5р, Ильин-1р) ; 1780 ; КМ "Сибирь" ; Cu ; VF ; 10 ; Участник № 148 ; 8000 
 57 ; 5 копеек ; 1782 ; КМ ; Cu ; VF-XF ; 16 ; Участник № 392 ; 2600 
 58 ; Полуполтинник (Петров-1р) ; 1785 ; СПБ ЯА ; Ag ; VF+ ; 39 ; Участник № 1556 ; 5500 
 59 ; Рубль ; 1786 ; СПБ ЯА TI ; Ag ; XF+ ; 27 ; Участник № 51 ; 24000 
 60 ; 15 копеек ; 1787 ; СПБ ; Ag ; XF ; 53 ; dimon46 ; 5100 
 61 ; 5 копеек (Ильин-5р) ; 1788 ; ЕМ ; Cu ; VF+ ; 28 ; Участник № 148 ; 9000 
 62 ; 5 копеек (Петров-10р, Ильин-10р) ; 1788 ; ММ ; Cu ; F-VF ; 37 ; finger ; 25471 
 63 ; 5 копеек ; 1790 ; ЕМ ; Cu ; XF ; 67 ; 100924 ; 908 
 64 ; Копейка ; 1790 ; ЕМ ; Cu ; VF+ ; 52 ; Iova ; 1020 
 65 ; 5 копеек ; 1791 ; ЕМ ; Cu ; XF- ; 9 ; grec ; 375 
 66 ; 5 копеек ; 1791 ; АМ ; Cu ; XF- ; 11 ; Участник № 148 ; 1200 
 67 ; 5 копеек ; 1791 ; КМ ; Cu ; XF- ; 29 ; vvt ; 4533 
 68 ; 5 копеек ; 1794 ; КМ ; Cu ; VF-XF ; 32 ; Участник № 18 ; 3600 
 69 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF-XF ; 28 ; Участник № 148 ; 13000 
 70 ; 2 копейки ; 1797 ;  ; Cu ; VF- ; 33 ; SSK ; 4050 
 71 ; 2 копейки ; 1797 ; ЕМ ; Cu ; VF-XF ; 26 ; 55=55 ; 2002 
 72 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF- ; 30 ; Участник № 1739 ; 4200 
 73 ; 5 копеек (Ильин-3р) ; 1803 ; ЕМ ; Cu ; F-VF ; 13 ; Участник № 1556 ; 4200 
