 151 ; 25 копеек ; 1895 ; АГ ; Ag ; AU ; 48 ; 0987654321 ; 10000 
 152 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF ; 18 ; ек ; 24000 
 153 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 21 ; 0987654321 ; 8262 
 154 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF- ; 16 ; 0987654321 ; 4600 
 155 ; 3 копейки ; 1898 ; СПБ ; Cu ; XF+ ; 79 ; Продано в зале ; 13000 
 156 ; 10 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 21 ; verunk1 ; 3723 
 157 ; 10 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 26 ; Продано в зале ; 3600 
 158 ; 20 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 36 ; verunk1 ; 5667 
 159 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 13 ; ZOLTAN333 ; 2190 
 160 ; Рубль ; 1907 ; (ЭБ) ; Ag ; VF-XF ; 24 ; Продано в зале ; 4400 
 161 ; 1/4 копейки ; 1910 ; СПБ ; Cu ; AU ; 51 ; sail ; 3774 
 162 ; 5 копеек ; 1912 ; СПБ ; Cu ; XF ; 41 ; SSK ; 3505 
 163 ; 3 копейки ; 1913 ; СПБ ; Cu ; AU ; 21 ; Продано в зале ; 2300 
 164 ; 2 сот.пуда хлеба ; 1921 ; Натурально-расчетный союз "Разум и совесть" (Киев , 1921 г.) ;  ; XF ; 25 ; строитель ; 22001 
 165 ; Знак ордена Св. Анны II ст. с мечами. Выдача из Капитула. Фирма "Д.Осипова". Размеры: 44,4 на 43,5мм ; 1916 ;  ; Br, позол,эмаль ; VF+ ; 41 ; Игорь Викторович ; 37740 
 166 ; Знак ордена Св. Станислава II ст. с мечами. Выдача из Капитула. Фирма "Эдуард". Размеры: 48,3 на 48,2мм ; 1916 ;  ; Br, позол,эмаль ; VF- ; 32 ; ZOLTAN333 ; 15300 
 167 ; Знак ордена Св. Станислава III ст. с мечами. Выдача из Капитула. Фирма "Эдуард". Размеры: 37,3 на 38мм ; 1916 ;  ; Br, позол,эмаль ; VF+ ; 29 ; Игорь Викторович ; 13827 
 168 ; Георгиевский крест IV ст. №652741. Р-ры: 34 на 34мм ; 1914-1915 ;  ; Ag ; XF ; 11 ; dubosar ; 12000 
 169 ; Георгиевская медаль IV ст. № 126664. D-28мм. Имп. Николай II ;  ;  ; Ag ; VF+ ; 6 ; Десна ; 4800 
 170 ; Медаль "За беспорочную службу в полиции". D-36мм ;  ;  ; Ag ; XF- ; 15 ; Продано в зале ; 17000 
 171 ; Медаль императорского общества размножения охотничьих и промысловых животных  и правильной охоты. D-46мм ;  ;  ; Ag ; XF+/XF- ; 34 ; ZOLTAN333 ; 15300 
