 101 ; Копейка ; 1805 ; ЕМ ; Cu ; F-VF ; 17 ; Восток ; 3570 
 102 ; Копейка (Петров-2,5р, Ильин-3р) ; 1805 ; КМ ; Cu ; F-VF ; 18 ; Продано в зале ; 6200 
 103 ; Копейка. В капсуле NGC ; 1865 ; ЕМ ; Cu ; AU 55 ; 7 ; Продано в зале ; 6800 
 104 ; Денга (Ильин-1р) ; 1791 ; КМ ; Cu ; VF- ; 29 ; Продано в зале ; 1400 
 105 ; Деньга (Петров-1р, Ильин-3р) ; 1797 ; КМ ; Cu ; F-VF ; 21 ; SSK ; 1838 
 106 ; 1/2 копейки ; 1874 ; ЕМ ; Cu ; AU ; 26 ; SSK ; 10404 
 107 ; 1/2 копейки ; 1877 ; СПБ ; Cu ; XF+ ; 19 ; RFS ; 2833 
 108 ; 1/2 копейки ; 1881 ; СПБ ; Cu ; XF ; 17 ; dimon46 ; 7140 
 109 ; 1/2 копейки ; 1883 ; СПБ ; Cu ; XF+ ; 17 ; 765 ; 5355 
 110 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 15 ; Продано в зале ; 2800 
 111 ; Полушка ; 1767 ; КМ "Сибирь" ; Cu ; VF- ; 29 ; Продано в зале ; 2500 
 112 ; Полушка ; 1768 ; КМ "Сибирь" ; Cu ; VF ; 23 ; vvt ; 14000 
 113 ; Полушка. В капсуле NGC ; 1859 ; ЕМ ; Cu ; AU ; 17 ; $$$ ; 2946 
 114 ; Полушка ; 1859 ; ЕМ ; Cu ; VF-XF ; 11 ; Frapin ; 1500 
 115 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 23 ; Продано в зале ; 3200 
 116 ; Копейка. Крым, Шахин Гирей (4-ый год правления) ; 1777 ;  ; Cu ; VF+ ; 40 ; Продано в зале ; 2600 
 117 ; 20 копеек ; 1928 ; в СССР С округлые, шт. 3 коп.1926 ; Ag ; AU ; 31 ; borism ; 15300 
 118 ; 2 копейки ; 1927 ;  ; Br ; VF ; 25 ; Продано в зале ; 90000 
 119 ; 25 копеек. Трактир А.Е.Каширина ;  ;  ; Br ; XF ; 15 ; Продано в зале ; 4200 
 120 ; 50 копеек. Трактир А.Е.Каширина ;  ;  ; Br ; XF+ ; 29 ; Продано в зале ; 5000 
 121 ; Жетон. Коронация Николая I. М-15,57гр ; 1826 ;  ; Pt ; VF-XF ; 2 ; Продано в зале ; 200000 
 122 ; Медаль. В память царствования Александра III. D-28мм ; 1894 ;  ; Ag ; AU ; 14 ; Продано в зале ; 5200 
 123 ; Медаль "За усердие". D-30мм ;  ;  ; Ag ; XF ; 24 ; инга ; 6209 
 124 ; Медаль. В воспоминание. Царское село - Берлин. D-32мм ;  ;  ; Сu ; VF+ ; 19 ; Продано в зале ; 6200 
 125 ; Наградной знак ВСРМ ; 20-е гг ;  ; Ag, эмаль ; VF ; 27 ; nikolas1957 ; 10200 
 126 ; Знак "Депутат ВС Латвийской ССР" №55 С удостоверением ; ММД ;  ; Ag,эмаль ; XF+ ; 13 ; Продано в зале ; 16000 
 127 ; Знак "Депутат ВС Армянской ССР" №269 ; ММД ;  ; Ag,эмаль ; XF+ ; 24 ; Продано в зале ; 8500 
 128 ; Знак "Депутат ВС Армянской ССР" № XI - 178 ; ММД ;  ; Ag,эмаль ; XF+ ; 23 ; Продано в зале ; 8000 
 129 ; Знак "Депутат ВС Марийской АССР" №45 ; ММД ;  ; Ag,эмаль ; XF+ ; 30 ; Продано в зале ; 17500 
 130 ; Знак "Депутат ВС Туркменской ССР" №134 ; 1955-1963 ММД ;  ; Ag,эмаль ; XF ; 17 ; Продано в зале ; 9600 
 131 ; Знак "Депутат ВС Туркменской ССР" №X-15 ; 1967-1985 ММД ;  ; Ag,эмаль ; XF+ ; 9 ; Продано в зале ; 8600 
 132 ; Знак "Депутат ВС Киргизской ССР" №277 ; ММД ;  ; Ag,эмаль ; XF+ ; 18 ; Продано в зале ; 16500 
 133 ; Знак "Депутат ВС Узбекской ССР" №71 ; ММД ;  ; Ag,эмаль ; XF+ ; 23 ; Продано в зале ; 26000 
 134 ; Знак "Депутат ВС Грузинской ССР" №60 ; ММД ;  ; Ag,эмаль ; XF+ ; 15 ; nikolas1957 ; 7242 
 135 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; XF- ; 16 ; Продано в зале ; 33000 
 136 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; VF-XF ; 13 ; Продано в зале ; 9200 
 137 ; 3 рубля-20 злотых. М-3,89гр ; 1835 ; СПБ ПД Рус.-Пол. ; Au ; XF+ ; 16 ; Продано в зале ; 80000 
 138 ; Оттиск в меди медали за Достоинство. М.П. Академия К.Н.  Имп. Александр III. D-29мм ;  ;  ; Cu ; XF- ; 21 ; Продано в зале ; 9000 
 51 ; 15 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 23 ; Продано в зале ; 4600 
 52 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 15 ; Frapin ; 4080 
 53 ; Гривенник ; 1742 ;  ; Ag ; VF+ ; 19 ; ОМВ ; 1691 
 54 ; Гривенник ; 1751 ; А ; Ag ; VF+ ; 25 ; antiquar ; 2392 
 55 ; Гривенник ; 1766 ; СПБ TI ; Ag ; VF-XF ; 23 ; leo 2 ; 2732 
 56 ; Гривенник ; 1767 ; СПБ TI ; Ag ; XF- ; 11 ; весенnik ; 2833 
 57 ; Гривенник ; 1774 ; ММД ; Ag ; VF-XF ; 27 ; VAG ; 8770 
 58 ; Гривенник ; 1783 ; СПБ ; Ag ; VF-XF ; 25 ; fantik ; 5036 
 59 ; 10 копеек (Петров - 25р., Ильин - 20р.) ; 1803 ; СПБ АИ ; Ag ; VF ; 32 ; Продано в зале ; 220000 
 60 ; 10 копеек ; 1814 ; СПБ ПС ; Ag ; VF+ ; 19 ; Продано в зале ; 3400 
 61 ; 10 копеек ; 1827 ; СПБ НГ ; Ag ; VF+ ; 15 ; barbos ; 2652 
 62 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 27 ; Продано в зале ; 5200 
 63 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 15 ; Продано в зале ; 1000 
 64 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 10 ; Продано в зале ; 1000 
 65 ; 10 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 28 ; tisa66 ; 3800 
 66 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 13 ; Продано в зале ; 2400 
 67 ; 5 копеек ; 1759 ; СПБ ; Ag ; XF- ; 21 ; rused ; 3876 
