 101 ; 2 копейки (Петров-1р, Ильин-2р) ; 1803 ; ЕМ ; Cu ; VF ; 44 ; андрей&ка ; 18133 
 102 ; 2 копейки ; 1854 ; ВМ ; Cu ; VF+ ; 10 ; Продано в зале ; 7400 
 103 ; 2 копейки ; 1858 ; ВМ ; Cu ; XF- ; 40 ; Алексей Викторович ; 11577 
 104 ; 2 копейки ; 1870 ; ЕМ ; Cu ; AU ; 14 ; Продано в зале ; 9600 
 105 ; 2 копейки ; 1896 ; СПБ ; Cu ; AU ; 23 ; Продано в зале ; 9200 
 106 ; Копейка ; 1708 ; МД ; Cu ; VF- ; 21 ; Продано в зале ; 2200 
 107 ; Копейка ; 1710 ; МД ; Cu ; VF- ; 15 ; Кривой 14 ; 1500 
 108 ; Копейка (Ильин-8р) ; 1710 ; БК ; Cu ; F+ ; 23 ; SSK ; 7933 
 109 ; Копейка (Ильин-12р) ; 1713 ; Н Д ; Cu ; F ; 10 ; Продано в зале ; 6000 
 110 ; Копейка ; 1728 ;  ; Cu ; XF- ; 26 ; Продано в зале ; 8200 
 111 ; Копейка ; 1819 ; КМ АД ; Cu ; VF ; 15 ; Sky2 ; 520 
 112 ; Копейка ; 1820 ; КМ АД ; Cu ; VF+ ; 11 ; Алексей Викторович ; 663 
 113 ; Копейка ; 1821 ; КМ АМ ; Cu ; VF ; 12 ; Isay ; 1134 
 114 ; Копейка ; 1822 ; КМ АМ ; Cu ; VF ; 20 ; Продано в зале ; 2200 
 115 ; Копейка ; 1823 ; КМ АМ ; Cu ; VF ; 19 ; 1059 ; 1800 
 116 ; Копейка ; 1825 ; КМ АМ ; Cu ; VF+ ; 19 ; Продано в зале ; 2400 
 117 ; Копейка ; 1827 ; КМ АМ ; Cu ; VF ; 6 ; Продано в зале ; 900 
 118 ; Копейка ; 1828 ; КМ АМ ; Cu ; VF ; 11 ; Продано в зале ; 550 
 119 ; Копейка ; 1830 ; КМ АМ ; Cu ; VF+ ; 15 ; Продано в зале ; 900 
 120 ; Копейка ; 1843 ; СМ ; Cu ; VF ; 1 ; Продано в зале ; 210 
 121 ; Копейка ; 1853 ; ВМ ; Cu ; XF+ ; 36 ; Алексей Викторович ; 10001 
 122 ; Копейка (Петров-3р) ; 1855 ; ВМ ; Cu ; VF+ ; 7 ; Кривой 14 ; 3000 
 123 ; Копейка ; 1856 ; ВМ ; Cu ; VF+ ; 7 ; leo 2 ; 3050 
 124 ; Копейка ; 1858 ; ВМ Венз.уже ; Cu ; VF+ ; 9 ; leo 2 ; 3050 
 125 ; Копейка ; 1899 ; СПБ ; Cu ; AU/XF ; 10 ; Алексей Викторович ; 4862 
 126 ; Денга ; 1792 ; КМ ; Cu ; VF ; 9 ; alex550 ; 470 
 127 ; Денга ; 1795 ; КМ ; Cu ; VF ; 9 ; leo 2 ; 765 
