 101 ; 2 копейки. В капсуле NGC ; 1905 ; СПБ ; Cu ; AU ; 69 ; verunk1 ; 8262 
 102 ; Копейка. В капсуле PCGS ; 1901 ; СПБ ; Cu ; AU ; 17 ; Продано в зале ; 3400 
 51 ; 5 копеек ; 1758 ; СПБ ; Ag ; VF-XF ; 24 ; Sky2 ; 3550 
 52 ; 5 копеек ; 1842 ; СПБ АЧ ; Ag ; VF+ ; 21 ; Продано в зале ; 4800 
 53 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 49 ; verunk1 ; 20607 
 54 ; 5 копеек ; 1883 ; СПБ ДС ; Ag ; AU ; 49 ; verunk1 ; 26067 
 55 ; 5 копеек ; 1883 ; СПБ АГ ; Ag ; AU ; 36 ; tisa66 ; 19890 
 56 ; 5 копеек ; 1899 ; СПБ ЭБ ; Ag ; AU ; 35 ; tisa66 ; 19380 
 57 ; 5 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 32 ; бабушка ; 2805 
 58 ; 5 копеек ; 1910 ; СПБ ЭБ ; Ag ; AU ; 18 ; 25 ; 5440 
 59 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 33 ; zsexdr ; 12240 
 60 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 26 ; zsexdr ; 12735 
 61 ; 10 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF+ ; 18 ; kont ; 7446 
 62 ; 5 копеек ; 1771 ; ЕМ ; Cu ; VF-XF ; 38 ; 1823 ; 1043 
 63 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 32 ; zsexdr ; 7500 
 64 ; 5 копеек ; 1784 ; КМ ; Cu ; XF- ; 59 ; бабушка ; 6515 
 65 ; 5 копеек. Петров-15р., Ильин-25 р. ; 1789 ; ММ ; Cu ; F-VF ; 35 ; форсаж ; 39270 
 66 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF ; 29 ; electra ; 3122 
 67 ; 5 копеек ; 1796 ; ЕМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 1600 
 68 ; 5 копеек ; 1866 ; ЕМ ; Cu ; XF+ ; 40 ; ravs ; 6704 
 69 ; 3 копейки ; 1842 ; ЕМ ; Cu ; VF-XF ; 29 ; Продано в зале ; 3800 
 70 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+ ; 28 ; Andys ; 7177 
 71 ; 2 копейки ; 1840 ; ЕМ ; Cu ; VF+ ; 19 ; Продано в зале ; 1700 
 72 ; 2 копейки ; 1853 ; ЕМ ; Cu ; VF-XF ; 36 ; ravs ; 5555 
 73 ; Копейка. Петров-20 р., Ильин - 25 р. ; 1716 ; БК ; Cu ; F-VF ; 42 ; Продано в зале ; 65000 
 74 ; Копейка ; 1755 ; СПБ ; Cu ; VF ; 45 ; Продано в зале ; 14500 
 75 ; Копейка. Перечекан шведского эре ; 1757 ;  ; Cu ; VF- ; 51 ; Продано в зале ; 8500 
 76 ; Копейка ; 1759 ;  ; Cu ; VF+ ; 42 ; Продано в зале ; 3400 
 77 ; Копейка (Петров-15р, Ильин-20р) ; 1763 ; ЕМ ; Cu ; F- ; 36 ; Продано в зале ; 16500 
 78 ; Копейка ; 1795 ; ЕМ ; Cu ; VF-XF ; 59 ; Продано в зале ; 8000 
 79 ; Копейка ; 1853 ; ЕМ ; Cu ; XF- ; 18 ; ravs ; 1769 
 80 ; Копейка ; 1862 ; ВМ ; Cu ; VF-XF ; 21 ; fgd ; 3631 
 81 ; Копейка ; 1893 ; СПБ ; Cu ; AU ; 18 ; ravs ; 3368 
 82 ; Полушка. Новодел ; 1757 ;  ; Cu ; XF+ ; 25 ; Продано в зале ; 25000 
 83 ; 1/4 копейки. Аверс-реверс - 90 градусов ; 1842 ; СПМ ; Cu ; VF+ ; 66 ; Продано в зале ; 8000 
 84 ; Полушка ; 1797 ; АМ ; Cu ; VF+ ; 147 ; нумизмат ; 15377 
 85 ; Полушка ; 1798 ; АМ ; Cu ; VF ; 33 ; Продано в зале ; 2800 
 86 ; Полушка ; 1850 ; ЕМ ; Cu ; AU/XF ; 14 ; Karhu ; 3627 
 87 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; AU ; 61 ; бабушка ; 4663 
 88 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; AU ; 60 ; Logistik ; 20599 
 89 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; AU ; 52 ; Продано в зале ; 4800 
