 101 ; 5 копеек ; 1763 ; СПМ ; Cu ; VF ; 21 ; metelka ; 2039 
 102 ; 5 копеек ; 1764 ; СПМ ; Cu ; VF- ; 35 ; ZOLTAN333 ; 7395 
 103 ; 5 копеек ; 1766 ; ММ ; Cu ; VF ; 25 ; fgd ; 1473 
 104 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 22 ; papinazu ; 8170 
 105 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; XF ; 142 ; ibug ; 28000 
 106 ; 5 копеек (Ильин - 2р, Петров - 10р) ; 1781 ; КМ ; Cu ; VF+ ; 24 ; yrij ; 15919 
 107 ; 5 копеек ; 1782 ; КМ ; Cu ; VF-XF ; 46 ; Arte ; 4772 
 108 ; 5 копеек ; 1784 ; КМ ; Cu ; XF- ; 37 ; БАЗА К ; 5000 
 109 ; 5 копеек ; 1785 ; КМ ; Cu ; XF- ; 55 ; БАЗА К ; 8000 
 110 ; 5 копеек ; 1787 ; КМ ; Cu ; VF-XF ; 16 ; Продано в зале ; 2400 
 111 ; 5 копеек (петров - 9 руб, Ильин - 10 руб) ; 1787 ; ТМ ; Cu ; F-VF ; 41 ; Продано в зале ; 14500 
 112 ; 5 копеек ; 1789 ; АМ ; Cu ; VF-XF ; 11 ; Продано в зале ; 1300 
 113 ; 5 копеек ; 1790 ; КМ ; Cu ; XF- ; 22 ; БАЗА К ; 4600 
 114 ; 5 копеек ; 1791 ; КМ ; Cu ; VF-XF ; 20 ; Продано в зале ; 4200 
 115 ; 5 копеек ; 1792 ; КМ ; Cu ; XF- ; 11 ; БАЗА К ; 5400 
 116 ; 5 копеек ; 1795 ; КМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 4600 
 117 ; 5 копеек ; 1796 ; КМ ; Cu ; VF-XF ; 13 ; Продано в зале ; 3600 
 118 ; 5 копеек ; 1802 ; КМ ; Cu ; VF+ ; 53 ; Продано в зале ; 9200 
 119 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 22 ; Продано в зале ; 6200 
 120 ; 5 копеек ; 1805 ; ЕМ ; Cu ; XF- ; 19 ; Продано в зале ; 9500 
 121 ; 5 копеек ; 1806 ; КМ ; Cu ; VF+ ; 61 ; БАЗА К ; 7295 
 122 ; 5 копеек ; 1809 ; КМ ; Cu ; XF- ; 166 ; Роман Петрович ; 109242 
 123 ; 5 копеек ; 1869 ; ЕМ ; Cu ; XF ; 35 ; Продано в зале ; 6500 
 124 ; 3 копейки ; 1867 ; СПБ ; Cu ; VF+ ; 19 ; Продано в зале ; 7800 
 125 ; 3 копейки ; 1899 ; СПБ ; Cu ; AU ; 61 ; Роман Петрович ; 6278 
 126 ; 3 копейки ; 1906 ; СПБ ; Cu ; AU ; 45 ; Продано в зале ; 10500 
 127 ; 2 копейки (Петров-10р, Ильин-3р) ; 1758 ;  ; Cu ; VF- ; 33 ; Продано в зале ; 5500 
 128 ; 2 копейки. Брак чеканки ; 1763-1788 ;  ; Cu ; F+ ; 41 ; Продано в зале ; 6000 
 129 ; 2 копейки ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 33 ; Продано в зале ; 3000 
 130 ; 2 копейки ; 1776 ; КМ "Сибирь" ; Cu ; VF ; 15 ; Продано в зале ; 2400 
 131 ; 2 копейки ; 1797 ; КМ ; Cu ; VF-XF ; 10 ; Продано в зале ; 2000 
 132 ; 2 копейки ; 1798 ; КМ ; Cu ; VF-XF ; 10 ; papinazu ; 1530 
 133 ; 2 копейки ; 1812 ; КМ ; Cu ; XF- ; 184 ; БАЗА К ; 12240 
 134 ; 2 копейки (Ильин - 1 руб) ; 1834 ; СМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 17000 
 135 ; Копейка ; 1789 ; ЕМ ; Cu ; VF ; 17 ; БАЗА К ; 2200 
 136 ; Копейка ; 1860 ; ВМ ; Cu ; VF-XF ; 4 ; SPECTR ; 2081 
 137 ; Копейка ; 1891 ; СПБ ; Cu ; AU ; 45 ; tisa66 ; 7000 
 138 ; Денга ; 1770 ; КМ "Сибирь" ; Cu ; VF+ ; 49 ; Продано в зале ; 3200 
 139 ; Деньга ; 1813 ; ИМ ПС ; Cu ; VF+ ; 79 ; Продано в зале ; 2200 
 140 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; XF+ ; 106 ; Продано в зале ; 4200 
 141 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 32 ; niki ; 4080 
 142 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 13 ; Продано в зале ; 2300 
 143 ; Бисти ; 1810 ; Грузия ; Cu ; VF ; 28 ; Продано в зале ; 13000 
 144 ; 2 копейки ; 1991 ; В белом металле ;  ; AU ; 25 ; Продано в зале ; 17500 
 51 ; Полтина ; 1725 ;  ; Ag ; VF-XF ; 45 ; Продано в зале ; 44000 
 52 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 22 ; electra ; 7840 
 53 ; Полтина ; 1877 ; СПБ HI ; Ag ; XF+ ; 29 ; Продано в зале ; 8500 
 54 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; AU/XF ; 23 ; papinazu ; 19000 
 55 ; Полтина ; 1904 ; (АР) АГ ; Ag ; XF- ; 36 ; Продано в зале ; 90000 
 56 ; Полуполтинник ; 1707 ;  ; Ag ; VF+ ; 39 ; Продано в зале ; 104000 
 57 ; Полуполтинник (Петров-8р,Ильин-5р) ; 1765 ; ММД ЕI ; Ag ; VF+ ; 57 ; paul196262 ; 24995 
