 101 ; Знак Отличник финансовой работы  Мин финансов СССР №012271. Удостоверение ; ММД ;  ; Ж/м,эмаль ; XF+ ; 41 ; boroda ; 5712 
 102 ; Знак Отличник финансовой работы  Мин финансов СССР №04022. Удостоверение ;  ;  ; Ж/м,эмаль ; XF ; 45 ; boroda ; 12750 
 103 ; 5 рублей. В капсуле NGC ; 1898 ; (АГ) ; Au ;  ; 33 ; Продано в зале ; 13500 
 104 ; 5 рублей. В капсуле PCGS ; 1899 ; (ФЗ) ; Au ;  ; 33 ; cr4068 ; 12750 
 105 ; Полтина В кпсуле ICG ; 1859 ; СПБ ФБ ; Ag ;  ; 27 ; 222211 ; 6231 
 106 ; 25 копеек В капсуле NGC ; 1858 ; СПБ ФБ ; Ag ;  ; 46 ; lupus47 ; 6777 
 107 ; 5 копеек В капсуле NGC ; 1844 ; СПБ КБ ; Ag ;  ; 46 ; Продано в зале ; 7500 
 108 ; 3 копейки В капсуле ННР ; 1899 ; СПБ ; Cu ;  ; 50 ; Продано в зале ; 7000 
 51 ; 5 копеек (Петров-3р, Ильин-5р) ; 1767 ; СПМ ; Cu ; VF- ; 46 ; Продано в зале ; 7500 
 52 ; 5 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF-XF ; 52 ; ВОДКОЙ НАДО ; 11112 
 53 ; 5 копеек. Нет гурчения ; 1775 ; ЕМ ; Cu ; VF ; 51 ; partanen ; 4307 
 54 ; 5 копеек D-50мм ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 33 ; Продано в зале ; 7000 
 55 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 23 ; Продано в зале ; 1600 
 56 ; 4 копейки ; 1762 ;  ; Cu ; F-VF ; 39 ; ВОДКОЙ НАДО ; 8601 
 57 ; 4 копейки ; 1762 ;  ; Cu ; F-VF ; 51 ; ГУРТОВАЯ НАДПИСЬ ; 6234 
 58 ; 4 копейки ; 1762 ;  ; Cu ; VF ; 59 ; Продано в зале ; 13000 
