 151 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF ; 21 ; Чук ; 1500 
 152 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF ; 11 ; 462 ; 700 
 153 ; 2 копейки ; 1812 ; ИМ ПС ; Cu ; VF-XF ; 21 ; Продано в зале ; 1100 
 154 ; 2 копейки (Ильин-2р) ; 1855 ; ВМ ; Cu ; VF+ ; 92 ; Braslav ; 7000 
 155 ; 2 копейки ; 1900 ; СПБ ; Cu ; AU ; 45 ; Продано в зале ; 5200 
 156 ; Копейка ; 1708 ; МД ; Cu ; VF+ ; 24 ; sheff78 ; 2000 
 157 ; Копейка ; 1711 ; ·БК· ; Cu ; VF+ ; 26 ; Борис Моисеич ; 4000 
 158 ; Копейка ; 1728 ;  ; Cu ; VF ; 34 ; N.A.S.A ; 4200 
 159 ; Копейка ; 1756 ; СПБ ; Cu ; VF ; 47 ; Продано в зале ; 8000 
 160 ; Копейка. Брак ; 1757 ;  ; Cu ; VF ; 21 ; Valera G ; 8500 
 161 ; Копейка ; 1788 ;  ; Cu ; VF+ ; 21 ; Чук ; 3600 
 162 ; Копейка ; 1789 ; ЕМ ; Cu ; VF ; 15 ; Eichhörnchen ; 255 
 163 ; Копейка ; 1790 ; ЕМ ; Cu ; XF- ; 21 ; Braslav ; 2400 
 164 ; Копейка ; 1798 ; ЕМ ; Cu ; VF-XF ; 33 ; Braslav ; 2200 
 165 ; Копейка ; 1846 ; СМ ; Cu ; XF- ; 24 ; N.A.S.A ; 1300 
 166 ; Копейка ; 1881 ; СПБ ; Cu ; XF+ ; 40 ; обморок ; 1600 
 167 ; Копейка ; 1897 ; СПБ ; Cu ; XF+ ; 29 ; fgd ; 1700 
 168 ; Копейка ; 1898 ; СПБ ; Cu ; XF+ ; 9 ; Vivi an ; 1530 
 169 ; Копейка ; 1903 ; СПБ ; Cu ; XF+ ; 11 ; Loggi ; 320 
 170 ; Копейка. В капсуле NGC ; 1904 ; СПБ ; Cu ;  ; 29 ; CapsulЪ ; 10500 
 171 ; Копейка ; 1908 ; СПБ ; Cu ; AU ; 49 ; Braslav ; 3000 
 172 ; Денга (Петров-1р) ; 1713 ;  ; Cu ; VF- ; 17 ; Великий Могол ; 2800 
 173 ; Денга ; 1788 ;  ; Cu ; VF ; 23 ; Чук ; 2800 
 174 ; Денга ; 1790 ; ЕМ ; Cu ; VF+ ; 17 ; Чук ; 2200 
 175 ; Денга ; 1795 ; ЕМ ; Cu ; VF+ ; 12 ; N.A.S.A ; 850 
 176 ; Денга ; 1796 ; ЕМ ; Cu ; VF ; 27 ; Sky2 ; 1836 
 177 ; 1/2 копейки ; 1840 ; СПМ ; Cu ; VF ; 11 ; electra ; 600 
 178 ; Денежка ; 1853 ; ЕМ ; Cu ; XF ; 20 ; JohnSilver ; 2390 
 179 ; Денежка. В капсуле NGC ; 1854 ; ЕМ ; Cu ;  ; 37 ; CapsulЪ ; 9500 
 180 ; Денежка ; 1859 ; ВМ ; Cu ; XF ; 31 ; Braslav ; 4600 
 181 ; 1/2 копейки ; 1880 ; СПБ ; Cu ; XF ; 26 ; sdv75-2010 ; 2600 
 182 ; 1/2 копейки ; 1887 ; СПБ ; Cu ; XF+ ; 24 ; sdv75-2010 ; 3200 
 183 ; 1/2 копейки ; 1893 ; СПБ ; Cu ; XF+ ; 18 ; aaaaaa1971 ; 1534 
 184 ; Полушка (Петров-1р) ; 1707 ;  ; Cu ; VF ; 54 ; Великий Могол ; 2400 
 185 ; Полушка. В капсуле NGC ; 1790 ; ЕМ ; Cu ;  ; 35 ; CapsulЪ ; 8000 
 186 ; Полушка ; 1797 ; АМ ; Cu ; VF ; 29 ; Продано в зале ; 3800 
 187 ; Полушка (Петров-3р, Ильин-3р) ; 1797 ; КМ ; Cu ; VF- ; 25 ; Чук ; 2345 
 188 ; Полушка ; 1798 ; ЕМ ; Cu ; VF ; 35 ; Sky2 ; 3600 
 189 ; Полушка (Петров-3р, Ильин-3р) ; 1804 ; КМ ; Cu ; VF ; 59 ; sheff78 ; 13000 
 190 ; Полушка ; 1850 ; ЕМ ; Cu ; XF ; 51 ; sax ; 3000 
 191 ; Полушка ; 1850 ; ЕМ ; Cu ; XF ; 24 ; anna53 ; 3000 
 192 ; 3 копейки ; 1958 ;  ;  ; VF+ ; 36 ; Продано в зале ; 42000 
 193 ; Жетон На коронация Николая I. D-27мм ; 1826 ;  ; Ag ; XF ; 52 ; Alex22D ; 7250 
