 101 ; 1/2 копейки ; 1916 ;  ; Cu ; AU ; 79 ; Продано в зале ; 32000 
 102 ; Полушка. Капсула ; 1854 ; ЕМ ; Cu ;  ; 15 ; sax ; 9000 
 103 ; Полушка. Капсула ; 1862 ; ЕМ ; Cu ;  ; 32 ; Shootnic ; 17000 
 104 ; Полушка ; 1720 ; НД ; Cu ; VF+ ; 56 ; Продано в зале ; 9000 
 105 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; VF+ ; 75 ; CapsulЪ ; 6750 
 106 ; 1/4 копейки ; 1872 ; ЕМ ; Cu ; XF ; 84 ; sdv75-2010 ; 13000 
 107 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; XF+ ; 27 ; Аргонавт ; 4800 
 108 ; Полубисти. М-9,81г ; 1796 ; Грузия ; Cu ; VF- ; 84 ; креативчик ; 22315 
 109 ; Медаль. От императорской Академии Художеств. За успехи в рисовании. Резал П. Уткин, Копировал М. Кучкин. D - 51мм. M-63г. 1830г ;  ;  ; Ag ; XF ; 53 ; Продано в зале ; 35000 
 110 ; Знак Иркутская школа прапорщиков ;  ;  ; Ag ; VF-XF ; 35 ; Продано в зале ; 20000 
 111 ; Знак II выпуск 1922 г 63 Симферопольские пехотные командирские курсы ;  ;  ; Ag ; VF ; 61 ; arsenich-s ; 15980 
 51 ; 20 копеек ; 1829 ; СПБ НГ ; Ag ; XF+ ; 89 ; CapsulЪ ; 52500 
 52 ; 20 копеек. Капсула ; 1862 ; СПБ МИ ; Ag ;  ; 42 ; papinazu ; 3400 
 53 ; 15 копеек ; 1783 ; СПБ ; Ag ; XF ; 84 ; tisa66 ; 12119 
 54 ; 15 копеек. Капсула ; 1861 ; СПБ ФБ ; Ag ;  ; 71 ; Shootnic ; 16000 
 55 ; 15 копеек ; 1900 ; СПБ ФЗ ; Ag ; XF+ ; 21 ; Moryak ; 4500 
 56 ; 15 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 73 ; CapsulЪ ; 10000 
 57 ; 15 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 61 ; CapsulЪ ; 9000 
 58 ; 15 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 64 ; CapsulЪ ; 9500 
 59 ; 15 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 43 ; катран1970 ; 3600 
 60 ; 15 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 28 ; Shootnic ; 5000 
 61 ; Гривенник ; 1785 ; СПБ ; Ag ; XF ; 79 ; СтаровеР ; 17000 
 62 ; 10 копеек ; 1798 ; СМ МБ ; Ag ; XF ; 20 ; Продано в зале ; 42000 
 63 ; 10 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 109 ; CapsulЪ ; 19000 
 64 ; 10 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 66 ; vanya ; 12000 
 65 ; 10 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 56 ; Продано в зале ; 10000 
 66 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 57 ; I3 ; 7000 
 67 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 60 ; I3 ; 6000 
 68 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; VF ; 30 ; Ravak_1981 ; 18000 
 69 ; 5 копеек ; 1819 ; СПБ ПС ; Ag ; XF ; 27 ; I3 ; 3267 
