 351 ; Рубль. В капсуле NGC ; 1850 ; СПБ ПА ; Ag ; AU 55 ; 41 ; Участник № 1168 ; 11000 
 352 ; Рубль. В капсуле NGC ; 1877 ; СПБ HI ; Ag ; MS 60 ; 36 ; Участник № 1168 ; 9500 
 353 ; Медаль. А.С. Пушкин (1799-1837) ; 1862 ;  ; Ж/м ; AU ; 30 ; avatar ; 5667 
 354 ; Колодка из 3-х наград: Георгиевский крест 3 (№410752),4 степени (№560459) (Номера по каталогу "Конрос" О13/16, О13/17), Медаль "В память 300-летия Дома Романовых" на оригинальной колодке () ;  ;  ; Ag,Br ; F-VF/VF+ ; 18 ; Mike! ; 24480 
 355 ; Знак ордена Святого Равноапостольного Князя Владимира IV степени, выдача из Капитула, мастерская Д.Осипова. Br. Позолота, эмаль. Размеры: 34,4 на 34,6мм ; 1916 ; Владимира IV ст. ; Br,позол,э ; VF+ ; 16 ; Участник № 30 ; 25000 
 356 ; Знак ордена Св. Анны II ст. с мечами. Выдача из Капитула. Фирма "Эдуард". Br, позолота, эмаль. Размеры: 44,4 на 43,5мм ; 1916 ;  ; Br,позол,э ; VF+ ; 15 ; Участник № 30 ; 12000 
 357 ; Знак ордена Св. Анны III ст. с мечами. Выдача из Капитула. Фирма "Эдуард". Br, позолота, эмаль. Размеры: 36,2 на 36,2мм ; 1916 ;  ; Br,позол,э ; VF+ ; 11 ; Участник № 115 ; 16000 
 358 ; Знак ордена Св. Станислава II ст. с мечами. Выдача из Капитула. Фирма "Эдуард". Br, позолота, эмаль. Размеры: 48,3 на 48,2мм ; 1916 ;  ; Br,позол,э ; XF ; 29 ; Участник № 30 ; 18000 
 359 ; Знак ордена Св. Станислава II ст. с мечами. Временное правительство. Выдача из Капитула. Фирма "Эдуард". Br, позолота,эмаль. Размеры: 48,2 на 48мм ; 1917 ;  ; Br,позол,э ; XF ; 17 ; Участник № 30 ; 26000 
 360 ; Знак ордена Св. Станислава III ст. с мечами. Выдача из Капитула. Фирма "Эдуард". Br, позолота, эмаль. Размеры: 37,3 на 38мм ; 1916 ;  ; Br,позол,э ; VF+ ; 11 ; Участник № 30 ; 15000 
 361 ; Знак. Морское благотворительное общество ;  ;  ; Ag,эмаль ; VF-XF ; 27 ; ветер99 ; 9862 
 301 ; 10 копеек ; 1880 ; СПБ НФ ; Ag ; AU/XF ; 9 ; 58901 ; 2255 
 302 ; 3 копейки ; 1880 ; СПБ ; Cu ; AU ; 19 ; Участник № 1204 ; 6500 
 303 ; 1/4 копейки ; 1881 ; СПБ ; Cu ; AU ; 30 ; tisa66 ; 4641 
 304 ; 5 копеек ; 1882 ; СПБ НФ ; Ag ; Unc/AU ; 7 ; Участник № 1204 ; 3200 
 305 ; 1/2 копейки ; 1882 ; СПБ ; Cu ; XF- ; 52 ; Олег33 ; 2907 
 306 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 17 ; kor ; 12000 
 307 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 40 ; elac ; 15000 
 308 ; 20 копеек ; 1883 ; СПБ ДС ; Ag ; AU ; 20 ; Участник № 133 ; 9000 
 309 ; 1/2 копейки ; 1883 ; СПБ ; Cu ; XF- ; 21 ; батя ; 1312 
 310 ; 1 пенни ; 1884 ; Финляндия ; Cu ; XF- ; 20 ; Участник № 222 ; 6000 
 311 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; XF+ ; 35 ; Участник № 1341 ; 2100 
 312 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; XF+ ; 13 ; Участник № 133 ; 2200 
 313 ; 20 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 6 ; Участник № 636 ; 5500 
 314 ; 5 копеек ; 1887 ; СПБ АГ ; Ag ; Unc/AU ; 12 ; tisa66 ; 2200 
 315 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; XF ; 20 ; Участник № 1341 ; 1300 
 316 ; 1/2 копейки ; 1890 ; СПБ ; Cu ; XF ; 35 ; kol ; 2917 
 317 ; Рубль ; 1891 ; (АГ) ; Ag ; XF ; 35 ; Участник № 1462 ; 20000 
 318 ; 5 копеек ; 1891 ; СПБ АГ ; Ag ; Unc/AU ; 9 ; Участник № 133 ; 550 
 319 ; Рубль ; 1892 ; (АГ) ; Ag ; VF-XF/XF ; 4 ; fikus ; 19800 
 320 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; XF+ ; 14 ; Участник № 1341 ; 1300 
 321 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; XF+ ; 80 ; Zaratus ; 2550 
 322 ; Рубль ; 1893 ; (АГ) ; Ag ; AU ; 51 ; Участник № 1462 ; 34000 
