 151 ; Жетон. В память заключения мира с Турцией. Екатерина II. СПб м.двор. D-23мм ; 1791 ;  ; Ag ; XF+ ; 23 ; serg2010 ; 14000 
 152 ; Жетон в память коронации Александра II. D-22мм ;  ;  ; Ag ; AU ; 27 ; Участник № 1699 ; 8000 
 153 ; Георгиевский крест IV ст. №729651. Р-ры: 34х34мм ; 1914-1915 ;  ; Ag ; VF-XF ; 8 ; лена ; 15000 
 154 ; Медаль "За усмирение польского мятежа 1863-1864гг". Частная чеканка. D-28мм ;  ;  ; Br ; XF ; 19 ; Sky2 ; 4533 
 155 ; Медаль "За покорение ханства Коканского 1875-1876гг". Александр II. D-28мм ;  ;  ; Br ; VF+ ; 55 ; Участник № 2 ; 45000 
 156 ; Медаль. За усердие. Александр III. СПб мон. двор. D-50мм ;  ;  ; Ag ; VF+ ; 32 ; smirnoff ; 36000 
 157 ; Медаль. "В память Царя. верно Ему послужившим 1825-1855". Частная чеканка. D-28мм ;  ;  ; Br ; XF/AU ; 17 ; smirnoff ; 6574 
 158 ; Медаль. В память царствования Александра III. СПб мон. двор. D-28мм ; 1894 ;  ; Ag ; VF+ ; 7 ; Ohotnik ; 3111 
 159 ; Медаль. За усердие. Имп. Николай II. Санкт-Петербургский Монетный двор. D-51мм ;  ;  ; Ag ; AU ; 29 ; Участник № 392 ; 18700 
 160 ; Медаль. Финляндского общество сельских хозяев. Николай II. D-29мм ;  ;  ; Br темная ; XF+ ; 27 ; Участник № 623 ; 5200 
 161 ; Георгиевская медаль 3 степени. Временное правительство. №278166. Петроградский м.двор. D-28мм ;  ;  ; Б/м ; AU/XF ; 11 ; hugo ; 11220 
 162 ; Медаль Борцам за Родину и Свободу. Частная чеканка. D-28мм ; 1917 ;  ; Б/м ; XF ; 13 ; 015 ; 7037 
 163 ; Медаль Борцам за Родину и Свободу. Частная чеканка. D-28мм ; 1917 ;  ; Br ; XF ; 19 ; 015 ; 7322 
 164 ; Медаль. 3 года Советской власти 1917-1920гг РСФСР. Петроградский мон. двор D-35мм ;  ;  ; Br ; XF ; 17 ; Участник № 392 ; 13000 
 165 ; Жетон. Императорская Российская академия. Размеры: 48 на 48мм. СПб мон. двор. Отверстие ; 1783 ;  ; Ag ; VF+ ; 17 ; 1313 ; 6000 
 166 ; Жетон. Община Св.Елизаветы. На о/с А.А.Яуну Альксне. Размеры: 26 на 45мм ; 1900 ;  ; Ag,эмаль ; XF+ ; 26 ; 015 ; 11220 
 167 ; Жетон. 30 лет М.Д.К.Л. 03.04.1907. На о/с А.Д.Муретов. Размеры: 22 на 35мм ; 1907 ;  ; Ag,эмаль ; XF+ ; 23 ; 015 ; 11220 
 168 ; Жетон. Мартышкино. В.С.Сергеева. Размеры: 23 на 27мм ; 1911 ;  ; Ag?,эмаль ; AU ; 43 ; 015 ; 11220 
 169 ; Жетон. С.И. Ступинину "Русское спасибо" И.А.Смолина. Размеры: 19 на 36мм ; 1913 ;  ; Ag ; XF ; 25 ; 015 ; 2193 
 170 ; Жетон. Клуб Духовому оркестру. На о/с И.Степанов. 05.03. 1923-27. Размеры: 25 на 35мм ; 1927 ;  ; Ag,эмаль ; XF/AU ; 11 ; Участник № 392 ; 3600 
 171 ; Медаль. За труды и усердие. Юрьевское Эстское Сельскохозяйственное общество ;  ;  ; Br ; XF+ ; 6 ; Участник № 100 ; 4400 
