 201 ; Рубль ; 1912 ; (ЭБ) На открытие памятника Александру III ; Ag ; VF-XF ; 42 ; Продано в зале ; 220000 
 202 ; Рубль ; 1914 ; На 200-летие гангутского сражения ; Ag ; XF ; 40 ; Продано в зале ; 315000 
 203 ; Рубль ; 1915 ; (ВС) ; Ag ; XF+ ; 21 ; lelic ; 18359 
 204 ; 1/2 копейки ; 1916 ;  ; Cu ; AU ; 33 ; PrimeR ; 15504 
 205 ; 10 золотн. ;  ; АД ;  ; VF+ ; 39 ; OMT ; 19380 
 206 ; 1 золотн. ;  ; АД ; Ag ; XF+ ; 28 ; каламбурчик ; 11106 
 207 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; AU ; 29 ; dsidorov ; 9600 
 208 ; 2 копейки ; 1924 ; Гурт гладкий ; Cu ; AU ; 44 ; Продано в зале ; 12500 
 209 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; AU ; 28 ; Продано в зале ; 4100 
 210 ; 1 рубль ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ; Al ; XF+ ; 73 ; sergey8 ; 36720 
 211 ; 20 копеек. М-3,01гр ; 1990 ; В желтом металле ; Ж/м ; XF ; 67 ; sergey8 ; 39666 
 212 ; Жетон "В память коронации Елизаветы". D-21мм ; 1742 ;  ; Ag ; VF+ ; 23 ; Продано в зале ; 7200 
 213 ; Жетон. На коронацию Екатерины II. D-20мм ; 1762 ;  ; Ag ; VF-XF ; 15 ; Продано в зале ; 7200 
 214 ; Жетон. Мир со Швецией-заключен 3 августа 1790г. D-21мм ;  ;  ; Ag ; VF+ ; 13 ; magnet8 ; 4182 
 215 ; Знак ордена Св. Станислава III ст. с серьгой. Выдача из Капитула. Фирма "Кейбель". Р-ры: 40х40мм. Вес=9,91Г (с серьгой). ; 1855-1916 ; Золото, эмаль. ; Au,эмаль ; XF+ ; 41 ; Игорь Викторович ; 48450 
 216 ; Георгиевский крест II ст. №49916. Р-ры: 34х34мм ; 1914-1915 ;  ; Au ; VF-XF ; 33 ; Игорь Викторович ; 127500 
 217 ; Георгиевский крест I ст. № 36805. Р-ры: 34х34мм ; 1916 ;  ; ж.м. ; XF- ; 35 ; Продано в зале ; 52000 
 218 ; Медаль "За усердие". D-30мм. М-23,5г ;  ;  ; Au ; VF+ ; 43 ; nikolas1957 ; 50000 
 219 ; Георгиевская медаль III ст. № 20871. имп. Николай II. D-28мм ;  ;  ; Ag ; VF-XF ; 34 ; Десна ; 9180 
 220 ; Георгиевская медаль 4 степени №219424. D-28мм ;  ;  ; Ag ; VF-XF ; 32 ; verunk1 ; 9180 
 221 ; Медаль "За покорение Чечни и Дагестана 1857-1859гг". D-28мм ;  ;  ; Ag ; VF- ; 27 ; rib1959 ; 14790 
 222 ; Медаль "За поход в Китай 1900-1901". D-28мм. Частная чеканка ;  ;  ; Ag ; XF+ ; 25 ; sail ; 19153 
 223 ; Медаль Красного креста "За Русско-японскую войну 1904-1905". D-23мм. Частная чеканка ;  ;  ; Ag,эмаль ; AU ; 29 ; Продано в зале ; 19500 
 224 ; Знак об окончании Института Инженеров путей сообщения. Неизвестная мастерская. Р-ры: 58х47мм. М-40,84гр ;  ;  ; Ag ; XF+ ; 34 ; nikolas1957 ; 35700 
 225 ; Знак в память 50-летия земских учреждений. Мастерская "Э. Кортман". Р-ры: 67х40мм. М-44,10гр ;  ;  ; Br,зол,сер,эмал ; XF+ ; 23 ; 462 ; 31212 
 226 ; Знак Высшей награды ведомства учреждений Императрицы Марии. Неизвестная мастерская. Р-ры: 45х25мм. М-10,98гр ;  ;  ; Ag,позол.,эмаль ; XF+ ; 11 ; nikolas1957 ; 20400 
 227 ; Жетон среднего учебного заведения. Р-ры: 52 на 43мм ; 1916 ;  ; Ag,эмаль ; XF+ ; 39 ; Продано в зале ; 27000 
 228 ; Жетон особого комитета по усилению военно-воздушного флота России "Сила России воздушный флот". Р-ры: 22х37 мм. ;  ;  ; Ag,позол,эмаль ; XF+ ; 22 ; verunk1 ; 18360 
 229 ; Жетон среднего учебного заведения. Р-ры: 40 на 52мм ; 1919-1929 ;  ; Ag,позол,эмаль ; XF+ ; 9 ; hugo ; 13000 
 230 ; Жетон. Железная дорога Полоцк-Седлец. Р-ры: 24х20мм ;  ;  ; Ag, накладки Au ; XF- ; 30 ; Продано в зале ; 18500 
 231 ; Жетон среднего учебного заведения. Р-ры: 23 на 50мм ; 1918 ;  ; Ag, позол,эмаль ; XF+ ; 13 ; Продано в зале ; 17500 
 232 ; Жетон среднего учебного заведения. Р-ры: 40 на 44мм ;  ;  ; Ag,эмаль ; AU ; 19 ; 015 ; 15000 
 233 ; Жетон среднего учебного заведения. Р-ры: 40 на 45мм ;  ;  ; Ag, позол,эмаль ; XF+ ; 25 ; 015 ; 15000 
 234 ; Жетон среднего учебного заведения. Р-ры: 30 на 33мм ; 1926 ;  ; Ag,эмаль ; XF+ ; 15 ; hugo ; 13000 
 235 ; Жетон. Первая морская победа при Гангуте. D-28мм ;  ;  ; Br ; XF+ ; 34 ; Десна ; 12921 
 236 ; Знак Солтыса. Петроковской губернии. Р-ры: 49 на 52мм ; 1864 ;  ; Br ; XF- ; 60 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 7719 
 237 ; Знак Помощник Волостного старшины Эстляндской губернии (Ревель, на булавке). Р-ры: 47 на 45мм ; 1866 ;  ; Br ; XF- ; 55 ; 675МК ; 9430 
 238 ; Медаль. В память 500-летия русской артиллерии (1389-1889). Дмитрий Донской-Александр III. Александр III император и самодержиц всероссийский. D-93мм ;  ;  ; Cu ; XF+ ; 21 ; тигр ; 20000 
 239 ; Медаль. В память 100-летнего Юбилея Устава Московского университета (1755-1855). Елизавета I императрица и самодержица  всероссийская. D-79мм ;  ;  ; Cu ; AU ; 27 ; тигр ; 20000 
 240 ; Медаль. Установка памятника Александру III в Хельсинки 1894г. Александр II император и великий князь. D-68мм. Медальер Грилихес мл. ;  ;  ; Cu ; AU ; 19 ; 0987654321 ; 5214 
 241 ; Медаль "В память празднования в Финляндии 700-летнего юбилея от введения христианства" СПб мон двор. Медальер  А.П.Лялин. D-56мм ; 1857 ;  ; Cu ; XF- ; 19 ; Boltnev ; 5214 
 242 ; Медаль За трудолюбие и искусство от министерства финансов. Имп. Николай II. D-50мм ;  ;  ; Cu ; AU ; 28 ; тигр ; 10000 
 151 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 17 ; Продано в зале ; 4800 
 152 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF- ; 24 ; Продано в зале ; 7500 
 153 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF+ ; 22 ; Продано в зале ; 15000 
 154 ; Копейка ; 1852 ; ЕМ ; Cu ; XF+ ; 64 ; Продано в зале ; 2100 
 155 ; Рубль ; 1853 ; СПБ HI ; Ag ; XF+ ; 48 ; verunk1 ; 23052 
 156 ; 5 копеек ; 1854 ; СПБ HI ; Ag ; AU ; 33 ; каламбурчик ; 4778 
 157 ; Рубль ; 1855 ; СПБ HI ; Ag ; VF-XF ; 27 ; denizen ; 9500 
 158 ; 3 копейки ; 1855 ; ЕМ ; Cu ; VF+ ; 28 ; Продано в зале ; 1400 
 159 ; Полушка ; 1855 ; ВМ ; Cu ; VF-XF ; 66 ; monos72 ; 19146 
 160 ; 5 копеек ; 1856 ; ЕМ ; Cu ; VF-XF ; 23 ; DennisG ; 1979 
 161 ; 5 копеек ; 1857 ; ЕМ ; Cu ; VF-XF ; 45 ; Продано в зале ; 3600 
 162 ; 5 копеек ; 1858 ; ЕМ ; Cu ; XF- ; 34 ; Продано в зале ; 3600 
 163 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; VF-XF ; 19 ; Продано в зале ; 42000 
 164 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 42 ; 565566 ; 9100 
 165 ; 20 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 31 ; DennisG ; 7500 
 166 ; 15 копеек (Петров-1,5р) ; 1861 ; СПБ МИ ; Ag ; VF-XF ; 44 ; Продано в зале ; 16000 
 167 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 17 ; DennisG ; 1078 
 168 ; 5 пенни ; 1865 ; Финляндия ; Cu ; VF+ ; 17 ; DennisG ; 1690 
 169 ; 1 пенни ; 1870 ; Финляндия ; Cu ; XF- ; 28 ; каламбурчик ; 8166 
 170 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF+ ; 61 ; долгово ; 28560 
 171 ; 2 копейки ; 1876 ; СПБ ; Cu ; XF+ ; 47 ; verunk1 ; 6687 
 172 ; 5 копеек. В капсуле NGC ; 1882 ; СПБ НФ ; Ag ; MS 63 ; 12 ; 525 ; 2552 
 173 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 27 ; icebreaker ; 13830 
 174 ; 2 копейки ; 1884 ; СПБ ; Cu ; XF+ ; 45 ; verunk1 ; 7933 
 175 ; 25 копеек ; 1886 ; (АГ) АГ ; Ag ; VF+ ; 30 ; Продано в зале ; 23000 
 176 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 27 ; Продано в зале ; 2600 
 177 ; Рубль ; 1893 ; (АГ) ; Ag ; XF ; 27 ; verunk1 ; 18000 
 178 ; 2 копейки ; 1893 ; СПБ ; Cu ; AU ; 63 ; Продано в зале ; 5500 
 179 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 31 ; PrimeR ; 21760 
 180 ; Полтина ; 1896 ; (АГ) АГ ; Ag ; VF-XF ; 21 ; Продано в зале ; 2800 
 181 ; 25 копеек ; 1896 ; АГ ; Ag ; XF/AU ; 15 ; 565566 ; 2700 
 182 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF+ ; 15 ; Продано в зале ; 120000 
 183 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF ; 61 ; Продано в зале ; 108000 
 184 ; 3 копейки ; 1898 ; СПБ ; Cu ; AU ; 25 ; verunk1 ; 7344 
 185 ; 15 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 13 ; verunk1 ; 4182 
 186 ; Рубль ; 1902 ; (АР) ; Ag ; VF-XF ; 18 ; Продано в зале ; 9000 
 187 ; 10 копеек. В капсуле NGC ; 1902 ; СПБ АР ; Ag ; MS 65 ; 21 ; 525 ; 9180 
 188 ; Рубль ; 1903 ; (АР) ; Ag ; XF ; 61 ; sail ; 78030 
 189 ; 10 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 36 ; PrimeR ; 5100 
 190 ; 20 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 21 ; 64-1252 ; 3264 
 191 ; 15 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 23 ; PrimeR ; 3287 
 192 ; 3 копейки ; 1904 ; СПБ ; Cu ; AU ; 19 ; Продано в зале ; 9000 
 193 ; 15 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 9 ; verunk1 ; 1700 
 194 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 17 ; PrimeR ; 1622 
 195 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 23 ; Продано в зале ; 900 
 196 ; Рубль ; 1909 ; (ЭБ) ; Ag ; XF- ; 20 ; 462 ; 22000 
 197 ; Рубль ; 1910 ; (ЭБ) ; Ag ; XF- ; 27 ; verunk1 ; 19300 
 198 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF ; 16 ; 654321 ; 18900 
 199 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF ; 13 ; dsidorov ; 12013 
 200 ; Рубль ; 1912 ; (ЭБ) На открытие памятника Александру III ; Ag ; AU ; 60 ; Продано в зале ; 305000 
 101 ; 2 копейки ; 1795 ; ЕМ ; Cu ; VF+ ; 15 ; Продано в зале ; 4000 
 102 ; Полтина ; 1796 ; СПБ IC ; Ag ; VF+ ; 23 ; Продано в зале ; 34000 
 103 ; Талер ; 1798 ; для княжества йевер ; Ag ; VF-XF ; 55 ; int1965708 ; 52000 
 104 ; 2 копейки ; 1799 ; КМ ; Cu ; VF+ ; 15 ; 64-1252 ; 714 
 105 ; Копейка ; 1800 ; ЕМ ; Cu ; VF-XF ; 22 ; DED ; 1400 
 106 ; Рубль (Петров-3р, Ильин-3р) ; 1801 ; СМ ФЦ ; Ag ; VF+ ; 32 ; долгово ; 28000 
 107 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+ ; 43 ; Продано в зале ; 8000 
 108 ; 2 копейки ; 1802 ; ЕМ ; Cu ; F-VF ; 27 ; Продано в зале ; 7500 
 109 ; 5 копеек (Ильин-3р) ; 1803 ; ЕМ ; Cu ; VF+ ; 33 ; monos72 ; 21000 
 110 ; 5 копеек (Ильин-3р) ; 1803 ; ЕМ ; Cu ; VF+ ; 38 ; Продано в зале ; 20000 
 111 ; Рубль ; 1804 ; СПБ ФГ ; Ag ; XF ; 75 ; Продано в зале ; 61000 
 112 ; Рубль ; 1808 ; СПБ МК ; Ag ; XF- ; 33 ; долгово ; 32022 
 113 ; 5 копеек (Ильин-1р) ; 1808 ; ЕМ ; Cu ; VF+ ; 25 ; OMT ; 10404 
 114 ; Рубль ; 1810 ; СПБ ФГ ; Ag ; VF-XF ; 40 ; Продано в зале ; 31000 
 115 ; 20 копеек (Петров-1р) ; 1810 ; СПБ ФГ ; Ag ; XF- ; 61 ; Продано в зале ; 4000 
 116 ; 5 копеек (Петров-7р, Ильин-5р) ; 1810 ; КМ ; Cu ; VF ; 11 ; Продано в зале ; 10500 
 117 ; 2 копейки ; 1810 ; КМ ; Cu ; VF+ ; 37 ; OMT ; 1736 
 118 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF+ ; 23 ; crackjack ; 1700 
 119 ; Двойной абаз (Ильин-3р) ; 1810 ; АТ Грузия ; Ag ; VF- ; 33 ; 675МК ; 5100 
 120 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF- ; 15 ; Продано в зале ; 4000 
 121 ; 2 копейки. Аверс-ревес - 50 градусов ; 1811 ; СПБ ПС ; Cu ; VF+ ; 11 ; 64-1252 ; 260 
 122 ; Рубль ; 1812 ; СПБ МФ ; Ag ; VF-XF ; 24 ; Продано в зале ; 5200 
 123 ; 2 копейки (Петров-7р) ; 1814 ; СПБ ПС ; Cu ; VF- ; 21 ; Продано в зале ; 7200 
 124 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF+ ; 35 ; 496 ; 15922 
 125 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 29 ; 496 ; 16932 
 126 ; 5 копеек ; 1819 ; СПБ ПС ; Ag ; XF+ ; 57 ; 25 ; 6800 
 127 ; Копейка ; 1820 ; КМ АД ; Cu ; VF-XF ; 16 ; Продано в зале ; 3400 
 128 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; XF ; 24 ; verunk1 ; 5202 
 129 ; Копейка ; 1822 ; КМ АМ ; Cu ; VF-XF ; 22 ; Продано в зале ; 4000 
