 101 ; 3 копейки ; 1876 ; СПБ ; Cu ; XF+ ; 44 ; SSK ; 3400 
 102 ; 2 копейки ; 1758 ;  ; Cu ; VF+ ; 7 ; кs ; 1022 
 103 ; 2 копейки ; 1759 ;  ; Cu ; VF+ ; 34 ; кs ; 1022 
 104 ; 2 копейки ; 1763 ; ММ ; Cu ; VF+ ; 39 ; Продано в зале ; 900 
 105 ; 2 копейки ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 7 ; arsenich-s ; 1300 
 106 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF+ ; 5 ; Продано в зале ; 1600 
 107 ; 2 копейки (Ильин - 3р). Гурт - узор ; 1795 ; ММ ; Cu ; VF- ; 74 ; antonov ; 28559 
 108 ; Копейка ; 1711 ; МД ; Cu ; VF ; 29 ; monos72 ; 4534 
 109 ; Копейка ; 1713 ; НД ; Cu ; VF+ ; 25 ; Продано в зале ; 3600 
 110 ; Копейка. В капсуле NGC ; 1832 ; ЕМ ФХ ; Cu ; MS 64 ; 61 ; Продано в зале ; 16000 
 111 ; Копейка ; 1841 ; СПМ ; Cu ; XF ; 41 ; corr ; 1734 
 112 ; Денга ; 1700 ;  ; Cu ; VF ; 13 ; Продано в зале ; 3800 
 113 ; Денга ; 1738 ;  ; Cu ; VF-XF ; 23 ; rej 54 ; 666 
 114 ; Денга ; 1794 ; КМ ; Cu ; VF- ; 20 ; арбат ; 700 
 115 ; Деньга (Петров-4р, Ильин-3р) ; 1813 ; КМ АМ ; Cu ; VF ; 30 ; ANK ; 5826 
 116 ; 1/2 копейки ; 1841 ; ЕМ ; Cu ; XF- ; 31 ; corr ; 2040 
 117 ; 1/2 копейки ; 1846 ; СМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 2300 
 118 ; 1/2 копейки ; 1867 ; СПБ ; Cu ; XF- ; 34 ; весенnik ; 7933 
 119 ; 1/2 копейки ; 1887 ; СПБ ; Cu ; XF+ ; 27 ; elac ; 1679 
 120 ; Полушка ; 1735 ; Орёл 1735 г. ; Cu ; VF-XF ; 36 ; dsa ; 1134 
 121 ; Жетон  в память коронации Николая I . D-22мм ;  ;  ; Ag ; XF/AU ; 18 ; весенnik ; 11000 
 122 ; Жетон. На коронацию Николая II. D-25мм ; 1896 ;  ; Ag ; AU ; 6 ; Продано в зале ; 4400 
 123 ; Георгиевский крест IV ст. № 178855. Р-ры: 34х34мм ; 1914-1915 ;  ; Ag ; VF+ ; 28 ; Продано в зале ; 16000 
 124 ; Медаль. За Усердие. Имп. Николай II. D-30мм ;  ;  ; Ag ; XF ; 27 ; kucz.79 ; 3400 
 125 ; Жетон об окончании среднего учебного заведения. Р-ры: 48х28мм ;  ;  ; Ag ; XF- ; 9 ; hugo ; 10000 
