 151 ; 2 копейки. В капсуле NGC ; 1854 ; ЕМ ; Cu ; AU 53BN ; 19 ; digh ; 4102 
 152 ; 2 копейки ; 1859 ; ЕМ ; Cu ; VF-XF ; 9 ; Продано в зале ; 1300 
 153 ; 2 копейки ; 1860 ; ВМ ; Cu ; VF-XF ; 15 ; Продано в зале ; 4200 
 154 ; 2 копейки ; 1899 ; СПБ ; Cu ; XF- ; 10 ; Молот ; 1022 
 155 ; Копейка ; 1756 ; ММД ; Cu ; VF ; 35 ; Продано в зале ; 5800 
 156 ; Копейка ; 1757 ;  ;  ; AU ; 29 ; арбат ; 35702 
 157 ; Копейка (Петров-8р, Ильин-8р) ; 1764 ; ММ ; Cu ; F+ ; 33 ; Isay ; 13600 
 158 ; Копейка ; 1771 ; КМ "Сибирь" ; Cu ; VF-XF ; 6 ; Xxzx ; 3526 
 159 ; Копейка ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 9 ; Xxzx ; 1200 
 160 ; Копейка ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 26 ; Продано в зале ; 3000 
 161 ; Копейка ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 21 ; 7на8 8на7 ; 2063 
 162 ; Копейка ; 1840 ; ЕМ ; Cu ; XF ; 8 ; Продано в зале ; 4600 
 163 ; Копейка ; 1858 ; ВМ Венз.уже ; Cu ; XF+ ; 53 ; Алексей Викторович ; 19190 
 164 ; Копейка ; 1870 ; ЕМ ; Cu ; XF/AU ; 22 ; Продано в зале ; 4200 
 165 ; Копейка ; 1877 ; СПБ ; Cu ; XF- ; 23 ; Злой 2 ; 1426 
 166 ; Копейка ; 1898 ; СПБ ; Cu ; AU ; 18 ; Алексей Викторович ; 2600 
 167 ; Копейка ; 1908 ; СПБ ; Cu ; AU ; 17 ; Алексей Викторович ; 1228 
 168 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; VF-XF ; 9 ; igor56 ; 510 
 169 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU/XF ; 15 ; Продано в зале ; 2600 
 170 ; Полушка ; 1707 ;  ; Cu ; VF- ; 19 ; barryk ; 3079 
 171 ; Полушка (Петров-3р, Ильин-3р) ; 1804 ; КМ ; Cu ; VF ; 26 ; нумизмат ; 13033 
 172 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; AU/XF ; 11 ; igor56 ; 2267 
 173 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; XF/AU ; 27 ; Isay ; 3449 
 174 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF ; 49 ; SSK ; 10406 
 175 ; 10 пенни ; 1866 ; Финляндия ; Cu ; XF- ; 15 ; igor56 ; 3000 
 176 ; 10 пенни ; 1907 ; Финляндия ; Cu ; XF+ ; 13 ; Продано в зале ; 1250 
 177 ; 5 пенни ; 1906 ; Финляндия ; Cu ; AU ; 9 ; Продано в зале ; 2400 
