 151 ; Полтина ; 1762 ; СПБ НК ; Ag ; XF- ; 78 ; Продано в зале ; 170000 
 101 ; Деньга (Петров-10р, Ильин-10р) ; 1811 ; КМ ПБ ; Cu ; F-VF ; 19 ; ct200h ; 20421 
 102 ; Денежка ; 1853 ; ЕМ ; Cu ; XF+ ; 23 ; Продано в зале ; 4000 
 103 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 34 ; 1999 ; 3400 
 104 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; AU ; 45 ; каламбурчик ; 5100 
 105 ; Полушка ; 1711 ;  ; Cu ; VF ; 43 ; Продано в зале ; 9000 
 106 ; Полушка ; 1861 ; ВМ ; Cu ; VF+ ; 38 ; арбат ; 19000 
 107 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; AU ; 27 ; 1999 ; 4115 
 108 ; 1/4 копейки ; 1891 ; СПБ ; Cu ; AU/XF ; 27 ; Продано в зале ; 6000 
 109 ; 2 копейки "оккупация" ; 1916A ;  ; Fe ; AU ; 46 ; каламбурчик ; 3300 
 110 ; 10 пенни ; 1897 ; Финляндия ; Cu ; AU ; 57 ; maleevsw ; 14000 
 111 ; 1 пенни ; 1870 ; Финляндия ; Cu ; XF+ ; 29 ; maleevsw ; 13770 
 112 ; Георгиевский крест III ст. № 173119. Р-ры: 34х34мм ; 1914-1915 ;  ; Ag ; XF ; 27 ; 1999 ; 17340 
 113 ; Георгиевский крест IV ст.№ 1/м021247. Р-ры: 34х34мм ; 1914-1915 ;  ; Ag ; XF ; 39 ; Продано в зале ; 14500 
 114 ; Крест Духовентва. За Крымскую войну (1853-1856). Р-ры: 100х55мм ;  ;  ; Ж/м ; XF- ; 57 ; нумизмат ; 15169 
 115 ; Медаль "В память царствования 300-летия Дома Романовых 1613-1913гг". Медальер Михаил Шеин. D-28мм ;  ;  ; Ag ; XF ; 29 ; vvг ; 24189 
 116 ; Медаль "В память царствования 300-летия Дома Романовых 1613-1913гг". Четырехстрочный (легенда в четыре строки). D-28мм ;  ;  ; Б/м ; XF+ ; 34 ; Продано в зале ; 24000 
 117 ; Медаль "В память царствования 300-летия Дома Романовых 1613-1913гг". Медальер Михаил Шеин. D-28мм ;  ;  ; Br, позолота ; AU ; 31 ; ddv kv ; 5400 
 118 ; Медаль в память празднования в Финляндии 700-летнего юбилея от введения христианства. СПб мон двор. Медальер А.П.Лялин. о/с М.Кучкин с модели А.П.Лялина. D-56мм ;  ;  ; Ag ; VF-XF ; 32 ; Kamp ; 16887 
 119 ; Медаль В память Полтавской битвы. 27 июня 1709. СПб монетный двор. Медальеры С. Юдин, И.Г. Егер. D-64,5мм ;  ;  ; Br ; XF+ ; 58 ; Sky2 ; 17691 
 120 ; Знак Отличнику ГЛАВЛЕСОХРАНЫ при СНК СССР №965 ;  ;  ; Ж/м,эмаль ; VF-XF ; 45 ; Продано в зале ; 34000 
 121 ; Знак 10 лет Власти Советов. Рабоче-крестьянская милиция РСФСР. Клейма на о/с: в овальном щитке 975, женская голова вправо, "дельта", в щитке в форме ромба СМ ;  ;  ; Ag975 ; XF- ; 30 ; Продано в зале ; 64000 
 122 ; Знак За боевую ликвидацию прорывов ;  ;  ; Ж/м,эмаль ; VF+ ; 118 ; alex09 ; 34000 
 123 ; Знак За боевую ликвидацию прорывов ;  ;  ; Ж/м,эмаль ; VF+ ; 33 ; Lisik ; 31333 
 124 ; Знак Член ЦИК Армянской ССР ; 20-30-е гг ;  ; Ag,эмаль ; VF+ ; 44 ; Продано в зале ; 75000 
 125 ; Знак Отличник соц соревнования НКТМ №92 ;  ;  ; Ag ; XF ; 33 ; Продано в зале ; 32000 
 126 ; Рубль.  В капсуле NGC ; 1823 ; СПБ ПД ; Ag ; AU ; 55 ; Продано в зале ; 42000 
 127 ; Рубль. В капсуле NGC ; 1892 ; (АГ) ; Ag ; XF 45 ; 29 ; Sky2 ; 9263 
 128 ; Рубль.  В капсуле NGC ; 1896 ; ( * ) ; Ag ; AU ; 15 ; 1999 ; 15949 
 129 ; 15 копеек. В капсуле NGC ; 1860 ; СПБ ФБ ; Ag ; Unc ; 27 ; Продано в зале ; 6500 
 130 ; 15 копеек. В капсуле NGC ; 1874 ; СПБ HI ; Ag ; MS 62 ; 17 ; Продано в зале ; 7200 
 131 ; 15 копеек. В капсуле NGC ; 1880 ; СПБ НФ ; Ag ; AU 58 ; 45 ; Продано в зале ; 4600 
 132 ; Гривенник. В капсуле NGC ; 1748 ;  ; Ag ; MS 63 ; 35 ; Продано в зале ; 51000 
 133 ; 10 копеек. В капсуле NGC ; 1858 ; СПБ ФБ ; Ag ; MS63 ; 15 ; Продано в зале ; 12500 
 134 ; 5 копеек.  В капсуле NGC ; 1844 ; СПБ КБ ; Ag ; AU ; 32 ; Продано в зале ; 7500 
 135 ; 5 копеек. В капсуле PCGS ; 1845 ; СПБ КБ ; Ag ; Unc ; 43 ; бегемот ; 5009 
 136 ; 5 копеек. В капсуле NGC ; 1857 ; СПБ ФБ ; Ag ; MS64 ; 45 ; бибигон ; 49793 
 137 ; 1 марка.  В капсуле NGC ; 1865 ; S Финляндия ; Ag ; AU 58 ; 23 ; ВОТ ; 5400 
 138 ; 1 марка. В капсуле NGC ; 1907 ; L Финляндия ; Ag ; MS 62 ; 10 ; Rarik ; 2550 
 139 ; 1 марка.  В капсуле NGC ; 1915 ; S Финляндия ; Ag ; MS 62 ; 9 ; $$$$$ ; 2654 
 140 ; 5 копеек (Петров-10р, Ильин-2р). В капсуле NGC ; 1781 ; КМ ; Cu ; AU 58 ; 43 ; арбат ; 28465 
