 101 ; 4 копейки ; 1762 ;  ; Cu ; VF+ ; 76 ; 3273 ; 35040 
 102 ; 2 копейки ; 1757 ; Гурт надп. Екатер. ; Cu ; F-VF ; 19 ; Продано в зале ; 2400 
 103 ; 2 копейки ; 1759 ;  ; Cu ; VF- ; 13 ; Продано в зале ; 600 
 104 ; 2 копейки ; 1759 ;  ; Cu ; VF ; 47 ; Продано в зале ; 2000 
 105 ; 2 копейки ; 1772 ; ЕМ ; Cu ; VF+ ; 21 ; Продано в зале ; 11000 
 106 ; 2 копейки ; 1789 ; ЕМ ; Cu ; VF+ ; 50 ; Zakhapisty ; 3141 
 107 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF-XF ; 49 ; Продано в зале ; 7000 
 108 ; 2 копейки ; 1879 ; СПБ ; Cu ; XF ; 21 ; Продано в зале ; 2500 
 109 ; Копейка ; 1715 ; НД ; Cu ; VF+ ; 20 ; Продано в зале ; 2100 
 110 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 29 ; evgenijzhuk ; 8896 
 111 ; Копейка ; 1728 ;  ; Cu ; VF ; 19 ; Продано в зале ; 3600 
 112 ; Копейка ; 1756 ; СПБ ; Cu ; VF- ; 34 ; Продано в зале ; 7800 
 113 ; Копейка ; 1756 ;  ; Cu ; VF- ; 59 ; Продано в зале ; 16500 
 114 ; Копейка ; 1840 ; ЕМ ; Cu ; XF ; 29 ; Продано в зале ; 3600 
 115 ; Копейка ; 1901 ; СПБ ; Cu ; AU ; 37 ; tisa66 ; 2550 
 116 ; Денга ; 1783 ; КМ ; Cu ; VF ; 17 ; Брат ; 4769 
 117 ; Деньга ; 1825 ; ЕМ ИК ; Cu ; VF+ ; 11 ; Продано в зале ; 2100 
 118 ; Деньга ; 1827 ; ЕМ ИК ; Cu ; XF ; 41 ; Продано в зале ; 7000 
 119 ; Денежка ; 1852 ; ЕМ ; Cu ; XF+ ; 64 ; bo ; 5229 
 120 ; 1/2 копейки (Ильин-1р) ; 1868 ; СПБ ; Cu ; AU ; 39 ; НПЗ ; 28356 
 121 ; 1/2 копейки ; 1895 ; СПБ ; Cu ; AU/XF ; 43 ; alien34 ; 2550 
 122 ; Полушка. Ильин - 3 руб. ; 1784 ; КМ ; Cu ; F-VF ; 20 ; Продано в зале ; 2800 
 123 ; Полушка. Ильин - 3 руб. ; 1785 ; КМ ; Cu ; F+ ; 14 ; Продано в зале ; 1600 
 124 ; Полушка. ; 1793. Петров - 5 р., Ильин - 5 р ;  ; Cu ; VF+ ; 67 ; Продано в зале ; 29000 
 125 ; Полушка. Ильин - 3 руб. ; 1804 ; КМ ; Cu ; F+ ; 24 ; ksun ; 8254 
 126 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; AU ; 91 ; Boss Orange ; 10000 
 127 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; AU ; 36 ; Продано в зале ; 16000 
 128 ; 1/4 копейки ; 1870 ; ЕМ ; Cu ; AU ; 51 ; Продано в зале ; 6500 
 129 ; 1/4 копейки. В капсуле NGC ; 1892 ; СПБ ; Cu ; MS63BN ; 21 ; verunk1 ; 3000 
 130 ; 1 грош ; 1840 ; MW Рус.-Пол. ; Cu ; XF- ; 44 ; Продано в зале ; 8500 
 131 ; 3 копейки. Оккупация ; 1916J ;  ; Fe ; XF ; 16 ; Продано в зале ; 2700 
 51 ; 10 копеек ; 1802 ; СПБ АИ ; Ag ; VF+ ; 46 ; Продано в зале ; 26000 
 52 ; 10 копеек. Петров - 6 руб ; 1816 ; СПБ МФ ; Ag ; VF ; 25 ; форсаж ; 5500 
 53 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 36 ; Продано в зале ; 2300 
 54 ; 10 копеек ( Ильин-3р) ; 1829 ; СПБ НГ ; Ag ; XF ; 35 ; Продано в зале ; 38000 
 55 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 35 ; Продано в зале ; 2500 
 56 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 24 ; Продано в зале ; 4200 
 57 ; 10 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 12 ; Шпиль ; 3314 
 58 ; 10 копеек. В капсуле NGC ; 1917 ; ВС ; Ag ; MS 63 ; 10 ; Продано в зале ; 6000 
 59 ; 5 копеек ; 1757 ; СПБ ; Ag ; XF- ; 22 ; Olimpia ; 3600 
