 101 ; 2 копейки ; 1843 ; СПМ ; Cu ; VF-XF ; 69 ; anna53 ; 5250 
 102 ; 2 копейки ; 1844 ; СМ ; Cu ; XF ; 43 ; Продано в зале ; 22000 
 103 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 23 ; 333985 ; 10000 
 104 ; Копейка ; 1729 ;  ; Cu ; VF+ ; 24 ; 333985 ; 9500 
 105 ; Копейка ; 1777 ; КМ "Сибирь" ; Cu ; XF ; 47 ; Продано в зале ; 16000 
 106 ; Копейка ; 1818 ; КМ ДБ ; Cu ; XF ; 40 ; 25 ; 10500 
 107 ; Копейка ; 1822 ; КМ АМ ; Cu ; XF- ; 38 ; 25 ; 10000 
 108 ; Копейка ; 1823 ; КМ АМ ; Cu ; XF ; 65 ; Анатолий Анатолий ; 28000 
 109 ; Копейка ; 1825 ; КМ АМ ; Cu ; XF- ; 16 ; Продано в зале ; 5500 
 110 ; Копейка ; 1846 ; СМ ; Cu ; VF-XF ; 63 ; Продано в зале ; 12500 
 111 ; Копейка ; 1832 ; СМ ; Cu ; VF-XF ; 67 ; Hirosige ; 7500 
 112 ; Копейка (Петров-2р, Ильин-3р) ; 1835 ; СМ ; Cu ; VF+ ; 23 ; Продано в зале ; 7500 
 113 ; Копейка ; 1887 ; СПБ ; Cu ; XF+ ; 57 ; tisa66 ; 9000 
 114 ; Копейка ; 1910 ; СПБ ; Cu ; AU ; 53 ; Shootnic ; 3800 
 115 ; Денга. Аверс/Реверс 180 градусов ; 1700 ;  ; Cu ; F-VF ; 72 ; 333985 ; 1300 
 116 ; Денга ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 22 ; Продано в зале ; 5250 
 117 ; Денга ; 1787 ; КМ ; Cu ; VF+ ; 55 ; Логистик ; 12000 
 118 ; Денга ; 1790 ; ЕМ ; Cu ; VF-XF ; 21 ; Шиномонтаж ; 5250 
 119 ; Денга (Ильин-1р) ; 1792 ; КМ ; Cu ; XF ; 46 ; Шиномонтаж ; 11000 
 120 ; Денга ; 1795 ; ЕМ ; Cu ; XF ; 40 ; Анатолий Анатолий ; 13000 
 121 ; Денга (Петров-1р, Ильин-1р) ; 1795 ; КМ ; Cu ; VF-XF ; 29 ; Продано в зале ; 10500 
 122 ; Деньга (Ильин-3р) ; 1799 ; КМ ; Cu ; VF ; 16 ; SwaggaRakka ; 5250 
 123 ; Деньга (Петров-5р, Ильин-3р) ; 1812 ; КМ АМ ; Cu ; VF-XF ; 48 ; 25 ; 9000 
 124 ; 1/2 копейки ; 1839 ; СМ ; Cu ; VF+ ; 23 ; Hirosige ; 3600 
 125 ; Денежка ; 1851 ; ЕМ ; Cu ; XF+ ; 90 ; Логистик ; 10500 
 126 ; Денежка ; 1862 ; ЕМ ; Cu ; XF ; 17 ; 333985 ; 3800 
 127 ; Полушка. Цифра "7" в дате развернута. (Ильин-1р) ; 1720 ;  ; Cu ; F+ ; 24 ; Анатолий Анатолий ; 3400 
 128 ; Полушка ; 1740 ; Орёл 1730 г. ; Cu ; VF+ ; 36 ; 25 ; 7000 
 129 ; Полушка ; 1797 ; АМ ; Cu ; VF-XF ; 47 ; 333985 ; 9500 
 130 ; 1/4 копейки ; 1896 ; СПБ ; Cu ; XF+ ; 42 ; Shootnic ; 4600 
 131 ; 5 пенни. Капсула ; 1911 ; Финляндия ; Cu ;  ; 46 ; Волков 70 ; 10925 
 132 ; 1 пенни ; 1867 ; Финляндия ; Cu ; AU ; 49 ; sax ; 7070 
