 153 ; 10 пенни. Финляндия ; 1963 ;  ;  ; VF+ ; 2 ; obob999 ; 3 
 154 ; 10 пенни. Финляндия ; 1986 ;  ;  ; XF- ; 2 ; obob999 ; 3 
 155 ; 5 пенни. Финляндия ; 1977 ;  ;  ; VF-XF ; 3 ; obob999 ; 4 
 156 ; 1 пенни. Финляндия ; 1974 ;  ;  ; VF-XF ; 3 ; obob999 ; 4 
 157 ; 1/2 доллара. США ; 1973 ;  ;  ; AU ; 44 ; sasa1369 ; 93 
 158 ; 100 лей. Румыния ; 1943 ;  ;  ; VF-XF ; 29 ; salim ; 36 
 159 ; 5 сили. Гвинея ; 1971 ;  ;  ; XF ; 30 ; zero ; 40 
 160 ; 2 франка. Франция ; 1943 ;  ;  ; VF-XF ; 11 ; Kraeved ; 12 
 161 ; 5 песо. Мексика ; 1999 ;  ;  ; XF ; 36 ; obob999 ; 42 
 162 ; 1 песо. Мексика ; 1994 ;  ;  ; VF-XF ; 15 ; obob999 ; 14 
 163 ; 25 центов. Канада ; 1956 ;  ;  ; VF+ ; 10 ; sasa1369 ; 30 
 164 ; 50 грошей. Польша ; 1923 ;  ;  ; VF-XF ; 31 ; salim ; 31 
 165 ; 20 сантимов. Латвия ; 1922 ;  ;  ; VF+ ; 36 ; skir ; 81 
 166 ; 10 геллеров. Австрия ; 1895 ;  ;  ; XF+ ; 29 ; sasa1369 ; 33 
 167 ; 10 пфеннигов. Германия ; 1900 ;  ;  ; VF ; 10 ; skir ; 27 
 170 ; 20 копеек ; 1923 ;  ; Ag ; XF ; 8 ; Алек ; 70 
 171 ; 20 копеек ; 1924 ;  ; Ag ; XF ; 10 ; Алек ; 70 
 172 ; 20 копеек ; 1925 ;  ; Ag ; VF-XF ; 15 ; obob999 ; 16 
 173 ; 20 копеек ; 1927 ;  ; Ag ; VF+ ; 10 ; dron1900 ; 11 
 174 ; 20 копеек ; 1928 ;  ; Ag ; XF ; 8 ; Алек ; 50 
 175 ; 20 копеек ; 1930 ;  ; Ag ; XF+ ; 14 ; Алек ; 50 
 176 ; 20 копеек ; 1932 ;  ; Ni ; VF+ ; 16 ; Kleo ; 20 
 177 ; 20 копеек ; 1933 ;  ; Ni ; VF+ ; 40 ; Конрос бид 32 ; 35 
 178 ; 15 копеек ; 1923 ;  ; Ag ; VF-XF ; 47 ; salim ; 47 
 179 ; 15 копеек ; 1925 ;  ; Ag ; XF+ ; 31 ; Алек ; 60 
 180 ; 15 копеек ; 1927 ;  ; Ag ; XF ; 43 ; obob999 ; 42 
 181 ; 15 копеек ; 1928 ;  ; Ag ; XF+ ; 16 ; Алек ; 50 
 182 ; 15 копеек ; 1930 ;  ; Ag ; AU ; 102 ; Конрос бид 32 ; 2108 
 183 ; 10 копеек ; 1923 ;  ; Ag ; VF+ ; 13 ; salim ; 18 
 184 ; 10 копеек ; 1925 ;  ; Ag ; XF- ; 16 ; salim ; 17 
 185 ; 10 копеек ; 1927 ;  ; Ag ; XF ; 43 ; Алек ; 50 
 186 ; 10 копеек ; 1929 ;  ; Ag ; AU ; 91 ; Vico ; 227 
 187 ; 10 копеек ; 1930 ;  ; Ag ; AU ; 59 ; KKK17 ; 561 
 188 ; 3 копейки ; 1924 ; Гурт гладкий  ; Cu ; VF ; 33 ; SVE ; 108 
 189 ; 2 копейки ; 1924 ; Гурт рубчатый  ; Cu ; VF ; 24 ; dron1900 ; 111 
 190 ; 1 копейка ; 1924 ; Гурт рубчатый  ; Cu ; VF+ ; 54 ; dron1900 ; 76 
 191 ; Полкопейки ; 1925 ;  ; Cu ; VF+ ; 26 ; okotv ; 357 
 192 ; 5 копеек ; 1948 ;  ; Br ; VF-XF ; 40 ; nikolay ; 215 
 193 ; 5 копеек ; 1956 ;  ; Br ; VF+ ; 6 ; obob999 ; 7 
 194 ; 5 копеек ; 1975 ;  ; Cu-Zn ; VF+ ; 5 ; dron1900 ; 6 
 195 ; 3 копейки ; 1938 ;  ; Br ; VF+ ; 55 ; SVE ; 58 
 196 ; 3 копейки ; 1941 ;  ; Br ; VF ; 10 ; salim ; 11 
 197 ; 3 копейки ; 1949 ;  ; Br ; VF- ; 9 ; Kleo ; 10 
 198 ; 3 копейки ; 1956 ;  ; Br ; VF-XF ; 26 ; nikolay ; 140 
 199 ; 2 копейки ; 1929 ;  ; Br ; VF+ ; 46 ; SVE ; 44 
 200 ; 2 копейки ; 1952 ;  ; Br ; XF- ; 69 ; Алек ; 184 
 201 ; 1 копейка ; 1931 ;  ; Br ; VF ; 13 ; k-rolik ; 14 
 103 ; 10 пенни ; 1915 ; Финляндия  ; Cu ; VF+ ; 40 ; o.k. ; 118 
 104 ; 10 пенни ; 1916 ; Финляндия  ; Cu ; XF- ; 31 ; gutun ; 132 
 105 ; 5 пенни ; 1916 ; Финляндия  ; Cu ; VF-XF ; 49 ; jl ; 64 
 106 ; 5 пенни ; 1917 ; Финляндия. Орёл  ; Cu ; VF-XF ; 43 ; gutun ; 137 
 107 ; 1 пенни ; 1916 ; Финляндия  ; Cu ; VF-XF ; 46 ; jl ; 46 
 108 ; 1 пенни ; 1915 ; Финляндия  ; Cu ; VF-XF ; 40 ; jl ; 40 
 109 ; 1 пенни ; 1914 ; Финляндия  ; Cu ; VF-XF ; 50 ; o.k. ; 108 
 110 ; Монета античная. Сасаниды ;  ;  ;  ; VF- ; 28 ; кузин ; 153 
 111 ; Монета античная. Сасаниды ;  ;  ;  ; VF+ ; 24 ; кузин ; 402 
